\sn{}2005ao           \ & \ 266.20653    \ & \ 61.90786     \ & \ NGC 6462                          \ & \ SABbc             \ & \ 0.038407    \ & \ 0.000417    \ & \ 1    \ & \ CBET 115     \ & \ POSS                  \ & \ IAUC 8492    \ & \ Ia
\sn{}2005bl           \ & \ 181.05098    \ & \ 20.40683     \ & \ NGC 4070                          \ & \  \nodata          \ & \ 0.02406     \ & \ 0.00008     \ & \ 1    \ & \ IAUC 8515    \ & \ LOSS, POSS            \ & \ IAUC 8514    \ & \ Iap
\sn{}2005bo           \ & \ 192.42099    \ & \ -11.09663    \ & \ NGC 4708                          \ & \ SA(r)ab pec?      \ & \ 0.013896    \ & \ 0.000027    \ & \ 1    \ & \ CBET 141     \ & \ POSS                  \ & \ CBET 142     \ & \ Ia
\sn{}2005cf           \ & \ 230.38906    \ & \ -7.44874     \ & \ MCG -01-39-3                      \ & \ S0 pec            \ & \ 0.006461    \ & \ 0.000037    \ & \ 1    \ & \ CBET 158     \ & \ LOSS                  \ & \ IAUC 8534    \ & \ Ia
\sn{}2005ch           \ & \ 215.52815    \ & \ 1.99316      \ & \ 1                                            \ & \  \nodata          \ & \ 0.027       \ & \ 0.005       \ & \ 3    \ & \ CBET 166     \ & \ ROTSE-III             \ & \ CBET 167     \ & \ Ia
\sn{}2005el           \ & \ 77.95316     \ & \ 5.19417      \ & \ NGC 1819                          \ & \ SB0               \ & \ 0.01491     \ & \ 0.000017    \ & \ 1    \ & \ CBET 233     \ & \ LOSS                  \ & \ CBET 235     \ & \ Ia
\sn{}2005eq           \ & \ 47.20575     \ & \ -7.03332     \ & \ MCG -01-9-6                       \ & \ SB(rs)cd?         \ & \ 0.028977    \ & \ 0.000073    \ & \ 1    \ & \ IAUC 8608    \ & \ LOSS                  \ & \ IAUC 8610    \ & \ Ia
\sn{}2005eu           \ & \ 36.93011     \ & \ 28.17698     \ & \ 2                                               \ & \  \nodata          \ & \ 0.03412     \ & \ 0.000046    \ & \ 1    \ & \ CBET 242     \ & \ LOSS                  \ & \ CBET 244     \ & \ Ia
\sn{}2005iq           \ & \ 359.63517    \ & \ -18.70914    \ & \ MCG -03-1-8                       \ & \ Sa                \ & \ 0.034044    \ & \ 0.000123    \ & \ 1    \ & \ IAUC 8628    \ & \ LOSS                  \ & \ CBET 278     \ & \ Ia
\sn{}2005ke           \ & \ 53.76810     \ & \ -24.94412    \ & \ NGC 1371                          \ & \ (R')SAB(r'l)a     \ & \ 0.00488     \ & \ 0.000007    \ & \ 1    \ & \ IAUC 8630    \ & \ LOSS                  \ & \ IAUC 8631    \ & \ Iap
