SN & zcmb & ProjDist & Mlow & Mbest & Mhigh & \\
1992P & 0.0265 & 9.63 & 10.31 & 10.55 & 10.72 & \\
1993ac & 0.0489 & 22.32 & 11.55 & 11.58 & 11.62 & \\
1994M & 0.0243 & 27.10 & 10.99 & 11.21 & 11.37 & \\
1994S & 0.0152 & 10.51 & 10.17 & 10.68 & 10.83 & \\
1994T & 0.0357 & 8.15 & 10.11 & 9.74 & 10.74 & \\
1995ac & 0.0488 & 17.43 & 10.76 & 10.99 & 11.08 & \\
1996C & 0.0275 & 10.02 & 9.81 & 10.10 & 10.30 & \\
1997Y & 0.0166 & 8.74 & 10.06 & 10.59 & 10.73 & \\
1997cn & 0.0170 & 16.73 & 11.52 & 11.56 & 11.60 & \\
1998ab & 0.0279 & 14.58 & 10.49 & 10.75 & 10.93 & \\
1999cc & 0.0315 & 21.47 & 11.05 & 11.23 & 11.33 & \\
1999gd & 0.0193 & 13.60 & 9.89 & 10.02 & 10.54 & \\
2000ce & 0.0165 & 11.79 & 10.19 & 10.72 & 10.85 & \\
2001N & 0.0221 & 15.01 & 10.81 & 10.88 & 11.17 & \\
2001V & 0.0162 & 16.65 & 11.27 & 11.30 & 11.34 & \\
2001ah & 0.0583 & 29.36 & 10.86 & 11.01 & 11.08 & \\
2001da & 0.0160 & 8.48 & 10.10 & 10.21 & 10.73 & \\
2001en & 0.0155 & 17.27 & 10.45 & 11.01 & 11.07 & \\
2001gb & 0.0268 & 12.61 & 10.42 & 10.53 & 10.81 & \\
2001ic & 0.0429 & 29.91 & 11.78 & 11.84 & 11.88 & \\
2001ie & 0.0312 & 15.00 & 11.17 & 11.26 & 11.44 & \\
2002G & 0.0346 & 9.76 & 10.76 & 10.91 & 11.03 & \\
2002bf & 0.0249 & 10.51 & 10.64 & 10.84 & 11.03 & \\
2002bz & 0.0377 & 25.09 & 10.98 & 11.17 & 11.26 & \\
2002ck & 0.0302 & 22.08 & 10.94 & 11.10 & 11.34 & \\
2002hw & 0.0163 & 12.91 & 10.01 & 10.55 & 10.67 & \\
2002jy & 0.0201 & 19.50 & 10.11 & 10.65 & 10.78 & \\
2003U & 0.0279 & 17.93 & 10.33 & 10.48 & 10.73 & \\
2003cq & 0.0337 & 25.75 & 11.23 & 11.34 & 11.53 & \\
2003ic & 0.0542 & 54.79 & 11.83 & 11.97 & 12.03 & \\
2004L & 0.0334 & 13.39 & 10.50 & 10.62 & 10.80 & \\
2005eq & 0.0284 & 17.15 & 10.82 & 10.94 & 11.12 & \\
2005hc & 0.0450 & 12.42 & 10.45 & 10.55 & 10.67 & \\
2005hj & 0.0570 & 4.17 & 9.50 & 9.63 & 9.77 & \\
2005ir & 0.0753 & 8.38 & 10.16 & 10.24 & 10.33 & \\
2005ki & 0.0208 & 26.98 & 10.86 & 10.95 & 11.50 & \\
2005mc & 0.0261 & 18.58 & 10.87 & 10.97 & 11.26 & \\
2005ms & 0.0259 & 11.37 & 10.24 & 10.32 & 10.65 & \\
2006S & 0.0329 & 15.05 & 10.45 & 10.60 & 10.76 & \\
2006ac & 0.0236 & 16.43 & 10.86 & 11.11 & 11.34 & \\
2006ak & 0.0391 & 10.34 & 10.69 & 10.78 & 10.98 & \\
2006al & 0.0691 & 5.63 & 10.27 & 10.35 & 10.45 & \\
