SN & Host Galaxy & F & Ferr & N & Nerr & u & uerr & g & gerr & r & rerr & i & ierr & z & zerr & y & yerr & J & Jerr & H & Herr & K & Kerr & Mbest & LC \\
CSS121006:232854+085452 & SDSS J232854.54+085452.3 & -- & -- & -- & -- & -- & -- & 19.87 & 0.02 & 19.72 & 0.02 & -- & -- & 19.59 & 0.03 & -- & -- & -- & -- & -- & -- & -- & -- & 8.52 & N \\
CSS121009:011101-172841 & 2MASX J01105973-1728527 & -- & -- & 20.77 & 0.23 & -- & -- & 16.56 & 0.02 & 15.55 & 0.02 & -- & -- & 14.67 & 0.02 & -- & -- & 14.19 & 0.06 & 13.77 & 0.06 & 13.87 & 0.08 & 10.39 & N \\
CSS121114:090202+101800 & SDSS J090202.19+101759.7 & 19.59 & 0.04 & 19.35 & 0.03 & 18.77 & 0.07 & 17.87 & 0.02 & 17.57 & 0.02 & 17.37 & 0.02 & 17.24 & 0.05 & -- & -- & -- & -- & -- & -- & -- & -- & 8.76 & Y \\
LSQ12fhs & 2MASX J22522347-2036373 & 18.13 & 0.07 & 17.67 & 0.04 & -- & -- & 16.13 & 0.02 & 15.75 & 0.02 & 15.56 & 0.02 & 15.53 & 0.02 & 15.35 & 0.02 & 15.27 & 0.12 & 15.46 & 0.2 & 15.31 & 0.23 & 9.54 & Y \\
LSQ12fmx & 2MASX J031252.93-001223.8 & 18.96 & 0.05 & 18.58 & 0.03 & 17.9 & 0.06 & 16.77 & 0.02 & 16.24 & 0.02 & 15.93 & 0.02 & 15.72 & 0.03 & -- & -- & 15.41 & 0.11 & 15.28 & 0.18 & 15.28 & 0.16 & 10.14 & Y \\
LSQ13cmt & ESO 541- G 013 & -- & -- & -- & -- & -- & -- & 14.37 & 0.02 & 13.45 & 0.02 & -- & -- & 12.76 & 0.02 & -- & -- & 12.54 & 0.04 & 12.28 & 0.06 & 12.36 & 0.06 & 11.27 & Y \\
LSQ13cwp & 2MASX J04035024-0239275 & -- & -- & -- & -- & -- & -- & 15.41 & 0.02 & 14.51 & 0.02 & -- & -- & 13.85 & 0.02 & -- & -- & 13.33 & 0.04 & 13.13 & 0.04 & 13.43 & 0.07 & 11.0 & Y \\
PS1-10w & CGCG 290-062 & 18.33 & 0.06 & 17.96 & 0.04 & 16.92 & 0.05 & 15.72 & 0.02 & 15.13 & 0.02 & 14.83 & 0.02 & 14.64 & 0.03 & -- & -- & 14.7 & 0.09 & 14.65 & 0.18 & 14.98 & 0.14 & 9.91 & Y \\
PS1-13dkh & Unnamed & -- & -- & -- & -- & -- & -- & 18.51 & 0.04 & 17.78 & 0.03 & 17.34 & 0.03 & 17.23 & 0.03 & 16.7 & 0.05 & -- & -- & -- & -- & -- & -- & 8.89 & Y \\
PTF09dlc & SDSS J214630.02+062507.1 & -- & -- & -- & -- & 21.16 & 0.24 & 19.82 & 0.04 & 19.6 & 0.04 & 19.35 & 0.05 & 19.23 & 0.11 & -- & -- & -- & -- & -- & -- & -- & -- & 8.18 & Y \\
PTF10bjs & MCG +09-21-83 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
PTF10hdv & SDSS J120745.44+412928.7 & -- & -- & -- & -- & 21.01 & 0.12 & 20.27 & 0.03 & 20.34 & 0.05 & 20.2 & 0.05 & 20.6 & 0.24 & -- & -- & -- & -- & -- & -- & -- & -- & 7.53 & Y \\
PTF10icb & MCG +10-19-1 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
PTF10ndc & SDSS J171949.85+284201.7 & -- & -- & -- & -- & -- & -- & 19.98 & 0.02 & 19.44 & 0.02 & -- & -- & 19.07 & 0.03 & -- & -- & -- & -- & -- & -- & -- & -- & 8.88 & Y \\
PTF10nlg & 2MASS J16503452+6016345 & -- & -- & -- & -- & -- & -- & 17.43 & 0.02 & 17.0 & 0.02 & -- & -- & 16.69 & 0.02 & -- & -- & -- & -- & -- & -- & -- & -- & 9.43 & Y \\
PTF10wnm & SDSS J002203.68+270221.5 & 18.84 & 0.09 & 18.37 & 0.05 & 17.97 & 0.06 & 16.86 & 0.02 & 16.42 & 0.02 & 16.11 & 0.02 & 15.93 & 0.03 & -- & -- & 15.7 & 0.15 & 15.9 & 0.18 & 15.24 & 0.15 & 9.99 & Y \\
