SN Mbest logSFR NPD ab RA DEC Sloan
SNLS05D3jr          9.976  -9.963  1.326400  0.607122 214.869781 +52.864849 Sloan
SNLS05D3jq         10.355  -9.520  1.424400  0.947162 215.439331 +53.029919 Sloan
SDSS15776          11.061          2.810448  0.922849 032.829441 -00.998258 Sloan
SDSS6057           10.108  -9.560  0.161999  0.862405 052.553604 -00.974586 Sloan
SNLS05D3jb         10.669          1.330000  0.554729 215.541656 +52.878128 Sloan
SDSS16072          10.874          1.575069  0.862262 003.124440 -00.977309 Sloan
SDSS16073           9.468  -8.952  0.350397  0.712970 008.107763 -01.054001 Sloan
SNLS04D2cf         11.068 -10.660  1.459100  0.725676 150.483704 +01.879478 Sloan
SNLS05D3jk         10.008  -9.504  0.271900  0.576640 214.197723 +52.592484 Sloan
SNLS05D3jh         11.254  -9.554  0.393500  0.778312 214.355774 +52.618767 Sloan
SNLS06D2bk          9.041  -9.232  0.864000  0.914980 149.678635 +02.171984 Sloan
sn2006te            9.159  -9.000  0.918662  0.575613 122.929008 +41.554668 Sloan
sn2006ac            9.536  -8.996  1.801066  0.903017 190.437057 +35.068871 Sloan
SDSS3087            9.626  -9.486  0.293134  0.444442 020.406706 -00.977236 Sloan
SDSS12950           8.939  -8.983  0.670693  0.847456 351.667450 -00.840276 Sloan
SNLS05D4fg         11.778  -9.513  1.479100  0.936107 334.172272 -17.595461 Sloan
sn2009na            9.328  -8.986  1.547509  0.788546 161.756012 +26.543814 Sloan
SNLS03D4cj          8.378          6.397500  0.853108 334.027618 -17.704657 Sloan
SDSS3377            9.116  -9.692  1.065312  0.631918 054.156151 +01.079169 Sloan
SNLS05D2ob          8.681  -9.047  0.627700  0.659091 149.753021 +01.848985 Sloan
SDSS762            11.059  -9.692  1.691925  0.926948 015.535334 -00.878981 Sloan
SNLS03D4cy         10.093  -8.880  2.135100  0.739169 333.418396 -17.681637 Sloan
SNLS03D4cz         10.820          1.476800  0.811545 334.174438 -17.926270 Sloan
SDSS13894           9.505 -10.927  0.031865  0.783518 001.690610 -00.036760 Sloan
SNLS04D1qd         10.982 -10.337  0.284000  0.930567 036.637814 -04.107177 Sloan
SDSS19990          10.556          1.622223  0.907492 034.806366 -00.384841 Sloan
SDSS19992           9.645  -9.433  0.715192  0.640383 357.104156 -01.185004 Sloan
SDSS5533            9.834  -9.521  1.345281  0.753979 328.669952 +00.413430 Sloan
SDSS16473           9.940 -10.779  0.111643  0.864187 328.612152 +00.588515 Sloan
