SN2005ao 0.038407 266.20653 61.90786
filter J2m
53451.48 19.11 0.08
53462.51 18.98 0.09
53464.39 18.95 0.12
53465.39 18.94 0.30
53467.39 18.77 0.14
53469.42 18.67 0.04
53470.38 18.66 0.08
53471.38 18.51 0.18
53480.35 18.96 0.07
filter H2m
53451.48 18.18 0.09
53462.51 18.45 0.13
53464.39 18.51 0.34
53465.39 18.31 0.18
53467.39 18.20 0.24
53469.42 18.06 0.13
53470.38 17.89 0.13
53473.36 17.87 0.18
filter Ks2m
53451.48 17.70 0.17
53456.43 17.85 0.19
53462.51 18.01 0.22
53464.39 18.15 0.18
53466.39 17.66 0.16
53469.42 17.65 0.17
53470.38 17.49 0.14
53471.38 17.77 0.10
53473.36 18.63 0.18
53480.35 18.37 0.25
