SN2010Y 0.010860 162.766580 65.779660
#SN2010Y 162.76658 65.77966 NGC_3392    E? 0.01086 0.000103 NED_Host_Galaxy_Name CBET_2168 Cortini CBET_2168   Ia
# ['' 'B' 'H' 'J' 'Ks' 'U' 'UVM2' 'UVW1' 'UVW2' 'V' "i'" "r'" "u'"]
# ['' 'UVOT'] on ['' 'PAIRITEL' 'Swift']
filter B4sh
55239.30 16.127 0.019
55241.15 15.664 0.019
55242.43 15.452 0.029
55243.52 15.252 0.018
55244.38 15.254 0.050
55245.46 15.114 0.018
55247.34 15.055 0.014
55251.39 15.206 0.019
55258.22 16.181 0.019
55261.33 16.682 0.024
55267.26 17.506 0.048
55268.26 17.570 0.048
55270.25 17.741 0.039
55271.35 17.950 0.070
55276.27 18.092 0.049
55287.17 18.474 0.058
55289.28 18.490 0.061
55291.28 18.473 0.052
55295.16 18.557 0.070
55297.17 18.621 0.062
55299.16 18.925 0.083
filter B_UVOT
# Swift
55237.01 16.988 0.075
55237.01 17.030 0.060
55239.30 16.194 0.065
55239.30 16.240 0.050
55241.61 15.650 0.050
55241.61 15.569 0.059
55243.35 15.450 0.040
55243.35 15.340 0.052
55245.89 15.170 0.040
55245.89 15.075 0.050
55247.77 15.005 0.048
55247.77 15.100 0.040
55257.83 16.232 0.077
55257.83 16.290 0.060
55263.44 17.140 0.060
55263.44 17.086 0.083
55268.13 17.675 0.106
55268.13 17.720 0.090
55269.77 17.880 0.100
55269.77 17.822 0.117
55271.17 17.798 0.117
55271.17 17.870 0.100
filter H2m
# PAIRITEL
55239.34 16.010 0.240
55240.25 15.780 0.280
55242.26 15.510 0.170
55243.21 15.310 0.140
55244.30 15.380 0.180
55245.21 15.200 0.180
55258.33 15.420 0.250
55259.29 15.450 0.180
55268.17 15.700 0.190
55270.16 15.740 0.350
filter J2m
# PAIRITEL
55239.34 15.870 0.060
55240.25 15.600 0.050
55242.26 15.500 0.060
55243.21 15.360 0.050
55244.30 15.370 0.180
55245.21 15.230 0.020
55251.29 15.710 0.060
55254.21 16.060 0.110
55258.33 16.390 0.050
55259.29 16.620 0.090
55260.18 16.580 0.080
55267.20 16.180 0.060
55268.17 16.230 0.050
55269.24 16.160 0.130
55270.16 16.170 0.150
filter Ks2m
# PAIRITEL
55240.25 16.380 0.110
55242.26 16.020 0.130
55243.21 15.970 0.120
55244.30 15.820 0.230
55245.21 15.840 0.090
55251.29 16.370 0.170
55258.33 15.960 0.290
55260.18 16.070 0.170
55267.20 16.350 0.160
55268.17 16.350 0.230
55270.16 16.550 0.180
55278.23 17.490 0.180
filter U_UVOT
# Swift
55237.01 16.413 0.072
55237.01 16.460 0.050
