SN2011df 0.014547 291.890080 54.386320
# ['' 'B' 'H' 'I' 'J' 'Ks' 'R' 'V']
filter B4sh
55720.12 15.464 0.005
55722.07 15.561 0.006
55727.11 15.929 0.010
55733.07 16.602 0.011
55735.09 16.810 0.015
55739.09 17.244 0.017
55749.11 18.028 0.027
55750.13 18.079 0.025
55767.04 18.573 0.024
filter H2m
55711.39 15.640 0.050
55713.35 15.700 0.070
55714.35 15.700 0.070
55715.31 15.800 0.050
55716.40 15.770 0.070
55717.32 15.890 0.080
55718.29 15.940 0.170
55719.29 15.900 0.080
55720.34 15.970 0.080
55721.28 15.960 0.070
55722.28 15.960 0.070
55723.29 15.940 0.060
55724.28 16.000 0.090
55725.26 15.890 0.180
55727.27 15.980 0.070
55729.25 15.980 0.100
55730.27 16.070 0.180
55731.28 15.990 0.060
55732.27 15.940 0.170
55736.28 15.830 0.250
55746.32 15.620 0.060
55756.27 16.140 0.180
55759.23 16.220 0.100
55769.25 16.570 0.180
55772.15 17.050 0.270
filter I4sh
55720.12 15.516 0.009
55722.07 15.580 0.006
55727.11 15.832 0.007
55733.07 15.881 0.007
55735.09 15.866 0.030
55739.09 15.772 0.012
55749.11 15.895 0.012
55750.13 15.960 0.013
55767.04 16.917 0.021
filter J2m
55711.39 15.490 0.030
55713.35 15.520 0.030
55714.35 15.560 0.030
55715.31 15.660 0.030
55716.40 15.650 0.020
55717.32 15.790 0.010
55718.29 15.820 0.010
55719.29 15.910 0.010
55720.34 16.020 0.030
55721.28 16.120 0.010
55722.28 16.190 0.020
55723.29 16.270 0.010
55724.28 16.390 0.050
55725.26 16.610 0.040
55727.27 16.870 0.030
55729.25 17.130 0.180
55730.27 17.220 0.060
55731.28 17.200 0.050
55732.27 17.260 0.040
55736.28 16.950 0.050
55746.32 16.480 0.050
55756.27 16.710 0.070
55759.23 17.110 0.030
55772.15 17.990 0.090
filter Ks2m
55711.39 15.640 0.170
55714.35 15.720 0.170
55717.32 15.500 0.170
55718.29 15.530 0.180
55724.28 15.880 0.210
55730.27 15.610 0.180
55731.28 15.840 0.180
55732.27 15.550 0.170
55736.28 15.680 0.340
55746.32 15.520 0.190
55769.25 15.770 0.270
filter R4sh
55720.12 15.140 0.007
55722.07 15.204 0.005
55727.11 15.508 0.010
55733.07 15.816 0.006
55735.09 15.856 0.014
55739.09 15.880 0.011
55749.11 16.239 0.011
55750.13 16.306 0.012
55767.04 17.067 0.014
filter V4sh
55720.12 15.315 0.007
55722.07 15.342 0.005
55727.11 15.547 0.007
55733.07 15.877 0.009
55735.09 15.956 0.014
55739.09 16.165 0.014
55749.11 16.747 0.016
55750.13 16.843 0.016
55767.04 17.499 0.018
