#RATIR H 
500 -0.00074
501 -0.0017
502 -0.0039
503 -0.0032
504 -0.0027
505 -0.0051
506 0.00024
507 0.0046
508 -0.000001
509 0.0046
510 0.0046
511 -0.0017
512 0.0012
513 -0.006
514 -0.0014
515 0.0028
516 -0.000003
517 -0.00071
518 -0.00024
519 0.00047
520 -0.00024
521 -0.0024
522 0.0031
523 -0.004
524 -0.0033
525 0.0019
526 0.0056
527 0.00093
528 -0.00094
529 -0.0049
530 -0.00047
531 0.00047
532 0.0021
533 0.0026
534 -0.0049
535 -0.0028
536 -0.003
537 0.0059
538 0.0024
539 0.0035
540 -0.0028
541 -0.0085
542 -0.0014
543 0.00048
544 -0.0034
545 0.0051
546 0.0022
547 -0.0022
548 0.00097
549 0.0017
550 0.006
551 -0.0012
552 -0.0017
553 -0.00024
554 0.0033
555 -0.005
556 -0.0043
557 0.004
558 -0.0026
559 0.0051
560 -0.002
561 -0.0099
562 0.0073
563 0.005
564 -0.0043
565 -0.0018
566 0.0041
567 -0.00051
568 0.0035
569 -0.0043
570 -0.0057
571 0.0019
572 -0.0057
573 -0.0025
574 -0.0033
575 -0.0028
576 0.0051
577 0.0018
578 -0.0026
579 0.0012
580 -0.0029
581 0.0043
582 0.00098
583 0.0078
584 -0.002
585 0.0066
586 0.0028
587 0.0023
588 0.0043
589 -0.0016
590 0.00049
591 0.0013
592 -0.0028
593 -0.0033
594 -0.004
595 -0.001
596 0.00024
597 -0.000018
598 -0.003
599 -0.0039
600 0.0033
601 -0.0033
602 -0.00048
603 0.0013
604 0.0036
605 0.0011
606 -0.0032
607 0.0039
608 0.0012
609 -0.00024
610 0.0061
611 0.0011
612 0.0026
613 0.0011
614 -0.00025
615 0.0041
616 -0.0035
617 0.0014
618 -0.0012
619 -0.0017
620 -0.00098
621 -0.0029
622 -0.00098
623 -0.0033
624 -0.0016
625 -0.000012
626 -0.00052
627 -0.003
628 0.0084
629 0.0036
630 0.0073
631 0.0031
632 -0.001
633 0.0077
634 0.0012
635 -0.0055
636 0.0024
637 0.0033
638 -0.00024
639 -0.0037
640 -0.0035
641 0.0025
642 0.0025
643 -0.0023
644 0.0007
645 0.0024
646 0.0029
647 -0.00046
648 0.0039
649 -0.00025
650 -0.00045
651 0.0016
652 -0.0059
653 -0.0012
654 0.0032
655 0.0027
656 -0.0048
657 0.0019
658 -0.0014
659 0.00023
660 0.00044
661 0.0032
662 -0.0077
663 -0.0017
664 -0.0012
665 0.00023
666 0.0014
667 -0.000003
668 0.00046
669 -0.0017
670 0.0023
671 0.0057
672 0.0039
673 -0.0033
674 0.0045
675 -0.00073
676 -0.00024
677 -0.0019
678 -0.0045
679 -0.0047
680 -0.0014
681 -0.003
682 0.0026
683 -0.0031
684 -0.00045
685 0.00023
686 -0.0048
687 0.002
688 0.0063
689 0.0026
690 -0.0017
691 -0.00095
692 -0.0066
693 -0.00073
694 0.0025
695 -0.0007
696 0.00096
697 0.00098
698 0.0039
699 -0.0017
700 -0.0036
701 -0.0017
702 0.0042
703 -0.00072
704 -0.0034
705 -0.004
706 0.0014
707 -0.0014
708 -0.00074
709 -0.00095
710 -0.0012
711 0.00096
712 0.00024
713 -0.0021
714 0.0014
715 -0.00048
716 0.0032
717 -0.00096
718 -0.0071
719 -0.0015
720 -0.0022
721 0.0019
722 0.0021
723 -0.0068
724 0.00073
725 -0.0015
726 0.00071
727 -0.0058
728 -0.0032
729 -0.000007
730 0.0062
731 0.0058
732 -0.0025
733 0.0035
734 0.0033
735 -0.00049
736 -0.0042
737 0.0012
738 -0.00048
739 0.0051
740 0.0022
741 0.0035
742 0.0031
743 0.00047
744 0.0047
745 0.0012
746 0.003
747 -0.000011
748 -0.0034
749 0.0012
750 -0.0015
751 0.0051
752 -0.0015
753 0.0012
754 -0.0028
755 -0.0035
756 0.00095
757 -0.0032
758 0.00074
759 0.0037
760 0.00096
761 0.00098
762 0.002
763 0.0049
764 0.0017
765 -0.00052
766 0.0017
767 -0.0039
768 -0.0044
769 0.00018
770 0.00023
771 0.0076
772 -0.000021
773 0.008
774 -0.0035
775 -0.0026
776 0.00051
777 0.0045
778 -0.0012
779 -0.0025
780 0.0025
781 -0.0026
782 -0.00026
783 0.0027
784 0.0043
785 -0.0059
786 -0.0026
787 -0.00077
788 0.0038
789 0.0048
790 -0.0018
791 -0.0021
792 -0.00076
793 -0.00026
794 0.0028
795 -0.0065
796 -0.0024
797 -0.0016
798 0.003
799 0.0063
800 -0.0048
801 -0.00054
802 -0.0035
803 -0.0035
804 -0.0047
805 0.0043
806 0.0048
807 0.0038
808 0.0023
809 0.0073
810 -0.0058
811 0.0032
812 0.0038
813 0.003
814 0.003
815 -0.00026
816 -0.0049
817 0.00053
818 0.0024
819 -0.0057
820 0.0046
821 -0.0015
822 -0.0031
823 -0.00025
824 0.00025
825 0.0013
826 -0.0045
827 -0.0035
828 -0.0013
829 0.00098
830 -0.001
831 0.00072
832 -0.002
833 -0.0031
834 0.0025
835 -0.000001
836 -0.0024
837 0.003
838 0.00025
839 -0.0007
840 -0.003
841 -0.00049
842 -0.0017
843 -0.000006
844 0.0024
845 0.00092
846 -0.0017
847 0.00045
848 -0.0012
849 -0.0011
850 -0.0012
851 0.00065
852 0.0014
853 -0.00087
854 -0.00023
855 -0.0022
856 -0.0013
857 -0.0037
858 0.0022
859 0.0054
860 -0.0045
861 -0.0037
862 0.0072
863 -0.01
864 0.002
865 -0.0015
866 -0.014
867 0.012
868 -0.0027
869 0.00065
870 0.0017
871 0.011
872 0.015
873 -0.0075
874 -0.0085
875 0.0087
876 -0.0047
877 0.028
878 -0.011
879 -0.022
880 -0.025
881 -0.018
882 -0.035
883 0.006
884 0.032
885 -0.0017
886 -0.0022
887 0.015
888 0.0038
889 -0.0019
890 -0.0064
891 0.0058
892 0.000049
893 -0.0071
894 0.01
895 0.0002
896 0.0085
897 0.016
898 0.022
899 0.01
900 -0.011
901 0.029
902 -0.013
903 -0.0057
904 0.022
905 -0.0065
906 0.0027
907 0.019
908 -0.0038
909 -0.0082
910 0.0022
911 0.0061
912 0.0017
913 0.017
914 0.01
915 0.014
