#RATIR Z 
500 0.004
501 -0.00051
502 -0.0013
503 -0.00026
504 -0.0027
505 -0.0059
506 0.0019
507 0.0019
508 0.00047
509 0.0055
510 0.0043
511 0.00094
512 -0.0017
513 -0.0046
514 0.0007
515 0.0031
516 -0.0026
517 -0.0045
518 -0.000008
519 0.0021
520 -0.0019
521 -0.0038
522 -0.00072
523 0.0033
524 0.00093
525 -0.0038
526 0.0026
527 0.004
528 0.0026
529 0.0014
530 0.00023
531 0.0012
532 0.0012
533 0.00069
534 0.00023
535 -0.0016
536 0.0033
537 0.0019
538 0.00047
539 0.0045
540 -0.004
541 -0.0074
542 0.0014
543 -0.0019
544 -0.0041
545 0.0015
546 0.00048
547 0.0015
548 0.0046
549 0.0082
550 0.0019
551 -0.0019
552 -0.0058
553 -0.0024
554 0.0031
555 -0.0071
556 -0.0014
557 -0.00048
558 -0.0012
559 0.0032
560 -0.0043
561 -0.0058
562 0.0058
563 0.01
564 -0.0056
565 -0.00026
566 0.0023
567 -0.0015
568 -0.0043
569 -0.0028
570 -0.0052
571 -0.000016
572 0.00046
573 -0.0013
574 0.00024
575 0.002
576 0.0012
577 0.0023
578 -0.0015
579 0.0025
580 -0.0021
581 0.00049
582 -0.0017
583 0.0025
584 0.0042
585 0.0064
586 0.0025
587 0.0033
588 -0.001
589 -0.0021
590 0.0012
591 0.001
592 0.0038
593 0.0018
594 -0.00051
595 -0.002
596 -0.0055
597 0.0012
598 -0.0013
599 -0.0039
600 -0.00025
601 -0.00071
602 0.0041
603 0.0018
604 -0.0007
605 0.002
606 -0.0021
607 0.0055
608 -0.0014
609 0.00089
610 0.0011
611 0.0041
612 0.0044
613 0.0045
614 0.0025
615 0.0036
616 -0.0026
617 -0.0012
618 0.0038
619 -0.000023
620 -0.0017
621 -0.0024
622 -0.0036
623 -0.0087
624 0.00024
625 0.00024
626 -0.0018
627 -0.00026
628 -0.00077
629 -0.0026
630 0.0031
631 0.0025
632 0.00074
633 0.0015
634 0.0039
635 -0.0058
636 -0.000029
637 0.0014
638 -0.00048
639 0.00045
640 0.00044
641 -0.00048
642 0.0035
643 0.0035
644 0.0014
645 0.0043
646 -0.0036
647 -0.0046
648 0.006
649 0.005
650 -0.0025
651 -0.00071
652 -0.0019
653 -0.0019
654 -0.00072
655 0.0043
656 -0.0037
657 0.0019
658 -0.0057
659 -0.0052
660 -0.00069
661 0.0028
662 0.0024
663 -0.00037
664 -0.0048
665 -0.0026
666 0.0019
667 -0.0039
668 0.0014
669 -0.0032
670 -0.0046
671 0.0028
672 0.0027
673 -0.000022
674 0.0019
675 0.00071
676 -0.0058
677 -0.00049
678 0.0013
679 -0.0016
680 0.0024
681 -0.0014
682 0.0014
683 0.0014
684 -0.0014
685 -0.0024
686 -0.0031
687 -0.003
688 0.0084
689 -0.00074
690 0.0027
691 0.00069
692 -0.0026
693 -0.00027
694 -0.00025
695 -0.0028
696 -0.0027
697 0.0022
698 -0.0026
699 -0.0033
700 -0.0012
701 -0.0029
702 0.00091
703 -0.0027
704 -0.0047
705 -0.0038
706 0.003
707 -0.0053
708 -0.00077
709 0.0016
710 0.00045
711 0.00021
712 0.0012
713 0.00022
714 0.0038
715 0.0031
716 -0.00053
717 0.00093
718 -0.00098
719 0.00069
720 -0.00028
721 0.0002
722 0.004
723 -0.001
724 -0.0023
725 0.00083
726 -0.0024
727 -0.001
728 0.00023
729 -0.0062
730 0.00067
731 0.0021
732 -0.0047
733 0.0045
734 0.0012
735 -0.0017
736 -0.0022
737 -0.0056
738 -0.0048
739 -0.00005
740 -0.004
741 -0.00029
742 -0.0022
743 -0.0037
744 -0.0018
745 -0.0038
746 -0.00056
747 -0.0032
748 -0.0025
749 -0.0028
750 -0.0038
751 0.0046
752 0.0049
753 0.0017
754 0.002
755 -0.0022
756 0.0012
757 -0.0025
758 0.0028
759 -0.0013
760 0.00094
761 -0.00078
762 0.0045
763 0.0028
764 -0.000029
765 -0.0015
766 -0.0048
767 0.00048
768 0.002
769 0.0021
770 0.0017
771 0.0071
772 0.0012
773 0.005
774 -0.0023
775 0.00022
776 0.0023
777 0.0087
778 0.0049
779 0.00098
780 0.0041
781 0.0005
782 0.00047
783 0.0055
784 0.0061
785 0.0033
786 -0.0024
787 0.0043
788 0.0068
789 0.0066
790 0.01
791 0.014
792 0.019
793 0.028
794 0.038
795 0.037
796 0.049
797 0.049
798 0.061
799 0.066
800 0.068
801 0.063
802 0.075
803 0.087
804 0.11
805 0.12
806 0.15
807 0.18
808 0.23
809 0.29
810 0.38
811 0.53
812 0.72
813 1.02
814 1.47
815 2.16
816 3.27
817 5.02
818 8.02
819 12.6
820 20
821 31.1
822 45.5
823 62.1
824 76.7
825 87.7
826 94.1
827 97.1
828 98.1
829 98.6
830 98.2
831 98.3
832 98.2
833 97.9
834 97.9
835 98.2
836 98.1
837 98.2
838 98.2
839 98.3
840 98.8
841 98.6
842 98.6
843 98.7
844 98.5
845 98.5
846 98.5
847 98.6
848 98.5
849 98.4
850 98.3
851 98.5
852 98.6
853 98.4
854 98.5
855 98.4
856 98.2
857 98.1
858 98.4
859 97.7
860 98.3
861 97.9
862 98.6
863 98
864 98.6
865 98.2
866 97.8
867 97.9
868 98.1
869 98.3
870 98.1
871 98
872 98.4
873 98.6
874 98.5
875 98.2
876 97.3
877 98.3
878 98.3
879 97.5
880 99.2
881 98.1
882 98.8
883 98.6
884 97.9
885 97.8
886 97.8
887 97.9
888 97.8
889 97.8
890 97.8
891 97.8
892 97.8
893 97.7
894 97.8
895 97.8
896 97.7
897 97.7
898 97.7
899 97.7
900 97.7
901 97.6
902 97.7
903 97.6
904 97.6
905 97.6
906 97.7
907 97.7
908 97.8
909 97.7
910 97.8
911 97.7
912 97.7
913 97.7
914 97.7
915 97.7
916 97.7
917 97.7
918 97.7
919 97.7
920 97.5
921 96.9
922 95.5
923 92.5
924 87.1
925 78.5
926 67.1
927 53.7
928 40.1
929 28.5
930 18.9
931 12.2
932 7.6
933 4.82
934 3.01
935 1.94
936 1.29
937 0.86
938 0.59
939 0.43
940 0.3
941 0.22
942 0.19
943 0.14
944 0.088
945 0.068
946 0.071
947 0.05
948 0.049
949 0.018
950 0.028
951 0.036
952 0.023
953 0.026
954 0.021
955 0.024
956 0.017
957 0.0035
958 0.013
959 0.032
960 0.01
961 0.016
962 -0.00062
963 -0.016
964 0.018
965 0.021
966 0.019
967 0.0044
968 0.0057
969 0.01
970 0.00088
971 -0.00063
972 0.0027
973 0.0027
974 0.0009
975 0.016
976 0.0088
977 0.024
978 0.007
979 0.0064
980 0.015
981 0.012
982 0.018
983 0.018
984 0.006
985 0.03
986 -0.015
987 -0.019
988 0.0037
989 0.021
990 0.016
991 0.013
992 0.022
993 -0.012
994 0.019
995 0.012
996 -0.0088
997 0.029
998 -0.0017
999 0.012
1000    0.0022
1001    -0.011
1002    0.0027
1003    -0.0044
1004    0.012
1005    0.021
1006    0.0034
1007    0.00092
1008    0.034
1009    0.019
1010    0.018
1011    -0.0068
1012    -0.0037
1013    -0.0065
1014    0.015
1015    0.0065
1016    0.00012
1017    -0.0091
1018    0.0064
1019    0.034
1020    0.0032
1021    -0.0025
1022    0.044
1023    0.0015
1024    0.00052
1025    0.0018
1026    -0.0052
1027    -0.009
1028    -0.0086
1029    0.015
1030    -0.012
1031    0.0092
1032    -0.0012
1033    0.022
1034    -0.006
1035    0.015
1036    -0.00068
1037    0.0027
1038    0.018
1039    0.0053
1040    0.011
1041    0.016
1042    0.0088
1043    0.004
1044    -0.0026
1045    0.021
1046    0.0011
1047    0.019
1048    0.022
1049    0.0026
1050    0.011
1051    -0.0011
1052    -0.015
1053    0.015
1054    0.022
1055    0.017
1056    0.029
1057    0.0036
1058    -0.0026
1059    0.013
1060    0.01
1061    0.013
1062    -0.0037
1063    0.019
1064    0.032
1065    0.01
1066    0.00027
1067    0.013
1068    0.016
1069    -0.0079
1070    0.022
1071    0.027
1072    0.014
1073    0.017
1074    0.01
1075    0.006
1076    0.035
1077    -0.0063
1078    0.0038
1079    0.029
1080    0.0078
1081    0.018
1082    0.012
1083    0.045
1084    0.01
1085    0.013
1086    0.0029
1087    -0.0062
1088    0.011
1089    0.043
1090    -0.00045
1091    0.00062
1092    -0.0076
1093    -0.01
1094    0.013
1095    0.011
1096    -0.0028
1097    0.011
1098    0.0099
1099    -0.0071
1100    -0.008
1101    0.015
1102    0.0006
1103    -0.00041
1104    0.011
1105    0.0076
1106    0.0055
1107    0.0078
1108    0.025
1109    -0.015
1110    -0.0022
1111    -0.0063
1112    -0.0014
1113    0.014
1114    0.012
1115    -0.0038
1116    0.0034
1117    -0.0045
1118    -0.01
1119    0.0013
1120    -0.011
1121    -0.0018
1122    -0.02
1123    -0.0079
1124    -0.022
1125    -0.00083
1126    -0.00071
1127    0.033
1128    -0.022
1129    -0.016
1130    0.024
1131    -0.003
1132    -0.0004
1133    -0.0025
1134    -0.002
1135    0.0081
1136    0.012
1137    -0.001
1138    0.0016
1139    0.017
1140    0.0018
1141    0.0087
1142    -0.002
1143    0.0049
1144    0.0022
1145    -0.0056
1146    -0.0059
1147    -0.0093
1148    0.0077
1149    0.00041
1150    0.023
1151    -0.0018
1152    0.022
1153    -0.016
1154    0.005
1155    0.0038
1156    -0.0087
1157    0.0024
1158    0.0071
1159    -0.0039
1160    0.0084
1161    -0.0057
1162    0.0071
1163    -0.019
1164    0.024
1165    -0.00029
1166    0.014
1167    0.012
1168    0.013
1169    0.0089
1170    0.021
1171    -0.024
1172    -0.007
1173    -0.0031
1174    0.0059
1175    0.0066
1176    0.018
1177    0.0077
1178    -0.0019
1179    -0.0029
1180    -0.0081
1181    -0.011
1182    -0.0081
1183    0.0079
1184    0.0067
1185    0.023
1186    0.0064
1187    -0.017
1188    0.015
1189    -0.0035
1190    0.004
1191    0.012
1192    0.0088
1193    0.0039
1194    0.014
1195    -0.0016
1196    0.0075
1197    0.0078
1198    0.0063
1199    -0.0088
1200    0.026
1201    0.026
1202    0.0065
1203    -0.006
1204    0.00096
1205    0.00087
1206    0.0065
1207    -0.0056
1208    0.0052
1209    0.0088
1210    -0.0021
1211    -0.0039
1212    -0.0061
1213    0.0039
1214    0.012
1215    0.0014
1216    0.0017
1217    0.029
1218    -0.0043
1219    -0.018
1220    -0.0045
1221    0.0093
1222    0.0091
1223    -0.0011
1224    0.0079
1225    -0.0034
1226    0.012
1227    0.015
1228    0.013
1229    0.0028
1230    0.0086
1231    0.023
1232    0.017
1233    -0.018
1234    0.0072
1235    -0.0091
1236    0.011
1237    0.014
1238    0.008
1239    0.038
1240    0.0091
1241    -0.0054
1242    -0.0068
1243    0.0083
1244    -0.0097
1245    0.0015
1246    -0.022
1247    0.018
1248    0.027
1249    -0.0074
1250    -0.014
1251    0.0032
1252    0.023
1253    0.0063
1254    0.0045
1255    -0.0055
1256    0.001
1257    0.015
1258    0.015
1259    -0.0089
1260    -0.0028
1261    0.011
1262    0.016
1263    0.0087
1264    -0.0012
1265    0.0022
1266    0.017
1267    0.0084
1268    -0.0088
1269    -0.027
1270    -0.00055
1271    -0.0022
1272    -0.0017
1273    -0.0055
1274    0.028
1275    0.024
1276    0.012
1277    0.00026
1278    0.0059
1279    0.0089
1280    0.0063
1281    -0.012
1282    0.028
1283    0.007
1284    0.016
1285    -0.01
1286    0.0066
1287    0.008
1288    -0.002
1289    -0.0042
1290    -0.0037
1291    0.0082
1292    0.0073
1293    0.0049
1294    0.0026
1295    -0.013
1296    0.0094
1297    -0.0097
1298    0.011
1299    -0.0016
1300    0.013
1301    0.013
1302    -0.0092
1303    0.0036
1304    0.0015
1305    0.0041
1306    -0.00075
1307    0.012
1308    0.0087
1309    0.0028
1310    -0.0089
1311    -0.012
1312    -0.011
1313    0.026
1314    -0.0041
1315    0.0022
1316    0.015
1317    -0.0024
1318    0.028
1319    -0.007
1320    -0.00072
1321    0.018
1322    -0.015
1323    0.0025
1324    -0.0029
1325    0.0048
1326    0.0086
1327    0.0035
1328    0.003
1329    0.0096
1330    0.0025
1331    -0.0013
1332    -0.0073
1333    -0.01
1334    -0.0078
1335    -0.013
1336    0.019
1337    -0.0011
1338    -0.019
1339    0.000094
1340    -0.021
1341    0.014
1342    0.0064
1343    0.011
1344    0.0061
1345    -0.015
1346    -0.014
1347    -0.0028
1348    0.017
1349    -0.00063
1350    0.00074
1351    -0.0052
1352    -0.011
1353    -0.0099
1354    0.027
1355    -0.0083
1356    0.0015
1357    -0.0075
1358    -0.0015
1359    0.012
1360    0.0049
1361    -0.0024
1362    -0.038
1363    0.0058
1364    0.013
1365    0.012
1366    -0.016
1367    -0.014
1368    0.0073
1369    -0.003
1370    -0.006
1371    -0.013
1372    0.0043
1373    -0.017
1374    -0.019
1375    -0.0086
1376    -0.0049
1377    -0.024
1378    0.011
1379    -0.009
1380    -0.0078
1381    0.0083
1382    0.008
1383    0.0077
1384    -0.032
1385    -0.029
1386    -0.023
1387    0.0054
1388    -0.00022
1389    -0.02
1390    0.017
1391    0.0024
1392    -0.012
1393    -0.0034
1394    -0.016
1395    -0.021
1396    -0.0048
1397    0.0077
1398    0.00045
1399    -0.022
1400    -0.011
1401    0.0012
1402    -0.012
1403    0.0045
1404    -0.0084
1405    0.0059
1406    0.019
1407    -0.014
1408    0.0087
1409    0.012
1410    0.022
1411    -0.0018
1412    -0.0066
1413    0.0022
1414    0.0031
1415    0.0052
1416    -0.0079
1417    -0.0018
1418    -0.0048
1419    0.0063
1420    -0.0097
1421    0.012
1422    0.0011
1423    -0.014
1424    -0.014
1425    -0.0044
1426    -0.021
1427    0.021
1428    0.019
1429    0.018
1430    0.011
1431    0.015
1432    0.012
1433    0.0059
1434    0.0026
1435    -0.0023
1436    -0.0048
1437    -0.0056
1438    -0.0066
1439    0.014
1440    -0.00026
1441    -0.02
1442    0.0046
1443    0.0015
1444    -0.003
1445    -0.0014
1446    -0.016
1447    -0.022
1448    0.0082
1449    -0.013
1450    -0.011
1451    0.0065
1452    0.011
1453    -0.0029
1454    -0.0046
