13ahk 0.02639 203.805002 34.678903
filter R48
56385.320 20.520 0.140
56385.349 20.770 0.170
56386.281 20.370 0.100
56387.364 19.510 0.040
56387.393 19.700 0.050
56387.423 19.830 0.060
56389.353 19.500 0.040
56389.383 19.120 0.030
56389.413 19.510 0.050
56390.401 19.370 0.050
56390.430 19.490 0.050
56392.268 18.830 0.030
56392.297 18.790 0.030
56392.329 18.870 0.030
56393.326 18.860 0.030
56393.356 18.920 0.030
56395.240 18.680 0.020
56395.269 18.670 0.020
56395.299 18.590 0.020
56396.236 18.590 0.020
56396.265 18.630 0.020
56396.300 18.660 0.020
56399.360 18.680 0.030
56399.404 18.780 0.030
56399.434 18.890 0.030
56400.343 18.820 0.030
56400.372 18.840 0.030
56400.402 18.560 0.020
56401.348 19.020 0.040
56401.378 19.030 0.040
56401.408 18.850 0.030
56402.329 18.640 0.030
56402.358 19.020 0.040
56402.389 18.810 0.030
56403.344 18.750 0.030
56403.374 19.020 0.040
56403.404 18.800 0.040
56404.349 19.040 0.040
56404.378 19.010 0.040
56404.408 18.920 0.040
56412.344 19.660 0.070
56412.373 19.410 0.060
56412.403 19.740 0.080
56413.342 19.220 0.040
56413.372 19.750 0.070
56413.402 19.480 0.060
56414.333 20.420 0.110
56414.371 19.540 0.060
56414.442 19.590 0.070
56415.343 19.560 0.050
56415.373 19.540 0.070
56415.403 19.220 0.060
56416.335 19.540 0.050
56417.268 19.650 0.050
56417.320 20.000 0.070
56417.352 20.380 0.100
56423.158 20.460 0.130
56423.303 20.060 0.070
56423.359 20.260 0.090
56424.328 20.140 0.070
56425.263 20.200 0.070
56425.356 20.020 0.060
56425.386 20.470 0.110
56426.288 20.320 0.090
56426.342 20.550 0.130
56428.316 20.130 0.080
56429.320 20.010 0.090
56429.369 20.010 0.120
56431.362 20.540 0.150
56432.364 19.880 0.100
56432.400 20.810 0.210
56433.342 20.060 0.120
56443.225 20.140 0.070
56445.202 20.830 0.140
56446.206 20.250 0.070
56446.277 20.830 0.130
56448.215 20.420 0.090
56449.201 20.440 0.080
56449.271 20.070 0.060
56453.204 20.650 0.120
56453.272 20.910 0.190
56455.188 20.380 0.080
56455.255 21.190 0.170
filter Unot
56396.50 22.289 0.999932
filter Bnot
56396.50 21.230 0.09
56407.46 22.142 0.999923
filter Vnot
56396.50 19.642 0.09
56407.46 20.039 0.23
filter Rnot
56396.50 18.870 0.06
filter Inot
56396.50 18.330 0.05
filter rspm
56395.22 18.940 0.020
56396.27 18.849 0.022
56397.19 18.783 0.029
56398.19 18.746 0.013
56406.17 19.207 0.043
56407.22 19.397 0.033
56412.39 19.672 0.021
filter ispm
56395.22 18.526 0.019
56396.27 18.461 0.021
56397.19 18.490 0.025
56398.19 18.448 0.013
56406.17 18.630 0.025
56407.22 18.760 0.018
56412.39 18.928 0.017
56459.31 20.722 0.106
filter zspm
56397.19 18.011 0.017
56398.19 18.426 0.030
56406.17 18.289 0.033
56407.22 18.347 0.028
56412.39 18.632 0.029
filter Yspm
56398.19 17.535 0.028
56406.17 17.350 0.040
56407.22 17.400 0.019
56412.39 17.545 0.017
#filter Yspm
#Notes?
#56398.19 17.527 0.059
#56406.17 17.542 0.153
#56407.22 17.608 0.127
#56412.39 17.905 0.204
filter Jspm
#Joel, psf?
56397.19 17.344 0.125
56398.19 17.427 0.089
56406.17 18.172 0.212
56407.22 17.896 0.089
56412.39 18.049 0.100
filter Hspm
#Joel, psf
56398.19 17.626 0.089
56407.22 17.936 0.089
56412.39 18.016 0.240
#filter Y
#Notes?
#56398.19 17.400 0.300
#56406.17 17.542 0.153
#56407.22 17.259 0.247
#56412.39 17.510 0.071
#filter J2m
#Joel?
#56398.19 17.652 0.052
#56407.22 17.683 0.054
#56412.39 18.492 0.085
#filter H2m
#Joel?
#56398.19 16.194 0.050
#56407.22 16.143 0.047
#56412.39 17.717 0.078
#filter H
#Notes?
#56398.19 17.950 0.089
#56406.17 18.196 0.212
#56407.22 17.992 0.089
#56412.39 17.944 0.100
filter g60
56392.50 20.272 0.140
56393.46 20.158 0.108
56394.42 20.322 0.031
filter r60
56392.50 19.227 0.140
56393.46 19.277 0.108
56394.42 19.151 0.031
filter i60
56392.50 18.806 0.316
56393.46 18.758 0.300
56394.42 18.778 0.029
