13anh 0.0615 196.710215 15.575657
filter R48
# Semelis forced phot
56400.235 20.019 0.097
56400.265 20.087 0.081
56400.295 20.015 0.072
56401.242 19.684 0.071
56401.271 19.606 0.065
56401.301 19.742 0.119
56402.243 19.388 0.046
56402.279 19.432 0.053
56402.310 19.430 0.058
56403.251 19.250 0.055
56403.281 19.118 0.059
56403.311 19.275 0.044
56404.257 18.971 0.033
56404.286 18.919 0.043
56404.315 18.952 0.043
56412.260 18.238 0.022
56412.289 18.280 0.023
56412.325 18.266 0.027
56414.231 18.195 0.023
56414.260 18.214 0.028
56414.289 18.210 0.020
56415.228 18.226 0.025
56415.287 18.217 0.026
56415.322 18.197 0.025
56416.223 18.196 0.029
56416.254 18.188 0.031
56416.286 18.249 0.028
56417.190 18.193 0.023
56417.232 18.224 0.029
56417.271 18.222 0.024
56423.204 18.488 0.025
56423.246 18.522 0.028
56423.276 18.496 0.029
56424.177 18.559 0.025
56424.245 18.534 0.030
56424.277 18.566 0.029
56425.193 18.657 0.025
56425.222 18.626 0.022
56425.254 18.665 0.037
56426.162 18.645 0.037
56426.249 18.638 0.023
56426.278 18.691 0.030
56427.191 18.752 0.031
56427.242 18.744 0.030
56427.283 18.801 0.034
56428.185 18.805 0.036
56428.245 18.785 0.035
56428.288 18.752 0.026
56429.291 18.888 0.036
56429.345 18.824 0.036
56444.227 19.279 0.035
56444.261 19.337 0.039
56445.218 19.352 0.029
56445.267 19.326 0.026
56446.245 19.355 0.040
56446.279 19.359 0.046
56447.198 19.515 0.033
56447.264 19.433 0.031
56448.199 19.543 0.040
56448.261 19.460 0.036
56449.182 19.626 0.041
56449.250 19.629 0.046
56450.190 19.682 0.059
56450.258 19.678 0.043
56451.183 19.570 0.051
56451.251 19.759 0.058
56452.182 19.749 0.042
56452.251 19.739 0.068
56453.183 19.761 0.075
56453.251 19.790 0.061
56454.184 19.860 0.076
56454.252 19.941 0.089
56455.225 19.972 0.074
56455.259 19.947 0.070
56456.226 19.931 0.065
56456.261 20.024 0.087
56457.226 20.011 0.079
56457.260 20.001 0.083
filter Unot
56407.52 18.51 0.10
56418.47 18.44 0.05
56425.55 19.20 0.11
56445.42 20.86 0.13
filter Bnot
56407.52 18.47 0.04
56418.47 18.36 0.04
56425.55 18.79 0.03
56440.56 20.53 0.09
56445.42 20.64 0.08
filter Vnot
56407.52 18.46 0.04
56418.47 18.02 0.05
56425.55 18.36 0.03
56440.56 19.42 0.09
56445.42 19.71 0.09
filter rspm
56406.22 18.693 0.026
56407.28 18.562 0.017
56430.36 18.755 0.011
56434.35 18.913 0.013
56438.34 19.051 0.016
56447.32 19.583 0.016
filter ispm
56406.22 18.819 0.033
56407.28 18.647 0.021
56430.36 19.288 0.013
56434.35 19.202 0.017
56438.34 19.182 0.015
56447.32 19.467 0.014
filter zspm
56406.22 18.988 0.123
56407.28 19.074 0.083
56420.39 19.017 0.050
56430.36 19.313 0.044
56438.34 19.260 0.050
56447.32 19.400 0.053
filter Yspm
#off by 0.2-0.3 mag...
56406.22 18.448 0.086
56407.28 18.441 0.074
56420.39 18.842 0.106
56430.36 18.840 0.092
56438.34 18.524 0.080
56447.32 18.450 0.077
filter Jspm
56406.22 18.491 0.270
56407.28 18.683 0.225
#56420.39 18.878	9.99
#56430.36 18.420 9.99
#56447.32 18.839 9.99
#filter Hspm
#56407.28 18.362 9.99
#56420.39 18.226 9.99
#56430.36 18.586 9.99
#56438.34 18.691 9.99
#56447.32 18.748 9.99
#filter H
##Old RATIR photometry!
#56406.22 18.389 0.223
#56430.36 18.614 0.179
#56438.34 18.698 0.193
#56447.32 18.759 0.212
#filter WFCAMY
#old phot from Ori?
#56406.0 18.58 0.09
#56420.0 18.84 0.06
#56430.0 18.78 0.04
#56447.0 18.60 0.04
#filter Y
#old phot from Ori?
#56406.0 17.946 0.09
#56420.0 18.206 0.06
#56430.0 18.146 0.04
#56447.0 17.966 0.04
#filter J2m
##old phot from Ori?
#56406.0 17.97 0.10
#56420.0 18.62 0.14
#56430.0 18.76 0.10
#56447.0 18.43 0.09
#filter WFCAMH
#old phot from Ori?
#56406.0 17.96 0.19
#56430.0 18.13 0.15
#filter Rnot
#56407.52 18.27 0.04
#56418.47 17.90 0.03
#filter Inot
#56407.52 18.36 0.04
#56418.47 18.36 0.03
#filter Y
#From CSPII
#56403.14  19.096  0.198
