13ayw 0.05385 234.88965 32.093954
filter R48
56422.388 18.860 0.030
56422.418 18.900 0.030
56422.447 18.900 0.030
56425.350 18.410 0.020
56425.379 18.430 0.020
56425.409 18.410 0.020
56431.385 18.120 0.020
56431.415 18.140 0.020
filter rspm
#190506
56425.33 18.29 0.01
56431.37 17.94 0.01
56433.36 17.95 0.01
56438.36 18.18 0.01
56440.31 18.35 0.02
56442.35 18.44 0.01
filter ispm
#190506
56425.33 18.46 0.01
56431.37 18.47 0.01
56433.36 18.46 0.01
56438.36 18.85 0.02
56440.31 19.04 0.01
56442.35 19.16 0.01
filter zspm
#190506
56425.33 18.71 0.05
56431.37 18.58 0.04
56438.36 18.85 0.07
56440.31 19.06 0.05
56442.35 19.07 0.10
filter Yspm
#190506
56425.33 18.17 0.04
56431.37 18.19 0.04
56438.36 18.69 0.05
56440.31 18.71 0.04
56442.35 18.80 0.05
filter Jspm
#190506
56425.33 18.37 0.18
56431.37 18.59 0.21
#56440.31 > 18.88
#56442.35 > 18.98
#filter Hspm
#190506
#56425.33 > 18.27
#56431.37 > 18.09
#56440.31 > 18.27
#56442.35 > 18.20
##Old redux:
#filter rspm
#56425.000 18.286 0.055
#56431.000 17.941 0.085
#56433.000 17.956 0.066
#56438.000 18.192 0.073
#56440.000 18.349 0.074
#56442.000 18.461 0.046
#filter ispm
#56425.000 18.470 0.054
#56431.000 18.460 0.065
#56433.000 18.496 0.041
#56438.000 18.902 0.054
#56440.000 19.229 0.060
#56442.000 19.213 0.047
#filter zspm
#56425.000 18.756 0.053
#56431.000 18.536 0.052
#56438.000 18.890 0.058
#56440.000 19.131 0.052
#56442.000 19.209 0.056
#filter Yspm
#56425.000 18.047 0.165
#56431.000 18.192 0.167
#56438.000 18.446 0.164
#56440.000 18.595 0.162
#56442.000 18.634 0.160
#filter Jspm
#56425.000 18.464 0.131
#56431.000 18.679 0.141
filter Hspm
56425.000 18.181 0.129
56431.000 18.266 0.140
filter Blcogt
56428.2761      18.3534       0.0544
56431.2751      18.4074       0.0679
56432.2713      18.3457       0.0582
56432.2752      18.4699       0.0640
56434.2434      18.3733       0.0631
56434.2473      18.4240       0.0796
56437.2472      18.6950       0.0787
56440.2537      18.9515       0.2357
56443.2434      19.3043       0.1112
56443.2473      19.0984       0.1152
56445.2433      19.4986       0.1400
56445.2472      19.3086       0.1370
filter Vlcogt
56428.2805      18.2700       0.0872
56428.2831      18.2400       0.0803
56431.2790      18.2382       0.0872
56431.2811      18.3962       0.0882
56432.2790      18.2238       0.0793
56432.2813      18.2498       0.0842
56434.2511      18.2975       0.1199
56434.2533      18.2517       0.0902
56437.2511      18.3410       0.0971
56440.2576      18.6168       0.1697
56440.2597      18.4597       0.2235
56443.2511      18.9739       0.1278
56443.2533      19.0388       0.1686
56445.2510      18.9242       0.1219
56445.2532      18.8651       0.1408
filter glcogt
56428.2857      18.2523       0.0435
56428.2901      18.3193       0.0462
56431.2833      18.1756       0.0460
56431.2872      18.1195       0.0388
56432.2834      18.2650       0.0537
56432.2873      18.2418       0.0519
56434.2554      18.2256       0.0738
56434.2592      18.1910       0.0661
56437.2553      18.5077       0.1274
56437.2592      18.5368       0.1186
56440.2619      18.6333       0.1192
56443.2554      19.2147       0.0798
56443.2593      19.2675       0.0778
56445.2553      19.3514       0.0760
56445.2591      19.4571       0.0963
filter rlcogt
56428.2945      18.3091       0.0896
56428.2972      18.2591       0.0767
56431.2911      18.0534       0.0707
56431.2932      17.9963       0.0668
56432.2912      18.0051       0.0856
56432.2933      18.1320       0.0906
56434.2631      18.2043       0.0866
56434.2653      18.1803       0.0876
56437.2631      18.0286       0.1324
56437.2652      17.9926       0.1583
56443.2632      18.6453       0.0926
56443.2653      18.8202       0.1035
56445.2630      18.6982       0.1005
56445.2651      18.6441       0.0955
#filter ilcogt
#56428.2998      18.8395       0.1995
#56428.3025      18.8955       0.2354
#56431.2953      18.8902       0.2204
#56431.2975      19.0021       0.2714
#56432.2955      18.7812       0.1805
#56432.2976      18.6902       0.2174
#56434.2674      19.0310       0.2364
#56434.2696      19.0670       0.2105
#56445.2673      19.9329       0.4782
#56445.2694      19.7059       0.3903
