13azs 0.03383 256.067046 41.510353
filter R48
56423.448 19.460 0.040
56423.478 19.430 0.040
56423.490 19.430 0.050
56424.422 19.030 0.030
56424.451 19.080 0.030
56424.468 19.070 0.030
56425.435 18.830 0.030
56425.464 18.780 0.020
56425.483 18.740 0.030
56426.458 18.530 0.020
56426.487 18.520 0.030
56427.445 18.300 0.020
56427.475 18.340 0.020
56427.480 18.320 0.020
56431.468 17.870 0.010
56432.443 17.810 0.010
56432.474 17.800 0.010
56433.438 17.820 0.010
56433.467 17.790 0.010
56434.420 17.740 0.010
56434.450 17.760 0.010
filter Unot
56428.51 18.44 0.09
56436.47 17.96 0.06
56440.59 18.05 0.04
56445.51 18.71 0.09
56457.45 19.47 0.15
#56465.62 19.58 0.24
56477.57 21.42 0.39
filter Bnot
56428.51 18.46 0.04
56436.47 17.94 0.03
56440.59 17.94 0.04
56445.51 18.53 0.06
56457.45 19.30 0.10
#56465.62 19.40 0.11
56477.57 21.21 0.39
56488.60 20.98 0.55
filter Vnot
56428.51 18.18 0.04
56436.47 17.64 0.03
56440.59 17.63 0.04
56445.51 17.83 0.06
56457.45 18.35 0.10
#56465.62 18.66 0.12
56477.57 19.96 0.39
56488.60 20.09 0.55
filter ps1_g
56452.47 18.51 0.02
56458.50 19.15 0.04
filter ps1_r
56458.530 18.250 0.040
56469.226 18.765 0.027
filter ps1_i
56433.390 17.821 0.019
56464.430 18.370 0.020
56469.226 18.577 0.027
#filter rspm
#old photometry!
#56428.365 18.071 0.017
#56431.397 17.727 0.015
#56433.391 17.608 0.014
#56438.432 17.520 0.016
#56441.303 17.580 0.013
#56459.383 18.341 0.020
#56466.245 18.606 0.023
#filter ispm
#old photometry!
#56428.365 18.102 0.021
#56431.397 17.861 0.018
#56438.432 18.011 0.025
#56441.303 17.979 0.020
#56459.383 18.446 0.024
#56466.245 18.459 0.025
#filter zspm
#old photometry!
#56428.365 18.102 0.032
#56431.398 17.885 0.027
#56438.433 17.880 0.036
#56441.303 17.919 0.026
#56459.383 18.107 0.031
#56466.245 18.198 0.033
#filter Jspm
#old photometry!
#56428.365 17.465 0.047
#56431.397 17.322 0.043
#56441.303 17.880 0.068
#56459.383 18.538 0.114
#56466.245 18.112 0.076
filter H
#old photometry!
56428.365 17.227 0.076
56431.397 17.236 0.082
56441.303 17.437 0.101
#56459.383 17.068 0.093
#56466.245 17.347 0.071
filter rspm
#190521
56428.37 18.08 0.02
56431.40 17.73 0.01
56433.39 17.59 0.01
56438.43 17.53 0.01
56441.30 17.57 0.01
56459.38 18.33 0.02
56466.24 18.61 0.02
56469.22 18.74 0.04
56487.32 19.49 0.05
filter ispm
#190521
56428.37 18.13 0.02
56431.40 17.88 0.01
56433.39 17.84 0.02
56438.43 18.00 0.02
56441.30 18.06 0.01
56459.38 18.46 0.02
56466.24 18.46 0.02
56469.22 18.60 0.04
56487.32 19.52 0.05
filter zspm
#190521
56428.37 18.11 0.07
56431.40 17.88 0.03
56438.43 17.87 0.03
56441.30 17.89 0.02
56459.38 18.17 0.06
56466.24 18.24 0.07
56487.32 19.45 0.34
filter Yspm
#190521
56428.37 17.53 0.03
56431.40 17.40 0.03
56438.43 17.63 0.04
56441.30 17.79 0.04
56459.38 17.59 0.04
56466.24 17.35 0.03
56487.32 17.95 0.06
filter Jspm
#190521
56428.37 17.54 0.05
56431.40 17.22 0.03
56441.30 17.94 0.07
56459.38 18.64 0.09
56466.24 18.15 0.07
56487.32 18.82 0.33
