13bkw 0.06393 200.48984 11.735753
filter R48
56442.202 20.910 0.170
56442.237 20.940 0.180
56443.210 20.470 0.110
56443.245 20.310 0.110
56444.193 19.950 0.070
56444.243 20.190 0.080
56445.199 19.750 0.050
56445.264 19.790 0.050
56446.190 19.570 0.040
56446.255 19.510 0.040
56447.197 19.280 0.030
56447.262 19.200 0.030
56448.197 19.080 0.030
56448.259 19.070 0.030
56449.184 18.910 0.030
56449.248 18.850 0.020
56450.191 18.800 0.020
56450.255 18.810 0.020
56451.184 18.680 0.020
56451.249 18.620 0.020
56452.184 18.560 0.020
56452.249 18.590 0.020
56453.185 18.530 0.020
56453.249 18.530 0.020
56454.185 18.450 0.020
56454.250 18.420 0.020
56455.226 18.400 0.020
56455.260 18.370 0.020
56456.232 18.380 0.020
56456.267 18.370 0.020
56457.230 18.320 0.020
56457.264 18.330 0.020
56458.231 18.290 0.020
56458.265 18.310 0.020
56459.227 18.330 0.020
56459.261 18.250 0.020
56463.223 18.300 0.030
56463.258 18.390 0.030
filter Unot
56456.93 18.13 0.07
56464.98 18.60 0.09
filter Bnot
56456.93 18.25 0.07
56464.98 18.62 0.08
filter Vnot
56456.93 18.04 0.07
56464.98 18.22 0.08
filter rspm
56462.18 18.232 0.006
56465.23 18.312 0.007
56468.23 18.467 0.007
filter ispm
56462.18 18.716 0.008
56465.23 18.867 0.012
56468.23 19.049 0.013
filter zspm
56462.18 18.989 0.026
56465.23 19.086 0.032
56468.23 19.397 0.038
filter Yspm
56462.18 19.105 0.126
56465.23 19.215 0.174
56468.23 18.849 0.138
#filter Jspm
#56462.18 19.644 0.234
#56465.23 19.499 9.999
#56468.23 19.622 9.999
filter Jspm
#sub by joel...
56462.18 19.000 0.205
filter Blcogt
56459.021 18.462 0.070
56459.026 18.477 0.070
56459.156 18.527 0.094
56459.161 18.649 0.088
56460.156 18.427 0.090
56460.161 18.558 0.106
56461.021 18.298 0.094
56461.026 18.389 0.106
56462.159 18.578 0.078
56462.164 18.570 0.089
56463.026 18.446 0.115
56464.959 18.378 0.088
56464.961 18.489 0.102
56466.959 18.826 0.123
56466.961 18.921 0.133
56467.075 18.898 0.173
56468.960 19.082 0.143
56468.962 19.032 0.139
56474.976 19.651 0.189
56475.028 19.520 0.192
56475.031 19.543 0.204
56476.028 19.827 0.237
56476.030 19.935 0.269
56481.146 20.133 0.248
56481.149 19.999 0.251
filter Vlcogt
56459.030 18.368 0.068
56459.033 18.451 0.079
56459.166 18.160 0.085
56459.168 18.195 0.102
56460.166 18.346 0.111
56460.168 18.220 0.115
56461.030 18.206 0.091
56462.171 18.381 0.073
56464.962 18.253 0.132
56464.964 18.523 0.145
56466.962 18.292 0.129
56466.964 18.486 0.148
56467.077 18.449 0.153
56467.078 18.595 0.131
56468.101 18.445 0.191
56468.963 18.474 0.113
56468.964 18.583 0.119
56474.981 18.984 0.123
56475.033 18.797 0.127
56475.035 18.934 0.124
56476.033 19.163 0.156
56476.034 19.093 0.155
56478.184 19.056 0.204
56479.183 19.099 0.197
56479.184 19.172 0.171
56480.182 19.366 0.272
56480.184 19.169 0.229
56481.151 19.661 0.262
56481.152 19.340 0.280
56485.986 19.876 0.291
56485.987 19.875 0.298
filter glcogt
56459.035 18.471 0.040
56459.040 18.407 0.043
56459.171 18.310 0.062
56459.175 18.413 0.077
56462.178 18.338 0.071
56463.035 18.326 0.070
56463.040 18.359 0.082
56466.965 18.690 0.094
56466.967 18.556 0.097
56467.079 18.521 0.122
56467.081 18.619 0.140
56474.984 19.467 0.103
56475.036 19.399 0.078
56475.038 19.353 0.079
56475.705 19.332 0.102
56475.707 19.293 0.115
56478.185 19.648 0.152
56478.188 19.738 0.144
56480.185 19.904 0.187
56480.188 19.809 0.182
56481.154 19.764 0.147
56481.156 20.076 0.179
56485.154 20.180 0.214
56485.156 20.371 0.263
56485.989 20.205 0.160
56485.991 20.213 0.173
56487.154 20.442 0.154
56487.156 20.707 0.237
