13crp 0.0630 29.750591 16.264187
filter R48
56511.430 21.136 0.352
56512.426 20.687 0.271
56512.463 20.498 0.267
56513.365 20.495 0.198
56513.424 20.418 0.180
56513.462 20.506 0.250
56514.364 19.978 0.196
56514.422 20.059 0.305
56514.459 19.807 0.151
56515.361 19.524 0.113
56515.417 19.733 0.162
56515.453 19.661 0.122
56516.355 19.407 0.118
56516.412 19.355 0.111
56516.450 19.294 0.081
56517.352 19.151 0.092
56517.407 19.126 0.101
56517.443 19.262 0.131
56518.345 18.975 0.108
56518.399 19.026 0.105
56518.436 19.087 0.078
56519.338 18.884 0.093
56519.394 18.870 0.104
56519.431 18.810 0.084
56520.332 18.770 0.117
56520.423 18.697 0.099
56520.460 18.771 0.104
56521.362 18.742 0.103
56521.423 18.706 0.086
56521.459 18.661 0.100
56527.515 18.382 0.100
56532.295 18.419 0.059
56532.369 18.430 0.059
56533.293 18.394 0.063
56533.360 18.477 0.088
56533.396 18.427 0.084
56537.316 18.637 0.097
56537.391 18.598 0.097
56537.429 18.643 0.104
56538.382 18.676 0.091
56539.276 18.608 0.071
56539.312 18.693 0.085
56539.348 18.656 0.110
56540.417 18.785 0.109
56540.490 18.811 0.082
56541.273 19.047 0.142
56541.309 18.915 0.091
56541.348 18.794 0.084
56542.309 18.968 0.080
56542.346 18.943 0.092
56543.265 18.983 0.091
56543.302 18.962 0.107
56543.338 18.947 0.117
56545.363 19.040 0.112
56545.399 19.130 0.109
56546.301 19.245 0.101
56546.349 19.080 0.091
56546.387 19.123 0.116
56547.289 19.146 0.098
56547.398 19.079 0.074
56547.435 19.115 0.099
56548.336 19.053 0.100
56548.396 19.128 0.119
56548.432 19.078 0.116
56549.334 19.124 0.100
56549.372 19.148 0.093
56549.418 19.150 0.101
56550.319 19.137 0.120
56550.352 19.050 0.107
56550.415 19.087 0.087
56551.317 18.990 0.059
56551.350 19.180 0.117
56551.389 19.155 0.102
56552.291 19.111 0.100
56552.324 19.018 0.110
56552.357 19.164 0.128
56561.222 19.180 0.101
56561.276 19.173 0.128
56561.324 19.292 0.112
56562.436 19.372 0.102
56562.469 19.367 0.120
56562.502 19.326 0.142
56563.404 19.574 0.172
56563.437 19.419 0.099
56563.470 19.495 0.147
56564.378 19.418 0.097
56564.411 19.455 0.091
56564.443 19.448 0.123
56565.346 19.506 0.129
56565.393 19.628 0.161
56565.432 19.626 0.151
56566.334 19.543 0.144
56566.367 19.480 0.096
56566.421 19.556 0.123
56567.323 19.599 0.113
56567.358 19.727 0.120
56567.395 19.690 0.112
56568.298 19.711 0.151
56568.337 19.679 0.136
56568.372 19.478 0.111
56569.282 19.777 0.150
56569.373 19.658 0.159
56569.409 19.788 0.132
56570.310 19.723 0.161
56570.377 19.766 0.159
56571.367 19.726 0.112
56571.400 19.774 0.204
56572.302 19.933 0.188
56572.352 19.945 0.102
56572.386 19.867 0.103
56573.287 19.892 0.122
56573.331 19.759 0.129
56573.373 19.780 0.144
56576.368 19.974 0.149
56576.409 19.645 0.094
56576.453 20.053 0.154
56577.355 19.872 0.108
56577.382 19.950 0.128
56577.407 20.087 0.187
56578.309 19.986 0.132
56578.335 19.859 0.124
56579.297 20.026 0.208
56579.322 19.820 0.138
56579.347 20.045 0.250
56580.288 20.098 0.217
56580.315 19.827 0.119
56581.229 20.314 0.359
56581.284 20.205 0.354
56581.308 20.183 0.349
56588.251 20.177 0.162
56588.276 20.288 0.236
56589.178 20.229 0.187
56589.220 20.027 0.100
56589.245 19.953 0.118
56590.147 20.363 0.311
56590.203 20.240 0.180
56590.228 20.312 0.161
56591.134 20.343 0.294
56591.216 20.207 0.207
56591.242 20.408 0.210
56592.276 20.454 0.146
56592.335 20.501 0.213
56592.360 20.351 0.154
56593.262 20.391 0.209
56596.121 20.493 0.305
56596.240 19.988 0.172
56596.265 20.313 0.221
56597.167 20.426 0.216
56597.218 20.360 0.255
56597.251 20.794 0.278
56598.152 20.499 0.361
56598.181 20.489 0.330
56599.207 20.121 0.207
56600.303 20.733 0.206
56600.327 20.480 0.195
56602.104 19.971 0.277
56602.224 19.843 0.276
56603.126 20.385 0.277
56603.219 20.428 0.241
56604.318 20.502 0.220
56604.343 20.788 0.293
56605.245 20.362 0.120
56605.270 20.535 0.102
56605.315 20.832 0.139
56607.112 20.276 0.311
56607.232 20.851 0.299
56607.257 20.548 0.240
56608.166 20.612 0.309
56608.217 20.396 0.275
filter B60
56549.498 20.169 0.023
56551.398 20.693 0.145
56567.254 21.500 0.999
filter g60
56549.499 20.047 0.015
56551.399 20.397 0.079
56553.297 20.600 0.999
56560.392 20.700 0.999
56566.269 21.200 0.999
56568.245 21.092 0.103
56571.443 20.889 0.159
56573.345 21.118 0.113
filter r60
56549.496 19.118 0.010
56551.397 19.198 0.031
56553.295 19.254 0.036
56560.391 19.552 0.077
56566.268 19.466 0.053
56568.244 19.770 0.056
56571.442 20.012 0.103
56573.344 20.223 0.089
56578.305 20.600 0.999
filter rspm
56517.46 19.236 0.015
56520.33 18.774 0.012
56523.32 18.507 0.014
56532.31 18.353 0.008
56539.34 18.667 0.012
filter ispm
56517.46 19.195 0.017
56520.33 18.914 0.016
56523.32 18.768 0.019
56532.31 18.827 0.016
56539.34 19.185 0.028
filter zspm
56517.46 19.331 0.080
56520.33 18.940 0.080
56523.32 18.938 0.077
56532.31 18.898 0.065
56539.34 19.392 0.186
filter Yspm
56517.46 18.50 0.30
56520.33 18.19 0.29
56523.32 18.38 0.20
#56532.31 > 17.69
#56539.34 > 17.42
filter Jspm
56517.46 18.223 0.194
56520.33 18.141 0.198
#56523.32 17.912 0.186
#56532.31 > 17.60
#56539.34 > 17.41
#filter Jspm
#56517.46 18.223 0.194
#56520.33 18.141 0.198
#56523.32 17.912 0.186
#filter Yspm
##some old version??
#56517.46 19.747 0.198
#56520.33 18.318 0.163
#56523.32 18.786 0.191
#filter Jspm
#some old version??
#56517.46 18.395 0.198
#56520.33 18.318 0.163
filter Unot
56518.62 19.891 0.022
filter Bnot
56518.62 19.404 0.007
56529.66 19.161 0.012
56543.67 19.809 0.010
filter Vnot
56518.62 19.181 0.007
56529.66 18.419 0.012
56543.67 19.063 0.010
