13daw 0.07755 40.880381 1.984422
filter R48
56532.377 20.752 0.262
56532.414 20.670 0.252
56532.450 20.398 0.188
56533.352 20.426 0.216
56533.389 20.189 0.162
56533.425 20.142 0.149
56537.344 19.449 0.063
56537.382 19.409 0.069
56537.418 19.434 0.073
56539.331 19.235 0.086
56539.368 19.253 0.086
56539.405 19.232 0.078
56540.441 19.284 0.097
56540.477 19.154 0.075
56540.514 19.110 0.094
56541.416 18.989 0.133
56541.452 19.111 0.082
56541.489 19.094 0.075
56542.432 19.104 0.085
56542.467 19.091 0.093
56542.503 19.055 0.072
56543.442 18.951 0.112
56543.478 18.957 0.090
56545.351 19.112 0.087
56545.387 19.042 0.062
56546.312 19.067 0.076
56546.348 19.033 0.075
56546.385 19.051 0.089
56547.310 19.102 0.076
56547.347 19.054 0.088
56547.384 19.116 0.074
56548.307 19.182 0.084
56548.343 19.115 0.066
56548.381 19.164 0.073
56549.304 19.202 0.105
56549.340 19.114 0.077
56549.390 19.277 0.073
56550.301 19.311 0.092
56550.334 19.236 0.075
56550.368 19.301 0.080
56551.298 19.333 0.112
56551.331 19.394 0.105
56551.364 19.421 0.110
56552.296 19.345 0.155
56552.330 19.394 0.129
56552.362 19.419 0.122
56561.271 19.510 0.186
56561.321 19.709 0.174
56561.353 19.560 0.135
56562.445 19.819 0.095
56562.478 19.698 0.088
56562.511 19.812 0.151
56563.413 19.765 0.130
56563.446 19.923 0.087
56563.479 19.874 0.107
56564.384 19.981 0.130
56564.417 20.013 0.083
56564.450 19.835 0.110
56565.353 20.028 0.108
56565.390 20.154 0.117
56565.426 20.073 0.143
56566.329 20.017 0.098
56566.361 20.044 0.118
56566.395 20.161 0.126
56567.297 20.176 0.109
56567.333 20.202 0.104
56567.365 20.128 0.085
56568.268 20.299 0.125
56568.302 20.185 0.097
56568.336 20.128 0.120
56569.269 20.208 0.172
56569.302 20.254 0.154
56569.335 20.205 0.109
56570.248 20.111 0.319
56571.277 20.242 0.357
56571.311 20.158 0.296
56572.274 20.765 0.258
56573.239 20.800 0.262
56573.272 20.634 0.177
56573.306 20.588 0.177
56576.394 20.782 0.260
56576.460 20.891 0.273
56577.362 20.921 0.288
56578.332 20.614 0.276
56579.307 20.677 0.272
56579.359 20.813 0.356
56580.311 20.712 0.332
56589.225 20.817 0.359
56592.319 21.411 0.351
56592.344 20.905 0.235
56599.167 20.915 0.351
56599.216 20.865 0.309
filter B60
56541.359110000078 19.321802910092 0.038156449421
56542.302929999772 19.428614522486 0.038672813813
56546.292750000022 19.418995160933 0.035005082079
56549.283849999774 19.788504524794 0.110799612106
56550.280979999807 19.753386288243 0.109417711122
56565.363270000089 21.628114794757 0.119253658110
filter g60
56541.362540000118 19.062907231456 0.023201572420
56546.294400000013 19.314838393155 0.028092206826
56549.285500000231 19.482924098993 0.067712891530
56552.276430000085 19.759391345333 0.130955345130
56553.274970000144 20.126884540098 0.148775701889
56555.339670000132 20.169937010276 0.126226997419
56555.346220000181 20.391922575974 0.116752482504
56565.364910000004 21.228689495583 0.074091145676
56567.314600000158 21.483368153260 0.104429426808
56568.308300000150 21.473788271109 0.111470040939
filter r60
56537.382470000070 19.513042075657 0.017167894202
56546.291139999870 19.089032874970 0.022511794000
56548.303580000065 19.145785551492 0.014788915284
56552.274830000009 19.514106572817 0.066828221449
56555.278959999792 19.532912751647 0.071441407488
56555.342869999819 19.587997506900 0.075040707684
56564.320290000178 20.000756116691 0.050544455095
56565.328499999829 20.110833833582 0.048970904723
56567.311350000091 20.249411879747 0.031931618093
56572.409310000017 20.761430847652 0.091380938472
56573.312380000018 20.743597427060 0.098342628278
filter i60
56555.341270000208 19.822634622174 0.079816878861
56564.315460000187 19.801061490407 0.052799142863
56567.303590000141 20.001402899947 0.049838420129
56572.407709999941 20.572564006595 0.099672223047
56573.292379999999 20.325477194805 0.079070906897
filter rspm
56540.333	19.150 0.015
56544.323	19.013 0.015
56553.299	19.360 0.022
filter ispm
56540.333	19.374 0.027
56544.323	19.364 0.024
56553.299	19.881 0.046
filter zspm
56540.33 19.389 0.150
56544.32 19.473 0.151
56550.31 19.727 0.150
56553.30 19.849 0.138
filter Yspm
56544.323	19.01 0.42
56550.306	19.12 0.33
56553.299	19.32 0.32
####OLD VERSIONS:
#filter R48
#56532.377 20.870 0.120
#56532.414 20.930 0.170
#56532.450 20.550 0.080
#56533.352 20.530 0.100
#56533.389 20.100 0.070
#56533.425 20.410 0.070
#56537.344 19.530 0.040
#56537.382 19.490 0.030
#56537.418 19.520 0.030
#56539.331 19.260 0.040
#56539.368 19.320 0.030
#56539.405 19.290 0.030
#56540.441 19.290 0.060
#56540.477 19.230 0.030
#56540.514 19.180 0.030
#56541.452 19.200 0.020
#56541.489 19.190 0.030
#56542.432 19.150 0.030
#56542.467 19.140 0.030
#56542.503 19.110 0.030
#56543.442 19.100 0.040
#56543.478 19.160 0.030
#56545.351 19.090 0.040
#56545.387 19.120 0.030
#56546.312 19.120 0.030
#56546.348 19.120 0.030
#56546.385 19.080 0.030
#56547.310 19.180 0.030
#56547.347 19.130 0.030
#56547.384 19.190 0.030
#56548.307 19.280 0.040
#56548.343 19.200 0.030
#56548.381 19.260 0.030
#56549.304 19.310 0.070
#56549.340 19.230 0.040
#56549.390 19.360 0.030
#56550.301 19.410 0.060
#56550.334 19.330 0.040
#56550.368 19.390 0.040
#56551.298 19.360 0.070
#56551.331 19.470 0.060
#56551.364 19.480 0.050
#56552.296 19.420 0.080
#56552.330 19.460 0.070
#56552.362 19.550 0.070
#56561.271 19.960 0.130
#56561.321 19.840 0.090
#56561.353 19.650 0.080
#56562.445 19.850 0.060
#56562.478 19.840 0.060
#56562.511 19.880 0.070
#56563.413 19.820 0.070
#56563.446 19.980 0.060
#56563.479 19.930 0.060
#56564.384 20.050 0.060
#56564.417 20.050 0.060
#56564.450 19.960 0.060
#56565.353 20.120 0.060
#56565.390 20.180 0.070
#56565.426 20.100 0.060
#56566.329 20.060 0.070
#56566.361 20.030 0.060
#56566.395 20.220 0.060
#56567.297 20.230 0.060
#56567.333 20.230 0.060
#56567.365 20.200 0.060
#56568.268 20.290 0.080
#56568.302 20.240 0.070
#56568.336 20.270 0.060
#56569.269 20.310 0.120
#56569.302 20.300 0.100
#56569.335 20.300 0.070
#56571.277 20.780 0.230
#56572.274 20.570 0.110
#56573.239 20.730 0.160
#56573.272 20.520 0.100
#56573.306 20.570 0.100
#56576.394 20.800 0.120
#56576.460 20.790 0.130
#56577.362 20.840 0.130
#56577.387 20.830 0.150
#56578.332 20.710 0.120
#56579.307 20.850 0.220
#56579.332 20.660 0.190
#56580.285 20.440 0.190
#56580.311 20.560 0.170
#56589.199 21.170 0.240
#56589.225 21.090 0.190
#56592.319 21.210 0.210
#56592.344 21.090 0.150
#filter rspm
#56540.333	19.134 0.014
#56544.323	18.999 0.014
#56553.299	19.350 0.024
#filter ispm
#56540.333	19.326 0.024
#56544.323	19.304 0.021
#56553.299	19.820 0.044
#filter zspm
#56540.333	19.513 0.150
#56544.323	19.578 0.168
#56550.306	19.842 0.150
#56553.299	19.974 0.150
#filter Yspm
##not same as currrent google-doc version?
#56544.323	18.970 0.207
#56550.306	18.932 0.254
#56553.299	19.479 0.257
