13ddg 0.084 11.961798 31.821517
filter R48
56532.254 21.448 0.311
56532.290 21.089 0.258
56533.275 20.804 0.228
56533.377 21.162 0.153
56537.335 19.687 0.034
56537.444 19.754 0.042
56537.480 19.701 0.050
56539.198 19.481 0.064
56539.235 19.412 0.055
56539.313 19.451 0.047
56540.466 19.252 0.029
56540.502 19.207 0.036
56541.191 19.288 0.074
56541.231 19.202 0.056
56541.292 19.199 0.047
56542.193 19.165 0.069
56543.205 19.060 0.047
56543.244 18.946 0.034
56543.283 19.031 0.046
56545.418 18.939 0.031
56546.178 18.920 0.056
56546.228 18.877 0.048
56546.402 18.925 0.036
56547.304 18.903 0.039
56547.439 18.908 0.043
56547.476 18.861 0.037
56548.377 18.889 0.038
56548.437 18.918 0.041
56548.474 18.897 0.036
56549.376 18.862 0.037
56549.435 18.862 0.037
56549.472 18.881 0.033
56550.373 18.922 0.032
56550.433 18.838 0.038
56550.466 18.860 0.032
56551.369 18.923 0.042
56551.411 18.886 0.041
56551.444 18.901 0.032
56552.346 18.942 0.061
56552.386 18.891 0.050
56552.422 18.909 0.052
56561.155 19.361 0.070
56561.303 19.473 0.079
56561.340 19.389 0.079
56562.421 19.442 0.064
56562.459 19.406 0.096
56562.492 19.532 0.070
56563.394 19.509 0.066
56563.428 19.419 0.047
56563.461 19.475 0.059
56564.367 19.484 0.059
56564.403 19.516 0.058
56564.442 19.581 0.064
56565.344 19.671 0.055
56565.410 19.669 0.065
56565.443 19.576 0.055
56566.346 19.613 0.051
56566.391 19.620 0.059
56566.434 19.596 0.070
56567.337 19.761 0.048
56567.371 19.624 0.051
56567.414 19.591 0.059
56568.316 19.594 0.048
56568.366 19.596 0.058
56568.402 19.623 0.052
56569.304 19.603 0.072
56569.431 19.666 0.063
56569.463 19.526 0.052
56570.367 19.598 0.121
56570.408 19.540 0.151
56570.446 19.794 0.201
56571.351 19.619 0.097
56571.394 19.725 0.098
56571.439 19.479 0.068
56572.341 19.786 0.077
56572.377 19.683 0.073
56572.427 19.734 0.067
56573.329 19.715 0.060
56573.362 19.783 0.056
56573.395 19.795 0.065
56576.348 19.743 0.064
56576.470 19.710 0.093
56577.100 19.651 0.126
56577.126 19.992 0.114
56577.248 19.800 0.079
56578.140 20.030 0.094
56578.165 19.901 0.099
56578.190 19.798 0.083
56579.327 19.891 0.109
56579.352 19.898 0.104
56580.253 19.841 0.121
56580.309 19.959 0.102
56580.334 20.047 0.110
56581.236 20.089 0.159
56581.311 20.230 0.180
56581.337 20.100 0.204
56587.127 20.311 0.128
56587.244 20.266 0.122
56587.268 20.574 0.130
56588.169 20.687 0.253
56588.266 20.376 0.223
56588.292 20.619 0.214
56589.194 20.638 0.087
56589.247 20.712 0.170
56589.274 20.595 0.151
56590.176 20.675 0.152
56590.322 20.558 0.096
56590.346 20.569 0.124
56591.248 20.432 0.129
56591.274 20.359 0.304
56591.304 20.744 0.100
56592.260 20.775 0.097
56592.373 20.807 0.191
56592.398 20.726 0.128
56596.106 20.825 0.166
56596.253 20.553 0.140
56596.280 20.894 0.207
56597.182 20.852 0.177
56597.269 20.884 0.178
56597.296 20.794 0.154
56598.198 20.602 0.133
56598.265 20.987 0.242
56598.291 20.821 0.157
56599.193 20.862 0.231
56599.222 20.678 0.181
56599.257 20.995 0.159
56600.202 21.251 0.134
