13dge 0.015854 75.896169 1.571493
filter Unot
2456543.70 17.60 0.07
2456546.67 16.15 0.06
2456549.67 15.51 0.05
2456558.73 15.37 0.08
2456566.64 16.02 0.03
2456574.60 16.75 0.05
2456579.68 17.60 0.06
2456591.65 18.50 0.06
filter Bnot
2456543.70 17.45 0.02
2456546.67 16.39 0.02
2456549.67 15.84 0.01
2456558.73 15.52 0.04
2456566.64 15.98 0.03
2456574.60 16.83 0.02
2456579.68 17.34 0.02
2456591.65 18.25 0.02
filter Vnot
2456543.70 17.34 0.02
2456546.67 16.38 0.02
2456549.67 15.84 0.01
2456558.73 15.44 0.04
2456566.64 15.70 0.03
2456574.60 16.04 0.02
2456579.68 16.38 0.02
2456591.65 17.11 0.02
filter Blcogt
2456541.19317 19.03 0.07
2456541.19800 18.96 0.05
2456541.22936 18.93 0.03
2456541.25784 19.01 0.05
2456541.26264 19.15 0.08
2456541.62762 18.58 0.02
2456541.63257 18.67 0.03
2456542.23874 18.25 0.04
2456542.24355 18.25 0.04
2456545.15369 16.98 0.10
2456545.25662 16.75 0.04
2456545.26029 16.72 0.04
2456545.28505 16.89 0.04
2456545.28870 16.68 0.03
2456545.83315 16.59 0.01
2456545.83679 16.57 0.01
2456546.25674 16.41 0.01
2456546.26038 16.42 0.01
2456546.28505 16.43 0.01
2456546.28870 16.41 0.01
2456547.25705 16.15 0.01
2456547.26091 16.15 0.01
2456547.28410 16.17 0.01
2456547.28777 16.19 0.01
2456548.58126 15.92 0.01
2456548.58421 15.93 0.01
2456548.60328 15.92 0.01
2456548.60623 15.92 0.01
2456556.83524 15.41 0.01
2456556.83750 15.41 0.01
2456556.85302 15.39 0.01
2456560.23598 15.54 0.01
2456560.25082 15.50 0.01
2456560.25309 15.51 0.01
2456560.26925 15.51 0.01
2456560.27152 15.50 0.02
2456560.93954 15.50 0.01
2456560.94179 15.50 0.01
2456562.86980 15.64 0.01
2456562.87206 15.63 0.01
2456562.88686 15.63 0.01
2456562.88912 15.64 0.01
2456562.90458 15.61 0.01
2456562.90683 15.65 0.01
2456563.78508 15.64 0.01
2456563.78734 15.73 0.01
2456572.47705 16.53 0.02
2456572.47931 16.54 0.02
2456574.47091 16.78 0.01
2456574.47317 16.77 0.02
2456576.90387 17.05 0.03
2456576.90612 17.03 0.02
2456579.59510 17.10 0.02
2456579.59807 17.24 0.02
2456579.60529 17.38 0.02
2456579.60829 17.37 0.02
2456581.46705 17.73 0.04
2456581.47000 17.45 0.03
2456583.68558 17.81 0.04
2456583.68853 17.89 0.08
2456585.52150 17.81 0.04
2456589.41757 18.31 0.07
2456589.42051 18.24 0.06
2456590.90838 18.21 0.03
2456590.91133 18.17 0.03
2456591.73877 18.25 0.03
2456591.74179 18.24 0.03
2456593.65781 18.41 0.04
2456593.66090 18.46 0.06
2456593.67189 18.35 0.03
2456593.67498 18.32 0.03
2456595.40128 18.48 0.08
2456595.40424 18.47 0.06
2456598.83530 18.54 0.05
2456598.83845 18.60 0.04
2456600.39627 18.77 0.18
2456600.39921 18.51 0.09
2456602.45434 18.34 0.19
2456602.45729 18.53 0.03
2456602.46772 18.65 0.03
2456602.47066 18.69 0.11
2456604.37675 18.71 0.05
2456604.37969 18.63 0.04
2456606.59125 18.70 0.04
2456606.59420 18.63 0.04
2456608.48825 18.79 0.04
2456608.49120 18.70 0.04
2456611.73230 18.80 0.06
2456611.73664 18.77 0.05
2456611.75236 18.75 0.05
2456613.68031 18.93 0.08
