13dkj 0.036232 347.211539 +20.069088
filter ispm
56555.152 17.69 0.01
56559.143 17.68 0.01
56562.205 17.79 0.01
56568.169 18.08 0.01
filter zspm
56555.152 17.89 0.03
56559.143 17.71 0.01
56562.205 17.72 0.01
56568.169 18.01 0.01
filter Yspm
56555.152 17.19 0.04
56559.143 17.33 0.03
56562.205 17.60 0.03
56568.169 17.75 0.04
filter Jspm
#56555.152 17.02 0.12
56559.143 17.30 0.08
56562.205 17.50 0.08
56568.169 18.29 0.16
filter Hspm
#56555.152 16.95 0.20
56559.143 17.72 0.22
56562.205 17.91 0.19
56568.169 18.23 0.36
#OLD PHOTOMETRY:
#filter ispm
#56555.152 17.714 0.013
#56559.143 17.710 0.004
#56562.205 17.805 0.004
#56568.168 18.099 0.005
#filter zspm
#56555.000 17.851 0.028
#56559.000 17.673 0.009
#56562.000 17.744 0.013
#56568.000 17.984 0.012
#filter Yspm
#56555.000 17.113 0.036
#56559.000 17.035 0.026
#56562.000 17.439 0.025
#56568.000 17.612 0.028
#filter Jspm
#56555.000 17.102 0.061
#56559.000 17.484 0.042
#56562.000 17.655 0.043
#56568.000 18.372 0.074
#filter Hspm
#56555.000 17.035 0.114
#56559.000 17.578 0.108
#56562.000 17.770 0.091
#56568.000 17.853 0.123
filter B60
56550.342 18.611 0.019
56550.346 18.653 0.016
56551.310 18.406 0.033
56552.340 18.211 0.042
56556.243 17.705 0.013
56558.272 17.656 0.017
56559.268 17.640 0.013
56560.396 17.625 0.021
56561.446 17.668 0.025
56564.272 17.790 0.009
56568.251 18.061 0.012
filter g60
56547.437 19.534 0.022
56550.343 18.438 0.013
56550.348 18.452 0.019
56551.311 18.282 0.020
56552.341 18.047 0.023
56556.244 17.560 0.009
56558.273 17.509 0.011
56559.269 17.456 0.009
56560.397 17.473 0.009
56561.447 17.472 0.012
56564.273 17.545 0.005
56568.263 17.800 0.006
filter i60
56547.434 19.811 0.068
56550.340 18.450 0.018
56550.344 18.460 0.027
56551.308 18.248 0.012
56552.338 18.055 0.024
56556.241 17.688 0.009
56558.270 17.806 0.017
56559.265 17.739 0.015
56561.444 17.869 0.022
56564.271 17.954 0.013
56567.267 18.057 0.008
56569.456 18.492 0.050
filter r60
56547.435 19.371 0.022
56550.341 18.481 0.016
56550.345 18.345 0.015
56551.309 18.174 0.017
56552.339 17.933 0.015
56556.242 17.467 0.009
56558.271 17.453 0.008
56559.267 17.375 0.006
56560.395 17.473 0.011
56561.445 17.380 0.017
56564.271 17.417 0.004
56568.246 17.583 0.005
filter R48
56545.302 20.337 0.212
56546.136 19.948 0.214
56546.496 19.627 0.103
56547.134 19.311 0.139
56547.220 19.293 0.067
56547.256 19.337 0.081
56548.152 18.909 0.101
56548.205 18.996 0.088
56549.129 18.598 0.095
56549.166 18.685 0.080
56549.206 18.621 0.087
56550.129 18.296 0.046
56550.214 18.370 0.086
56550.247 18.402 0.085
56551.143 18.045 0.067
56551.293 18.071 0.060
56551.335 18.178 0.085
56552.234 17.981 0.075
56552.311 17.949 0.074
56552.460 17.880 0.063
56561.124 17.356 0.060
56561.432 17.323 0.040
56563.147 17.402 0.057
56563.334 17.355 0.062
56563.368 17.370 0.041
56564.269 17.375 0.050
56565.156 17.432 0.069
56566.110 17.462 0.080
56566.143 17.479 0.061
56567.125 17.536 0.081
56567.158 17.548 0.079
56568.111 17.578 0.062
56568.144 17.575 0.062
56568.262 17.628 0.075
56569.238 17.672 0.061
56570.117 17.764 0.044
56570.150 17.676 0.048
56570.201 17.708 0.043
56571.106 17.788 0.052
56571.139 17.815 0.039
56571.206 17.759 0.042
56572.111 17.897 0.052
56572.147 17.922 0.082
56572.185 17.948 0.060
56573.111 17.939 0.061
56574.105 17.939 0.057
56574.138 17.981 0.073
56587.176 18.350 0.069
56587.305 18.349 0.073
56587.329 18.279 0.082
56588.231 18.455 0.071
56589.091 18.534 0.084
56589.130 18.463 0.094
56589.357 18.466 0.065
56590.262 18.614 0.091
56591.095 18.646 0.084
