13dkx 0.0345 20.221425 3.339925
#PS1-13dhs
filter R48
56547.383 20.780 0.150
56547.504 20.970 0.200
56548.249 20.000 0.110
56548.294 20.180 0.090
56548.487 19.930 0.060
56549.388 19.620 0.040
56549.483 19.530 0.040
56549.519 19.520 0.050
56550.421 19.160 0.030
56550.496 19.180 0.030
56551.238 18.930 0.050
56551.271 18.900 0.040
56551.304 18.800 0.040
56552.238 18.630 0.050
56552.273 18.600 0.040
56552.306 18.640 0.040
56561.225 17.360 0.010
56561.407 17.370 0.010
56561.440 17.360 0.010
56563.209 17.300 0.010
56563.279 17.340 0.010
56563.312 17.310 0.010
56564.239 17.300 0.010
56564.491 17.320 0.010
56565.201 17.290 0.010
56565.307 17.300 0.010
56565.490 17.270 0.010
56566.392 17.320 0.010
56566.461 17.290 0.010
56566.496 17.290 0.010
56568.192 17.270 0.010
56568.234 17.290 0.010
56568.269 17.280 0.010
56569.289 17.260 0.010
56569.496 17.290 0.010
56570.254 17.250 0.010
56571.467 17.300 0.010
56572.369 17.380 0.010
56573.178 17.380 0.010
56573.277 17.420 0.010
56573.310 17.430 0.010
56577.300 17.660 0.010
56577.326 17.700 0.010
56578.227 17.720 0.010
56578.252 17.710 0.010
56579.256 17.750 0.020
56579.356 17.730 0.010
56580.258 17.760 0.020
56580.354 17.790 0.020
56581.256 17.760 0.030
56581.335 17.790 0.030
56587.147 18.020 0.020
56587.287 17.960 0.020
56587.311 17.970 0.020
56588.213 18.010 0.020
56588.369 17.970 0.020
56588.394 18.000 0.020
56589.296 18.030 0.010
56589.323 18.020 0.010
56589.349 18.020 0.020
56590.261 18.070 0.010
56590.372 18.070 0.020
56590.397 18.050 0.020
56591.300 17.950 0.050
56591.358 18.130 0.020
56591.383 18.090 0.020
56592.290 17.920 0.020
56592.422 18.110 0.020
56593.124 17.930 0.030
56593.149 18.130 0.020
56593.173 18.170 0.010
56596.133 17.970 0.030
56596.315 18.240 0.020
56596.340 18.210 0.020
56597.242 18.280 0.020
56597.321 18.180 0.020
56597.347 18.230 0.020
56598.249 18.280 0.020
56598.319 18.300 0.020
56598.346 18.290 0.020
56599.248 18.380 0.020
56599.295 18.380 0.020
56599.320 18.380 0.020
56600.254 18.230 0.030
56600.373 18.400 0.020
56602.126 18.480 0.040
56602.252 18.440 0.030
56602.277 18.430 0.030
56603.179 18.520 0.030
56603.240 18.520 0.030
56603.315 18.520 0.020
56604.285 18.620 0.020
56605.117 18.650 0.020
56605.144 18.630 0.020
56605.169 18.640 0.020
56606.091 18.670 0.050
56606.143 18.710 0.030
56606.167 18.700 0.070
56607.144 18.760 0.030
56607.331 18.620 0.060
56607.356 18.810 0.030
filter Unot
56558.52 17.161 0.028
56566.63 16.925 0.026
56574.53 17.469 0.046
56579.57 18.117 0.052
filter Bnot
56558.52 17.569 0.030
56566.63 17.252 0.028
56574.53 17.524 0.017
56579.57 18.001 0.016
56591.64 19.206 0.042
filter Vnot
56558.52 17.445 0.030
56566.63 17.131 0.028
56574.53 17.274 0.017
56579.57 17.528 0.016
56591.64 18.170 0.042
filter B60
56550.226910000201 19.623276908959 0.073
56550.231759999879 19.277334833815 0.042
