13ebh 0.013269 35.499900 +33.270479
filter B
56610.13 18.466 0.024
56611.12 17.803 0.020
56612.14 17.332 0.014
56613.19 16.937 0.019
56614.10 16.604 0.009
56615.13 16.327 0.009
56617.12 15.841 0.006
56618.12 15.656 0.005
56619.10 15.541 0.006
56620.11 15.442 0.007
56621.11 15.368 0.007
56622.10 15.343 0.005
56623.09 15.343 0.006
56624.07 15.361 0.007
56625.09 15.401 0.006
56630.08 15.956 0.011
56631.09 16.124 0.007
56632.09 16.280 0.008
56633.08 16.442 0.011
56635.08 16.781 0.014
56636.08 16.925 0.014
56637.07 17.107 0.021
56638.10 17.224 0.017
56640.06 17.447 0.023
56641.09 17.553 0.031
56644.05 17.815 0.026
56645.05 17.872 0.019
56646.05 17.939 0.013
56647.05 17.971 0.014
56648.05 18.079 0.015
56649.05 18.089 0.015
56651.07 18.179 0.018
56652.09 18.222 0.023
56653.04 18.251 0.017
56654.04 18.274 0.020
56656.04 18.408 0.027
56657.07 18.360 0.016
56659.06 18.330 0.018
filter V
56610.13 18.101 0.021
56611.12 17.501 0.015
56612.14 17.134 0.014
56613.19 16.768 0.013
56614.10 16.482 0.008
56615.13 16.184 0.007
56617.12 15.720 0.007
56618.12 15.560 0.006
56619.10 15.411 0.009
56620.11 15.352 0.008
56621.11 15.278 0.006
56622.10 15.216 0.005
56623.09 15.181 0.008
56624.07 15.167 0.006
56625.09 15.176 0.006
56630.08 15.388 0.012
56631.09 15.430 0.006
56632.09 15.509 0.007
56633.08 15.607 0.008
56635.08 15.794 0.007
56636.08 15.860 0.009
56637.07 15.958 0.008
56638.10 16.050 0.008
56640.06 16.206 0.014
56641.09 16.295 0.011
56644.05 16.557 0.011
56645.05 16.650 0.010
56646.05 16.694 0.010
56647.05 16.764 0.012
56648.05 16.830 0.010
56649.05 16.876 0.011
56651.07 17.017 0.013
56652.09 17.061 0.013
56653.04 17.121 0.013
56654.04 17.154 0.012
56656.04 17.273 0.020
56657.07 17.276 0.015
filter u
56610.13 20.082 0.172
56612.14 18.265 0.063
56614.10 17.247 0.023
56618.12 16.256 0.009
56619.10 16.145 0.009
56620.11 16.112 0.012
56621.11 16.111 0.029
56622.10 16.142 0.009
56623.09 16.191 0.011
56624.07 16.270 0.013
56625.09 16.397 0.014
56630.08 17.190 0.026
56631.09 17.421 0.021
56632.09 17.492 0.015
56633.08 17.711 0.018
56635.08 18.116 0.030
56636.08 18.266 0.036
56637.07 18.307 0.047
56638.10 18.535 0.034
56640.06 18.668 0.047
56641.09 18.941 0.084
56644.05 19.145 0.092
56645.05 18.997 0.050
56646.05 19.157 0.030
56647.05 19.224 0.029
56648.05 19.307 0.035
56649.05 19.376 0.039
56651.07 19.405 0.038
56652.09 19.407 0.068
56653.04 19.436 0.028
56654.04 19.442 0.031
56656.04 19.509 0.053
56657.07 19.634 0.041
filter g
56610.13 18.230 0.017
56611.12 17.595 0.013
56612.14 17.193 0.013
56613.19 16.803 0.011
56614.10 16.497 0.008
56615.13 16.192 0.006
56617.12 15.711 0.006
56618.12 15.539 0.005
56619.10 15.395 0.008
56620.11 15.304 0.007
56621.11 15.296 0.006
56622.10 15.202 0.005
56623.09 15.189 0.005
56624.07 15.185 0.005
56625.09 15.211 0.005
56630.08 15.622 0.010
56631.09 15.703 0.006
56632.09 15.818 0.005
56633.08 15.953 0.009
56635.08 16.252 0.006
56636.08 16.392 0.008
56637.07 16.514 0.008
56638.10 16.678 0.010
56640.06 16.880 0.012
56641.09 17.012 0.015
56644.05 17.279 0.019
56645.05 17.354 0.014
56646.05 17.392 0.013
56647.05 17.440 0.012
56648.05 17.507 0.014
56649.05 17.529 0.012
56651.07 17.634 0.014
56652.09 17.700 0.015
56653.04 17.765 0.017
56654.04 17.761 0.013
56656.04 17.842 0.016
56657.07 17.840 0.015
filter r
56610.13 18.027 0.020
56611.12 17.435 0.018
56612.14 17.056 0.012
56613.19 16.654 0.011
56614.10 16.362 0.007
56615.13 16.057 0.006
56617.12 15.609 0.008
56618.12 15.441 0.006
56619.10 15.288 0.009
56620.11 15.210 0.012
56621.11 15.168 0.006
56622.10 15.109 0.006
56623.09 15.099 0.009
56624.07 15.068 0.006
56625.09 15.059 0.007
56630.08 15.322 0.012
56631.09 15.360 0.007
56632.09 15.430 0.008
56633.08 15.462 0.010
56635.08 15.558 0.006
56636.08 15.612 0.009
56637.07 15.653 0.006
56638.10 15.693 0.008
56640.06 15.804 0.008
56641.09 15.890 0.007
56644.05 16.131 0.008
56645.05 16.232 0.008
56646.05 16.317 0.011
56647.05 16.399 0.011
56648.05 16.473 0.011
56649.05 16.539 0.012
56651.07 16.694 0.013
56652.09 16.760 0.017
56653.04 16.818 0.017
56654.04 16.824 0.012
56656.04 16.913 0.014
56657.07 16.971 0.015
filter i
56610.13 18.309 0.046
56611.12 17.632 0.029
56612.14 17.166 0.019
56613.19 16.740 0.013
56614.10 16.447 0.011
56615.13 16.147 0.008
56617.12 15.722 0.016
56618.12 15.603 0.007
56619.10 15.474 0.013
56620.11 15.486 0.012
56621.11 15.505 0.018
56622.10 15.423 0.007
56623.09 15.469 0.011
56624.07 15.480 0.010
56625.09 15.507 0.009
56630.08 15.841 0.016
56631.09 15.846 0.013
56632.09 15.883 0.011
56633.08 15.895 0.013
56635.08 15.895 0.009
56636.08 15.867 0.013
56637.07 15.859 0.008
56638.10 15.862 0.011
56640.06 15.886 0.009
56641.09 15.928 0.009
56644.05 16.050 0.010
56645.05 16.123 0.013
56646.05 16.220 0.013
56647.05 16.318 0.013
56648.05 16.397 0.014
56649.05 16.506 0.014
56651.07 16.634 0.018
56652.09 16.824 0.026
56653.04 16.767 0.023
56654.04 16.808 0.018
56656.04 16.911 0.019
56657.07 16.976 0.016
filter H
56611.16  16.881  0.034
56611.17  16.915  0.039
56613.14  16.234  0.024
56617.12  15.431  0.023
56622.11  15.280  0.022
56623.15  15.327  0.023
56624.09  15.357  0.022
56638.07  15.460  0.022
56648.05  15.998  0.028
56650.05  16.133  0.031
56654.05  16.403  0.041
filter J
56611.19  17.111  0.027
56613.14  16.337  0.021
56622.12  15.153  0.020
56623.15  15.188  0.020
56624.09  15.267  0.020
56638.08  15.980  0.019
56648.06  16.610  0.019
56650.05  16.759  0.026
56653.06  17.124  0.051
56654.07  17.195  0.050
filter Y
56611.14  17.190  0.018
56613.12  16.419  0.015
56617.11  15.505  0.014
56622.10  15.256  0.014
56623.14  15.314  0.014
56624.07  15.364  0.014
56638.05  15.406  0.014
56648.03  15.465  0.014
56650.04  15.582  0.014
56653.03  15.810  0.016
56654.04  15.863  0.016
#filter WHIRCK
#56617.153 15.391 0.017
#56636.160 15.482 0.071
#56640.159 15.454 0.015
#filter WHIRCH
#56617.137 15.473 0.014
#56636.142 15.363 0.032
#56640.141 15.475 0.011
#filter WHIRCJ
#56617.143 15.407 0.013
#56636.151 16.419 0.048
#56640.150 16.223 0.013
filter rspm
56611.10 17.453 0.009
56614.30 16.312 0.003
56621.25 15.150 0.003
56625.22 15.062 0.003
56628.13 15.149 0.003
56631.21 15.376 0.002
56635.11 15.602 0.002
56641.15 15.918 0.004
filter ispm
56611.10 17.710 0.008
56614.30 16.393 0.004
56621.25 15.408 0.004
56625.22 15.498 0.002
56628.13 15.641 0.002
56631.21 15.858 0.002
56635.11 15.880 0.002
56641.15 15.889 0.004
filter zspm
56611.10 17.591 0.011
56614.30 16.447 0.006
56621.25 15.588 0.004
56625.22 15.567 0.005
56628.13 15.540 0.006
56631.21 15.621 0.003
56635.11 15.675 0.004
56641.15 15.735 0.006
filter Yspm
56611.10 16.903 0.019
56614.30 16.023 0.008
56621.25 15.120 0.006
56625.22 15.306 0.005
56628.13 15.520 0.009
56631.21 15.499 0.005
56635.11 15.363 0.005
56641.15 15.103 0.006
#filter Yspmold
#56611.10 16.903 0.019
#56614.30 16.023 0.008
#56621.25 15.120 0.006
#56625.22 15.306 0.005
#56628.13 15.520 0.009
#56631.21 15.499 0.005
#56635.11 15.363 0.005
#56641.15 15.103 0.006
#filter WFCAMY
#56611.10 16.903 0.019
#56614.30 16.023 0.008
#56621.25 15.120 0.006
#56625.22 15.306 0.005
#56628.13 15.520 0.009
#56631.21 15.499 0.005
#56635.11 15.363 0.005
#56641.15 15.103 0.006
#filter Ynat
#56611.10 16.903 0.019
#56614.30 16.023 0.008
#56621.25 15.120 0.006
#56625.22 15.306 0.005
#56628.13 15.520 0.009
#56631.21 15.499 0.005
#56635.11 15.363 0.005
#56641.15 15.103 0.006
#filter Ynatmod
#56611.10 16.903 0.019
#56614.30 16.023 0.008
#56621.25 15.120 0.006
#56625.22 15.306 0.005
#56628.13 15.520 0.009
#56631.21 15.499 0.005
#56635.11 15.363 0.005
#56641.15 15.103 0.006
filter Jspm
56611.10 17.106 0.028
56614.30 15.928 0.010
56621.25 15.096 0.006
56625.22 15.322 0.009
56628.13 15.642 0.014
56631.21 16.163 0.012
56635.11 16.366 0.019
56641.15 16.156 0.014
filter Hspm
56611.10 17.172 0.050
56614.30 15.937 0.019
56621.25 15.236 0.009
56625.22 15.427 0.015
56628.13 15.575 0.019
56635.11 15.491 0.015
56641.15 15.454 0.017
