13efe 0.087 130.913761 +16.177023
filter B60
56638.541 18.403 0.009
56644.324 18.517 0.083
56648.253 18.375 0.117
56655.234 19.027 0.040
56657.215 19.340 0.035
56660.207 19.656 0.041
filter g60
56638.543 18.283 0.011
56648.255 18.299 0.090
56655.236 18.914 0.022
56657.217 19.045 0.020
56660.209 19.316 0.031
filter r60
56638.540 18.373 0.011
56644.323 18.263 0.079
56644.328 18.334 0.100
56650.231 18.414 0.028
56655.233 18.706 0.026
56657.214 18.887 0.018
56660.205 18.986 0.018
filter R48
56626.461 21.300 0.280
56626.529 20.360 0.270
56629.405 19.790 0.200
56629.486 19.590 0.080
56629.526 19.530 0.060
56629.568 18.730 0.090
56678.223 19.420 0.060
56678.281 19.320 0.140
56679.515 19.660 0.090
56680.168 19.670 0.110
56680.214 19.570 0.060
56680.259 19.610 0.060
56680.301 19.690 0.060
56680.345 19.320 0.100
56680.388 19.680 0.070
56680.473 19.580 0.100
56680.510 19.480 0.070
#filter Y
#56636.27  18.736  0.018
#56637.30  18.725  0.021
#56638.27  18.769  0.018
#56643.27  18.881  0.027
#56648.28  19.278  0.029
#56649.29  19.276  0.026
#56651.24  19.427  0.021
#filter Jrc2
#56636.31  18.755  0.021
#56637.31  18.799  0.023
#56638.32  18.866  0.022
#56643.31  19.095  0.036
#56648.30  19.447  0.049
#56649.31  19.581  0.045
#56651.26  19.908  0.036
#filter H
#56636.28  19.046  0.042
#56638.29  19.057  0.037
filter rspm
#190521
56632.309 18.90 0.01
56635.290 18.54 0.01
56639.280 18.29 0.01
filter ispm
#190521
56632.309 19.11 0.02
56635.290 18.86 0.01
56639.280 18.82 0.01
filter zspm
#190521
56632.000 19.35 0.05
56635.000 19.20 0.06
56639.000 19.04 0.04
filter Yspm
56632.31 18.99 0.09
56635.29 18.66 0.07
56639.28 18.61 0.07
filter Jspm
#56632.31 > 17.70
56635.29 18.65 0.25
56639.28 18.87 0.24
#filter Hspm
#56632.31 > 17.70
#56635.29 > 18.22
#56639.28 > 18.47
##OLD PHOT:
#filter rspm
#56632.309 18.914 0.011
#56635.290 18.547 0.011
#56639.280 18.310 0.009
#filter ispm
#56632.309 19.122 0.012
#56635.290 18.886 0.013
#56639.280 18.838 0.013
#filter zspm
#56632.000 19.373 0.048
#56635.000 19.145 0.049
#56639.000 19.056 0.041
#filter Yspm
#Old..
#56632.000 18.898 0.083
#56635.000 18.670 0.071
#56639.000 18.533 0.064
#filter Yspm_AB
#old...
#56632.31 19.41 0.04
#56635.29 19.23 0.04
#56639.28 19.04 0.04
#filter Jspm_AB
#old..
#56632.31 20.20 0.06
#56635.29 19.51 0.06
#56639.28 19.76 0.06
#filter Hspm_AB
#old...
#56632.31 19.95 0.07
#56635.29 19.64 0.07
#56639.28 19.51 0.07
