13ft 0.03884 199.947067 33.024961
filter R48
56340.448 19.910 0.060
56340.484 20.110 0.070
56340.517 20.030 0.070
56341.478 19.590 0.050
56341.510 19.580 0.040
56341.540 19.580 0.050
56354.393 17.060 0.010
56354.423 17.090 0.010
56354.453 17.070 0.010
56362.276 17.040 0.010
56362.305 17.090 0.010
56362.335 17.070 0.010
56363.314 17.110 0.010
56363.416 17.090 0.010
56363.445 17.110 0.010
56367.409 17.330 0.020
56367.439 17.360 0.040
56367.469 17.460 0.140
56368.411 17.420 0.010
56369.314 17.450 0.010
56369.343 17.450 0.010
56369.376 17.470 0.010
56370.452 17.560 0.010
56370.501 17.540 0.030
56370.530 17.650 0.020
56372.368 17.600 0.060
56372.397 17.640 0.030
56372.433 17.660 0.030
56373.459 17.680 0.010
56373.489 17.690 0.010
56373.538 17.770 0.030
56375.223 17.710 0.030
56375.253 17.740 0.020
56375.283 17.730 0.020
56376.228 17.720 0.020
56376.258 17.710 0.020
56376.288 17.730 0.020
56382.234 17.880 0.010
56382.281 17.830 0.020
56382.311 17.860 0.020
56385.283 17.920 0.010
56385.318 17.930 0.010
56385.348 17.890 0.010
56386.329 17.860 0.010
56386.359 17.870 0.010
56386.388 17.950 0.040
56387.356 17.980 0.010
56387.396 17.950 0.010
56387.425 17.950 0.010
56389.347 18.050 0.020
56389.377 18.070 0.020
56389.407 18.080 0.020
56390.377 18.110 0.020
56390.406 18.070 0.020
56390.437 18.070 0.020
56392.282 18.230 0.020
56392.312 18.190 0.020
56392.342 18.170 0.020
56394.199 18.300 0.060
56394.229 18.360 0.160
56395.332 18.420 0.020
56395.362 18.410 0.020
56396.161 18.420 0.020
56403.242 18.780 0.040
56403.284 18.800 0.040
56403.314 18.780 0.040
56404.247 18.750 0.040
56404.277 18.820 0.040
56404.306 18.840 0.040
56405.256 18.970 0.080
56405.300 18.850 0.060
56405.330 18.880 0.060
56412.163 19.100 0.040
56412.192 19.050 0.030
56412.227 19.110 0.040
56413.162 19.010 0.040
56413.191 19.100 0.040
56413.220 19.270 0.040
56414.329 19.240 0.040
56415.159 19.040 0.060
56416.423 19.340 0.050
56417.162 19.210 0.040
56417.403 19.220 0.040
56423.218 19.420 0.050
56424.211 19.440 0.040
56424.397 19.470 0.050
56425.165 19.500 0.050
56426.217 19.630 0.060
56427.222 19.560 0.060
56427.408 19.480 0.070
56428.207 19.590 0.050
56429.325 19.720 0.060
56432.217 19.760 0.090
56432.293 19.690 0.080
56432.421 19.890 0.100
56433.323 19.610 0.110
56433.395 19.620 0.150
56434.177 19.680 0.090
56434.392 19.850 0.160
56442.299 19.960 0.090
56443.223 20.050 0.080
56443.338 20.120 0.090
56444.239 19.990 0.080
56444.332 20.260 0.120
56445.235 20.030 0.070
56445.327 20.180 0.090
56446.229 20.300 0.090
56446.308 20.060 0.080
56447.211 20.190 0.080
56447.312 20.210 0.080
56448.236 20.270 0.100
56448.311 20.160 0.090
56449.223 20.260 0.090
56449.298 20.240 0.090
56450.214 20.100 0.080
56450.305 20.450 0.120
56451.225 20.330 0.090
56451.298 20.270 0.090
56452.201 20.330 0.090
56452.304 20.390 0.100
56453.226 20.100 0.080
56453.299 20.520 0.130
56454.202 20.520 0.120
56454.298 20.570 0.140
56455.209 20.280 0.100
56455.322 20.420 0.110
56456.250 20.340 0.100
56456.303 20.460 0.120
56457.214 20.390 0.110
56457.292 20.570 0.130
56458.194 20.340 0.140
56458.292 20.410 0.110
56459.295 20.580 0.150
56460.199 20.590 0.180
56460.292 20.660 0.230
56461.211 20.290 0.140
56461.274 20.320 0.180
56462.206 20.090 0.210
filter rspm
56348.29 17.407 0.005
56358.26 16.739 0.006
56362.31 16.828 0.002
56366.33 17.020 0.009
56368.50 17.227 0.006
56369.25 17.222 0.007
56373.42 17.405 0.006
56382.25 17.641 0.013
56384.30 17.714 0.015
56385.46 17.799 0.008
56388.36 17.901 0.009
56396.47 18.355 0.013
56401.34 18.531 0.015
56410.40 18.829 0.022
56411.39 18.862 0.017
filter ispm
56348.29 17.647 0.006
56358.26 17.445 0.005
56362.31 17.538 0.004
56366.33 17.765 0.005
56368.50 17.962 0.008
56369.25 18.028 0.009
56373.42 18.261 0.008
56382.25 18.124 0.007
56384.30 18.087 0.014
56385.46 18.109 0.010
56388.36 18.094 0.007
56396.47 18.489 0.015
56401.34 18.787 0.021
56410.40 19.187 0.029
56411.39 19.252 0.026
filter zspm
56348.29 17.837 0.012
56368.50 17.953 0.019
56369.25 17.924 0.010
56384.30 17.970 0.012
56385.46 17.959 0.013
56388.36 18.012 0.010
56401.34 18.697 0.020
56410.40 19.223 0.041
56411.39 19.320 0.037
filter Yspm
56348.29 17.440 0.019
56362.31 17.815 0.024
56366.33 18.015 0.031
56368.50 18.047 0.052
56369.25 18.114 0.053
56373.42 17.963 0.029
56382.25 17.670 0.048
56384.30 17.479 0.038
56401.34 17.666 0.033
56410.40 18.052 0.048
56411.39 18.106 0.055
filter Jspm
56348.29 17.510 0.047
56362.31 17.819 0.070
56366.33 18.375 0.080
56368.50 18.894 0.280
56369.25 18.768 0.171
56373.42 19.170 0.179
56382.25 18.841 0.112
56384.30 18.689 0.115
56385.46 18.794 0.170
56388.36 18.469 0.083
56401.34 19.078 0.171
56411.39 19.569 0.300
filter Hspm
56348.29 17.779 0.137
56362.31 18.094 0.158
56366.33 17.902 0.159
56369.25 18.086 0.185
56373.42 17.988 0.167
56382.25 17.805 0.131
56384.30 17.791 0.165
56401.34 18.068 0.174
56410.40 18.131 0.251
56411.39 18.294 0.211
