14aje 0.02769 231.300298 -1.814299
filter R48
56745.441 20.910 0.220
56752.332 18.620 0.030
56752.365 18.610 0.030
56753.487 18.460 0.030
56753.523 18.450 0.040
56754.432 18.320 0.020
56754.465 18.320 0.030
56755.376 18.270 0.020
56755.431 18.270 0.020
56756.435 18.190 0.030
56756.468 18.150 0.090
56757.421 18.200 0.020
56757.457 18.180 0.020
56759.390 18.180 0.030
56759.425 18.170 0.030
56760.426 18.180 0.040
56760.470 18.160 0.030
56761.391 18.160 0.050
56761.434 18.130 0.060
56766.452 18.480 0.060
56766.485 18.510 0.060
56769.288 18.660 0.060
56769.322 18.610 0.080
56771.356 18.770 0.030
56772.428 18.720 0.050
56772.462 18.670 0.070
56775.423 18.900 0.040
56775.457 18.870 0.040
56776.413 19.090 0.060
56776.446 18.950 0.060
56778.270 19.010 0.040
56778.303 19.060 0.040
56779.285 19.160 0.040
56779.386 19.120 0.040
56780.430 19.220 0.050
56780.432 19.270 0.050
56780.465 19.250 0.050
56781.458 19.310 0.060
56781.459 19.260 0.060
56781.496 18.990 0.090
56782.470 19.440 0.100
56782.471 19.330 0.090
56786.371 19.880 0.110
56786.372 19.720 0.090
56786.402 19.660 0.070
56787.360 19.650 0.090
56787.361 19.690 0.150
56787.401 19.440 0.140
56789.282 19.750 0.300
56814.231 20.900 0.240
56814.232 20.900 0.240
56815.232 20.580 0.200
filter rspm
56754.284 18.316 0.014
56761.368 18.094 0.039
filter ispm
56753.477 18.160 0.013
56754.284 18.053 0.012
56761.368 18.084 0.028
filter zspm
56753.477 18.161 0.034
filter Yspm
56753.477 17.416 0.037
filter Jspm
56753.47 16.975 0.207
filter Hspm
56753.47 17.071 0.300
filter Blcogt
56753.111 19.466 0.125
56753.112 19.701 0.153
56755.125 19.670 0.210
56755.126 19.819 0.195
56757.138 19.333 0.134
56757.140 19.530 0.140
56758.122 19.676 0.203
56758.138 19.634 0.197
56758.140 19.375 0.141
56759.098 19.598 0.188
56759.100 19.627 0.206
56759.112 19.546 0.200
56759.114 19.519 0.162
filter Vlcogt
56753.115 18.909 0.124
56753.116 18.894 0.155
56755.128 18.750 0.094
56757.142 18.569 0.095
56757.143 18.555 0.082
56758.126 18.487 0.084
56758.127 18.567 0.078
56758.143 18.544 0.090
56759.102 18.618 0.085
56759.116 18.561 0.102
56759.117 18.541 0.093
56766.099 18.725 0.104
56766.100 18.785 0.113
56769.464 18.891 0.121
56769.465 18.784 0.122
56773.430 19.091 0.134
56773.432 19.323 0.157
filter glcogt
56753.119 19.732 0.084
56754.479 19.466 0.069
56754.481 19.510 0.069
56755.452 19.251 0.069
56755.453 19.252 0.059
56755.455 19.241 0.056
56755.457 19.215 0.060
56757.066 19.314 0.059
56757.068 19.238 0.049
56758.143 19.242 0.078
56758.144 19.224 0.070
56758.157 19.330 0.076
56758.158 19.220 0.072
56758.979 19.317 0.086
56758.981 19.195 0.073
56766.102 19.594 0.098
56766.103 19.589 0.106
56769.467 19.909 0.128
56769.469 20.038 0.150
56773.433 20.674 0.242
56773.435 20.558 0.174
filter rlcogt
56753.121 18.633 0.102
56753.122 18.556 0.070
56754.483 18.308 0.053
56754.484 18.385 0.071
56755.459 18.226 0.075
56755.460 18.261 0.069
56757.071 18.394 0.070
56758.146 18.216 0.054
56758.147 18.256 0.044
56758.161 18.292 0.064
56758.983 18.236 0.053
56758.984 18.322 0.095
56766.105 18.455 0.110
#56766.106 18.977 0.171
56769.471 18.585 0.101
56769.472 18.582 0.097
56773.437 18.716 0.133
56773.438 18.721 0.117
filter ilcogt
56753.125 18.253 0.120
56753.126 18.426 0.102
56754.488 18.378 0.157
56757.074 18.287 0.174
56758.149 18.230 0.109
56758.163 18.179 0.128
56758.165 18.261 0.146
56758.986 18.247 0.131
56758.988 18.248 0.145
56766.107 18.834 0.178
56769.473 18.883 0.211
56769.475 18.856 0.264
56773.439 18.719 0.210
56773.441 18.664 0.218
#filter Y
#56756.28  17.483  0.009
#56757.31  17.519  0.009
#56758.25  17.568  0.009
#56759.33  17.628  0.011
#56760.32  17.713  0.012
#56761.32  17.760  0.013
#filter Jrc2
#56756.33  17.209  0.011
#56757.35  17.271  0.008
#56758.30  17.337  0.010
#56759.38  17.392  0.011
#56760.35  17.453  0.013
#56761.34  17.573  0.013
#filter H
#56756.30  17.122  0.012
#56757.33  17.333  0.014
#56758.28  17.398  0.019
#56759.35  17.512  0.021
#56760.34  17.442  0.021
#56761.33  17.566  0.023
