14ale 0.093226 219.587725 +27.334341
filter rspm
56767.335 19.317 0.018
56770.339 19.176 0.013
56773.215 19.139 0.011
56780.234 19.401 0.024
56782.252 19.464 0.019
56785.243 19.645 0.029
56789.236 19.776 0.030
filter ispm
56767.335 19.460 0.027
56770.339 19.501 0.034
56773.215 19.538 0.020
56780.234 19.641 0.036
56782.252 19.805 0.031
56785.243 19.986 0.042
56789.236 20.286 0.060
filter zspm
56767.335 19.922 0.080
56770.339 19.767 0.067
56773.215 19.928 0.099
filter Yspm
56767.335 18.956 0.039
56770.339 19.048 0.047
56773.215 19.353 0.096
56780.234 19.504 0.126
filter Jspm
56767.33	19.473 0.140
56767.33	19.388 0.110
56770.33	19.569 0.374
56780.23	20.360 0.283
filter Hspm
56767.33	19.633 0.140
56767.34	19.710 0.110
filter B60
56771.414 19.409 0.014
filter g60
56771.417 19.226 0.012
56794.433 20.882 0.194
56796.344 20.935 0.109
filter R48
56758.493 20.580 0.170
56759.323 20.270 0.260
56759.356 20.330 0.200
56760.414 19.980 0.210
56760.447 20.190 0.230
56761.385 19.960 0.260
56762.308 19.960 0.090
56762.341 19.790 0.060
56763.325 19.780 0.170
56763.358 19.660 0.190
56764.323 19.610 0.160
56764.356 19.750 0.170
56766.422 19.770 0.110
56766.454 19.160 0.160
56769.304 19.230 0.210
56769.347 19.510 0.130
56770.464 19.150 0.100
56770.496 19.390 0.070
56771.421 19.340 0.040
56771.454 19.330 0.050
56772.389 19.190 0.060
56772.422 19.230 0.070
56775.435 19.440 0.050
56775.469 19.280 0.080
56776.389 19.520 0.090
56776.422 19.310 0.070
56777.419 19.280 0.080
56777.469 19.160 0.130
56778.374 19.330 0.110
56778.449 19.200 0.090
56779.366 19.500 0.050
56779.399 19.310 0.070
56780.372 19.570 0.050
56780.410 19.550 0.050
56781.404 19.570 0.060
56781.441 19.310 0.090
56782.164 19.470 0.120
56782.185 19.570 0.080
56782.248 19.680 0.070
56782.310 19.570 0.050
56782.415 19.620 0.060
56782.453 19.460 0.090
56786.377 20.010 0.100
56786.406 19.780 0.120
56787.366 19.790 0.100
56787.404 19.950 0.120
56789.255 20.040 0.220
56789.289 20.100 0.170
56790.274 19.820 0.210
56796.311 20.300 0.140
56796.359 20.380 0.140
56797.374 20.030 0.120
56797.375 20.020 0.130
56802.265 20.310 0.090
56802.266 20.570 0.170
56802.300 20.280 0.090
56803.261 20.410 0.100
56803.262 20.300 0.090
56803.296 20.300 0.090
56804.262 20.360 0.090
56804.263 20.300 0.130
56804.296 20.620 0.160
56805.261 20.430 0.110
56805.263 20.150 0.080
56805.296 20.200 0.110
