14atg 0.02129 193.186849 +26.470284
filter R48
56779.25485 20.95 0.99
56779.28984 20.89 0.99
56780.28726 20.72 0.16
56780.31845 20.14 0.19
56781.28632 20.19 0.11
56781.31722 20.40 0.12
56782.33081 19.92 0.06
56782.36182 19.79 0.06
56789.18534 18.03 0.03
56789.21855 18.14 0.04
56790.22228 17.89 0.03
56790.24882 17.86 0.03
56791.22491 17.74 0.02
56791.25366 17.71 0.02
56792.22751 17.54 0.02
56792.26103 17.55 0.02
56794.27654 17.28 0.03
56794.31181 17.31 0.01
56795.26931 17.20 0.02
56796.28573 17.15 0.01
56797.38406 17.01 0.02
56802.24029 16.97 0.01
56802.27573 16.97 0.01
56803.23689 16.98 0.01
56803.27221 16.95 0.01
56804.23747 16.97 0.01
56804.27250 16.98 0.01
56805.23713 17.00 0.01
56805.27213 17.02 0.01
56825.17589 18.02 0.01
56825.20623 18.01 0.01
56825.26703 17.97 0.01
56825.30928 17.97 0.02
56826.17703 18.02 0.01
56826.21501 18.01 0.01
56827.17749 18.08 0.01
56827.20987 18.14 0.01
56828.22206 18.13 0.01
56829.23089 18.22 0.02
56830.17872 18.27 0.01
56830.21257 18.23 0.01
56831.19698 18.27 0.01
56831.22027 18.27 0.01
56832.19700 18.31 0.02
56832.22595 18.36 0.01
56833.20183 18.34 0.01
56833.23057 18.38 0.02
56834.20147 18.40 0.02
56834.22978 18.44 0.02
56835.20029 18.50 0.02
56835.22844 18.56 0.02
56836.20456 18.52 0.02
56836.22757 18.50 0.02
56837.19690 18.54 0.02
56837.21752 18.51 0.02
56838.18843 18.64 0.02
56838.21844 18.61 0.02
56839.18891 18.61 0.02
56839.21890 18.58 0.02
56840.18251 18.68 0.02
56840.20924 18.67 0.02
filter B60
56785.418469999917 19.076384880958 0.016
56786.382379999850 18.797855452477 0.030
56791.159049999900 17.833868882815 0.031
56794.260830000043 17.291068389017 0.026
56796.244669999927 17.197230894214 0.006
56801.304279999807 17.202604380967 0.005
56804.164890000131 17.355330727036 0.005
56805.164499999955 17.484604486565 0.005
56807.166339999996 17.691696847988 0.006
56810.167859999929 18.058990935823 0.011
56813.165800000075 18.392773492442 0.035
filter g60
56785.421659999993 18.885469930734 0.012
56786.385580000002 18.568202303545 0.014
56791.162239999976 17.571488336878 0.016
56793.391809999943 17.271406302727 0.014
56795.169879999943 17.096496907114 0.002
56796.183269999921 17.060544564302 0.004
56801.306090000086 16.954994982381 0.002
56803.169259999879 17.056901299898 0.002
56803.171070000157 17.056681285988 0.002
56804.166699999943 17.138244713500 0.003
56805.166309999768 17.181148391963 0.002
56806.166509999894 17.319054671214 0.003
56807.168149999809 17.356533001784 0.003
56809.164249999914 17.562353329071 0.005
56811.220929999836 17.805056418356 0.005
56813.167830000166 17.993667111461 0.010
56815.199169999920 18.184551003851 0.016
56819.251310000196 18.557637060262 0.041
56828.184919999912 19.010608129366 0.015
56829.283720000181 18.987872869197 0.033
56830.227890000213 19.078654493818 0.017
56831.179370000027 19.095051013820 0.022
56833.179039999843 19.148668223191 0.023
56836.180939999875 19.200764838374 0.020
56837.178479999769 19.240553392399 0.025
56839.178489999846 19.345069190981 0.028
56841.172809999902 19.381359373507 0.039
56843.174209999852 19.320152043203 0.036
56845.173659999855 19.399282474122 0.058
56848.172520000022 19.516176673486 0.057
56858.187940000091 19.546738242760 0.091
56861.203799999785 19.686604840582 0.039
56864.168459999841 19.640539812594 0.048
56876.163490000181 19.839514395317 0.134
56877.157860000152 19.819311309511 0.118
56881.155160000082 20.078182367963 0.190
56883.181059999857 20.160747734419 0.077
filter i60
56785.415240000002 18.726053261791 0.015
56786.379149999935 18.517428677011 0.027
56791.154810000211 17.592820204736 0.015
56793.388379999902 17.288646245916 0.012
56795.168070000131 17.139087837526 0.015
56796.181470000185 17.082878144668 0.013
56801.302449999843 17.004816291652 0.034
56803.160629999824 17.039037186708 0.006
56803.167460000142 17.039227747821 0.004
56804.162049999926 17.067890094526 0.006
56805.161660000216 17.084076752122 0.006
56806.163699999917 17.126637709902 0.006
56807.163490000181 17.126761138546 0.005
56808.165409999900 17.140818986869 0.004
56810.164979999885 17.248794746305 0.008
56812.151200000200 17.312096393242 0.010
56814.166910000145 17.380355536748 0.009
56816.167760000098 17.444869263964 0.012
56819.249439999927 17.496948875856 0.013
56828.183120000176 17.949379243831 0.011
56829.281909999903 17.971839548789 0.023
56830.226090000011 18.065770811030 0.020
56831.177569999825 18.091644232003 0.014
56832.235859999899 18.167786268304 0.020
56834.177480000071 18.218615551448 0.017
56836.179130000062 18.293783524932 0.018
56837.177579999901 18.319603080153 0.020
56838.202769999858 18.414279647755 0.013
56840.178549999837 18.453030296080 0.024
56841.171099999920 18.530761124837 0.033
56842.171070000157 18.562016493326 0.043
56843.172199999914 18.537086050993 0.042
56844.170710000210 18.602749734487 0.042
