14bdn 0.01558 202.687002 +32.761788
filter B60
56804.423 18.75 0.05
56805.224 17.85 0.05
56806.194 17.36 0.04
56808.210 16.70 0.04
56810.203 16.05 0.04
56812.196 15.63 0.05
56814.225 15.37 0.05
56816.221 15.15 0.05
56819.298 14.96 0.07
filter g60
56804.426 18.71 0.03
56806.195 17.27 0.02
56807.209 16.92 0.02
56809.203 16.27 0.02
56811.316 15.74 0.02
56813.199 15.40 0.02
56815.239 15.15 0.02
56819.299 14.90 0.02
filter r60
56804.422 18.80 0.02
56805.223 17.85 0.01
56806.193 17.30 0.01
56808.209 16.59 0.01
56810.202 16.06 0.01
56812.195 15.64 0.01
56814.215 15.38 0.01
56816.220 15.19 0.01
56819.297 15.03 0.01
filter i60
56804.420 19.06 0.05
56805.221 18.17 0.02
56806.192 17.64 0.01
56808.208 16.92 0.02
56810.201 16.33 0.01
56812.195 15.97 0.01
56814.209 15.65 0.01
56816.219 15.54 0.02
56819.296 15.46 0.01
#filter z60
#56805.226 18.21 0.09
#56805.2261 18.211 0.091
filter rspm
56805.208 17.815 0.046
56806.205 17.224 0.018
56808.299 16.464 0.012
56809.193 16.211 0.008
56812.272 15.546 0.005
56814.196 15.292 0.003
56818.227 14.979 0.004
56820.232 14.898 0.003
56822.224 14.845 0.004
56824.235 14.816 0.003
56826.245 14.819 0.002
56828.246 14.857 0.004
56835.202 15.240 0.002
56845.236 15.592 0.007
56849.199 15.687 0.002
56864.191 16.359 0.008
filter ispm
56805.208 19.186 0.216
56806.205 17.513 0.018
56808.299 16.795 0.014
56809.193 16.535 0.008
56812.272 15.851 0.006
56814.196 15.585 0.006
56818.227 15.393 0.010
56820.232 15.441 0.017
56822.224 15.480 0.004
56824.235 15.513 0.007
56826.245 15.579 0.007
56828.246 15.623 0.007
56835.202 16.055 0.004
56845.236 16.084 0.008
56849.199 16.040 0.002
56864.191 16.495 0.007
filter zspm
#56805.208 > 18.256
56806.205 17.694 0.023
56809.193 16.690 0.015
56812.272 16.031 0.007
56814.196 15.768 0.016
56818.227 15.513 0.016
56820.232 15.424 0.026
56822.224 15.419 0.016
56824.235 15.446 0.011
56826.245 15.476 0.012
56828.246 15.536 0.010
56845.236 15.668 0.009
56849.199 15.688 0.007
56864.191 16.273 0.015
filter Yspm
#56805.208 > 17.266
56806.205 17.258 0.062
56809.193 16.305 0.024
56812.272 15.615 0.013
56814.196 15.385 0.007
56818.227 15.287 0.016
56820.232 15.384 0.016
56822.224 15.516 0.011
56824.235 15.691 0.013
56826.245 15.842 0.012
56828.246 15.964 0.015
56845.236 15.543 0.012
56849.199 15.477 0.007
56864.191 15.373 0.009
filter Jspm
#56805.208 > 17.012
56806.205 17.171 0.070
56809.193 16.287 0.031
56812.272 15.600 0.012
56814.196 15.343 0.017
56818.227 15.205 0.023
56820.232 15.198 0.025
56822.224 15.288 0.017
56824.235 15.432 0.015
56826.245 15.558 0.018
56828.246 15.742 0.019
56845.236 16.620 0.036
56849.199 16.589 0.034
56864.191 16.724 0.042
filter Hspm
#56805.208 > 16.366
#56806.205 > 16.914
56809.193 16.327 0.092
56812.272 15.704 0.041
56814.196 15.517 0.038
56818.227 15.395 0.045
56820.232 15.458 0.045
56822.224 15.536 0.036
56824.235 15.600 0.043
56826.245 15.612 0.039
56828.246 15.647 0.035
56845.236 15.610 0.046
56849.199 15.625 0.032
56864.191 15.917 0.051
filter R48
56804.24551 19.17 0.03
56804.28058 19.11 0.03
56805.24523 17.80 0.01
56805.28022 17.96 0.01
56825.17707 15.18 0.01
56825.20736 15.18 0.01
56826.17816 15.15 0.01
56826.21616 15.22 0.01
56827.17866 15.17 0.01
56827.21104 15.17 0.01
56828.17986 15.22 0.01
56828.22323 15.22 0.01
56829.23205 15.28 0.01
56831.22387 15.38 0.01
56831.29227 15.33 0.01
56832.22939 15.38 0.01
56833.20534 15.47 0.01
56833.23406 15.45 0.01
56834.20494 15.50 0.01
56834.23328 15.51 0.01
56835.20375 15.57 0.01
56835.23190 15.58 0.01
filter U_UVOT
56804.77 17.085 0.119
56806.51 16.467 0.080
56808.62 15.929 0.067
56812.45 14.857 0.051
56815.02 14.508 0.047
56816.61 14.400 0.047
56816.41 14.408 0.043
56820.55 14.350 0.046
56822.82 14.458 0.047
56824.15 14.516 0.047
56826.26 14.686 0.056
56828.76 14.864 0.053
56830.61 15.036 0.054
56832.64 15.200 0.061
56836.27 15.795 0.067
56840.30 16.396 0.064
56844.47 16.774 0.085
56854.20 17.672 0.099
56856.70 17.817 0.104
56860.54 17.999 0.114
56864.48 18.160 0.128
56868.37 18.183 0.131
filter B_UVOT
56804.77 18.043 0.158
56806.51 17.112 0.083
56808.62 16.533 0.067
56812.45 15.439 0.052
56815.02 15.066 0.047
56816.61 14.936 0.047
56820.55 14.797 0.045
56822.83 14.795 0.045
56824.15 14.815 0.045
56826.26 14.898 0.049
56828.76 14.966 0.047
56830.61 15.047 0.047
56832.64 15.201 0.050
56836.27 15.506 0.054
56844.47 16.418 0.071
56854.21 17.287 0.078
56856.70 17.531 0.084
56860.55 17.666 0.089
56864.48 17.776 0.095
56868.37 18.002 0.108
filter V_UVOT
56806.52 17.155 0.131
56808.62 16.523 0.088
56812.46 15.469 0.066
56815.02 15.175 0.061
56816.61 15.036 0.062
56820.55 14.865 0.058
56822.80 14.910 0.072
56824.15 14.850 0.059
56826.26 14.909 0.080
56828.73 14.937 0.074
56830.62 14.950 0.059
56836.28 15.294 0.063
56844.47 15.729 0.069
56854.21 16.300 0.075
56856.71 16.397 0.075
56860.55 16.638 0.082
56864.48 16.794 0.090
56868.38 16.943 0.096
filter Us
56809.63 15.63 0.07
56810.67 15.46 0.04
56811.61 15.05 0.08
56813.67 14.87 0.04
56817.70 14.45 0.05
56826.57 14.71 0.05
56830.65 14.91 0.07
56831.65 15.03 0.07
56832.64 15.07 0.04
56834.59 15.34 0.02
56834.65 15.30 0.05
56835.40 15.43 0.05
56835.63 15.51 0.04
56836.40 15.55 0.04
56843.56 16.48 0.06
56846.58 17.03 0.05
filter Bs
56807.67 16.85 0.05
56809.63 16.03 0.03
56810.67 15.90 0.04
56811.61 15.61 0.04
56813.67 15.32 0.02
56817.70 14.92 0.04
56826.57 14.97 0.06
56830.65 15.14 0.07
56831.65 15.19 0.04
56832.64 15.19 0.03
56834.59 15.43 0.04
56834.65 15.44 0.06
56835.40 15.49 0.08
56835.63 15.49 0.04
56836.40 15.62 0.02
56843.56 16.26 0.05
56846.58 16.56 0.06
56862.55 17.40 0.04
filter Vs
56806.68 16.93 0.03
56807.67 16.74 0.04
56809.63 15.98 0.03
56810.67 15.83 0.03
56811.61 15.51 0.05
56813.67 15.26 0.02
56817.70 14.95 0.06
56826.57 14.84 0.06
56830.65 14.91 0.07
56831.65 14.94 0.05
56832.64 14.96 0.05
56834.59 15.10 0.03
56834.65 15.12 0.09
56835.40 15.18 0.05
56835.63 15.20 0.03
56836.40 15.25 0.05
56840.59 15.42 0.03
56843.56 15.67 0.04
56846.58 15.79 0.07
56862.55 16.61 0.02
filter Rs
56806.68 16.90 0.02
56807.67 16.63 0.03
56809.63 15.92 0.02
56810.67 15.75 0.03
56811.61 15.50 0.04
56813.67 15.25 0.03
56817.70 15.02 0.05
56826.57 14.87 0.06
56830.65 14.92 0.02
56831.65 14.97 0.03
56833.60 15.08 0.04
56834.59 15.12 0.03
56834.65 15.13 0.07
56835.40 15.17 0.03
56835.63 15.18 0.03
56836.40 15.22 0.03
56840.59 15.45 0.02
56843.56 15.52 0.04
56846.58 15.59 0.04
56862.55 16.27 0.03
filter Is
56806.68 17.12 0.04
56807.67 16.76 0.03
56809.63 16.13 0.02
56810.67 15.98 0.03
56811.61 15.67 0.05
56813.67 15.46 0.02
56817.70 15.22 0.05
56826.57 15.15 0.06
56830.65 15.33 0.06
56831.65 15.44 0.05
56832.64 15.57 0.04
56834.59 15.69 0.02
56834.65 15.67 0.09
56835.40 15.73 0.05
56835.63 15.79 0.03
56836.40 15.81 0.06
56840.59 15.79 0.04
56843.56 15.71 0.04
56846.58 15.71 0.04
56862.55 16.04 0.03
