14bpz 0.12 234.215837 +21.767070
filter rspm
56845.25581 19.79 0.02
56850.19875 20.00 0.03
56861.19260 20.43 0.03
56873.18442 21.00 0.06
filter ispm
56845.25581 20.14 0.04
56850.19875 20.48 0.04
56861.19260 20.64 0.03
56873.18442 20.96 0.06
filter zspm
56845.25581 20.60 0.17
#56850.19875 20.32 9.99
#56861.19260 20.50 9.99
#56873.18442 20.33 9.99
filter Yspm
56845.25581 19.88 0.35
#56850.19875 19.11 9.99
56861.19260 20.06 0.28
56873.18442 20.24 0.46
#filter Jspm
#56845.25581 19.40 9.99
#56850.19875 19.89 9.99
#56861.19260 18.99 9.99
#56873.18442 19.04 9.99
#filter Hspm
#56845.25581 18.46 9.99
#56850.19875 18.99 9.99
#56861.19260 18.65 9.99
#56873.18442 19.21 9.99
#Old ratir photometry
#filter r_s
#56845.25581 19.7593 0.0264
#56850.19875 20.0090 0.0314
#56861.19260 20.3907 0.0335
#56873.18442 21.0107 0.0601
#filter i_s
#56845.25581 20.0979 0.0382
#56850.19875 20.4346 0.0445
#56861.19260 20.5464 0.0419
#56873 20.8737 0.0601
#filter z_s
#56845.25581 20.7098 0.1470
#56850.19875 21.9099 0.3073
#56861.19260 21.3791 0.1803
#56873.18442 21.1885 0.1964
#filter Yspm_AB
#56845.25581 20.4888 0.1841
#56850.19875 20.9128 0.1987
#56861.19260 20.5248 0.1492
#56873.18442 20.8707 0.2837
filter R48
#Cenko
56823.17903 20.78 0.24
56824.20368 20.57 0.09
56824.23632 20.60 0.12
56825.18193 20.77 0.12
56825.21211 20.43 0.08
56826.18302 20.29 0.09
56826.22082 20.32 0.12
56827.18362 20.36 0.07
56827.21588 20.33 0.09
56828.24008 20.08 0.06
56829.20375 20.03 0.06
56829.23661 20.03 0.06
56830.32811 19.92 0.04
56831.22854 19.89 0.04
56831.29691 19.92 0.05
56832.24094 19.79 0.04
56832.27181 19.83 0.05
56833.24586 19.88 0.05
56833.27758 19.74 0.04
56834.24499 19.78 0.04
56834.27645 19.76 0.04
56835.24350 19.80 0.05
56835.27463 19.71 0.06
56836.24141 19.75 0.05
56836.27002 19.69 0.04
56837.23412 19.72 0.04
56837.26205 19.72 0.04
56838.19770 19.74 0.04
56838.22770 19.73 0.04
56839.19810 19.77 0.04
56839.22818 19.78 0.04
56840.19181 19.85 0.04
56840.21851 19.77 0.04
filter B60
56834.282 20.013 0.028
56837.302 20.064 0.023
56838.302 20.092 0.027
56840.293 20.146 0.051
56841.287 20.197 0.028
56843.246 20.309 0.071
56845.228 20.301 0.094
56846.227 20.455 0.103
filter g60
56828.356 20.062 0.036
56834.285 19.711 0.018
56837.304 19.768 0.017
56838.304 19.797 0.018
56840.296 19.847 0.021
56841.290 19.863 0.018
56843.249 19.932 0.024
56845.232 19.956 0.051
56846.231 20.190 0.071
filter i60
56828.353 20.208 0.091
56834.276 20.028 0.050
56837.296 20.162 0.054
56838.296 20.151 0.043
56840.288 20.012 0.054
56841.282 19.942 0.046
56843.244 20.150 0.062
56845.227 20.407 0.097
56846.226 20.291 0.091
filter r60
56828.354 20.107 0.060
56828.408 20.011 0.066
56834.280 19.720 0.020
56837.298 19.746 0.020
56838.298 19.693 0.022
56840.291 19.683 0.026
56841.284 19.759 0.017
#filter z60
#56834.284 19.948 0.180
