14eje 0.11888 348.293114 +29.191366
filter G48
56899.37762 19.71 0.04
56899.40080 19.71 0.04
56899.45692 19.64 0.04
56899.48505 19.69 0.04
56900.30544 19.64 0.04
56900.30911 19.65 0.04
56900.33257 19.69 0.03
56900.33624 19.56 0.04
56901.25138 19.72 0.04
56901.25493 19.59 0.04
56901.27755 19.72 0.04
56901.28110 19.55 0.04
56902.27036 19.76 0.04
56902.27529 19.58 0.04
56902.30270 19.66 0.04
56902.30617 19.65 0.05
56903.21360 19.73 0.05
56903.21972 19.66 0.06
56903.24785 19.75 0.05
56903.25396 19.58 0.05
56904.21479 19.67 0.06
56904.22058 19.82 0.07
56904.24733 19.77 0.06
56904.25315 19.67 0.06
56905.23543 19.79 0.07
56905.26700 19.77 0.07
56906.19051 20.10 0.23
56907.18559 19.55 0.15
56907.19484 19.95 0.26
56907.22249 19.93 0.24
56911.40255 20.20 0.17
56912.36037 20.16 0.16
56912.39281 19.90 0.11
56913.45360 20.12 0.14
56913.48693 20.11 0.13
56914.39072 20.23 0.10
56914.40102 20.39 0.17
56914.42730 20.19 0.09
56914.43646 20.14 0.13
56915.38443 20.38 0.09
56915.39381 20.16 0.09
56915.41962 20.35 0.10
56915.42904 20.34 0.13
56916.52088 20.34 0.25
56917.42777 20.49 0.09
56917.43699 20.55 0.19
56917.46241 20.48 0.11
56917.47167 20.46 0.15
56920.42441 20.94 0.12
56920.43367 20.73 0.14
56920.45917 20.75 0.11
56920.46843 20.75 0.15
56921.37546 20.86 0.09
56921.38465 20.61 0.10
56921.41000 20.94 0.10
56921.41926 20.59 0.10
56922.37630 21.36 0.20
56922.38551 20.73 0.13
56922.40170 20.96 0.11
56922.41094 20.94 0.18
56923.38161 21.24 0.17
56923.39082 20.66 0.12
56923.40713 21.32 0.19
56923.41645 21.07 0.2
56924.37405 21.00 0.16
56924.38330 21.26 0.23
56924.39948 21.41 0.17
56924.40875 20.82 0.14
56925.43222 21.48 0.26
56925.44145 20.61 0.15
56925.45759 21.43 0.27
56925.46683 20.46 0.18
56944.16916 21.77 0.29
56944.17833 21.44 0.22
filter R48
56888.38066 21.38 0.24
56889.36117 21.34 0.2
56890.38904 21.05 0.13
56890.39133 21.32 0.25
56890.41962 21.25 0.22
56890.42191 21.2 0.24
56895.31007 20.13 0.09
56895.34301 20.11 0.06
filter HAWKIJ
56900.22 19.888 0.119
56907.21 20.325 0.184
filter HAWKIH
56900.22 19.930 0.119
56907.21 20.333 0.184
filter gnot
56903.15 19.561 0.015
56913.13 20.062 0.039
56918.11 20.477 0.017
56925.49 21.220 0.026
filter rnot
56903.15 19.610 0.015
56913.13 19.886 0.039
56918.11 20.146 0.017
56925.49 20.490 0.026
filter inot
56903.15 19.893 0.016
56913.13 20.224 0.027
56918.11 20.435 0.017
56925.49 20.373 0.033
filter i60
56904.29 19.826 0.029
56911.15 20.100 0.260
56915.13 20.240 0.200
filter B60
56904.29295 19.61 0.21
56904.30109 19.53 0.21
56911.14924 20.32 0.27
56915.13780 20.26 0.22
56925.32027 21.78 0.25
