14fpb 0.061 11.944065 +11.240145
filter G48
56914.31862 20.70 0.20
56914.36567 20.67 0.21
56915.31492 20.18 0.07
56915.36313 20.12 0.08
56916.37038 19.65 0.05
56916.49958 19.67 0.05
56917.35269 19.33 0.03
56917.40685 19.33 0.03
56920.35616 18.71 0.02
56920.40344 18.69 0.02
56921.30742 18.59 0.02
56921.35458 18.54 0.01
56922.28742 18.46 0.01
56922.34154 18.45 0.01
56923.28624 18.34 0.01
56923.34043 18.40 0.01
56924.28505 18.30 0.01
56924.33925 18.30 0.01
56925.34350 18.25 0.01
56925.39756 18.27 0.01
56926.28941 18.19 0.01
56927.30125 18.20 0.01
56927.40681 18.19 0.01
56930.37287 18.28 0.01
56930.41941 18.25 0.01
56931.32691 18.28 0.01
56931.37281 18.27 0.01
56932.26991 18.26 0.02
56932.31564 18.29 0.01
56933.26918 18.33 0.02
56933.32227 18.34 0.02
56934.27354 18.30 0.02
56935.28904 18.44 0.03
56935.33968 18.43 0.03
56936.25308 18.47 0.04
56936.29218 18.43 0.04
56942.34845 18.93 0.04
56942.39387 18.90 0.04
56943.31987 19.07 0.04
56943.36531 18.97 0.04
56944.27419 19.14 0.03
56944.30705 19.08 0.03
56948.29478 19.42 0.07
56949.27372 19.61 0.04
56949.30432 19.56 0.04
56950.27288 19.61 0.04
56950.30343 19.69 0.04
56951.27889 19.76 0.04
56951.32029 19.74 0.04
56952.27623 19.89 0.04
56952.30602 19.85 0.04
56953.27115 19.91 0.05
56953.30089 19.91 0.04
56954.28779 19.95 0.05
56954.31764 19.99 0.05
56955.27192 19.92 0.08
56955.30186 19.83 0.09
56956.27082 20.16 0.07
56956.30078 20.21 0.11
56958.26733 20.28 0.06
56958.29759 20.29 0.06
filter B60
56927.19686 18.392 0.018
56927.20493 18.406 0.018
56930.42497 18.463 0.008
56941.11525 19.050 0.630
56954.23591 20.563 0.058
56955.23955 20.531 0.060
filter g60
56927.50008 18.217 0.010
56927.20815 18.221 0.010
56930.52820 18.237 0.005
56941.61178 18.830 0.020
filter r60
56917.17876 19.02 0.1799999
56917.18036 18.80 0.1899999
56927.19520 18.23 0.02
56927.20328 18.16 0.02
56930.42331 18.21 0.01
56941.10891 18.73 0.0599999
56941.11087 18.78 0.0699999
filter i60
56927.19361 18.749 0.04199999
56927.20168 18.634 0.04199999
56930.42172 18.818 0.02099999
56941.11360 19.350 0.040
#filter z60
#56927.19845 18.33 0.319999999
#56927.20653 18.16 0.399999999
#56930.12656 17.83 0.309999999
#56958.12081 19.14 0.14
#56959.15119 19.50 0.17
#56960.15946 19.32 0.14
filter gnot
56931.59 18.256 0.016
56944.39 19.038 0.046
56948.57 19.422 0.014
56972.38 21.067 0.035
filter rnot
56931.59 18.228 0.016
56944.39 18.840 0.046
56948.57 18.927 0.014
56972.38 19.956 0.035
filter inot
56931.59 18.715 0.024
56944.39 19.417 0.029
56948.57 19.442 0.033
56972.38 19.940 0.025
filter VISTAJ
56930.17 18.919 0.073
56937.18 19.473 0.154
56948.08 20.597 0.215
filter VISTAH
56930.17 19.067 0.073
56937.18 19.476 0.154
56948.08 19.472 0.215
