14fww 0.10296 10.326226 +15.438180
filter G48
56915.30206 21.28 0.28
56915.35021 21.10 0.23
56916.35750 20.91 0.12
56916.48655 20.63 0.12
56917.39418 20.57 0.10
56920.34351 20.07 0.04
56920.39072 19.94 0.04
56921.29477 19.81 0.04
56921.34185 19.91 0.04
56922.27477 19.73 0.04
56922.32883 19.80 0.04
56923.27355 19.73 0.04
56923.32770 19.68 0.04
56924.27237 19.66 0.04
56924.32654 19.71 0.04
56925.33087 19.63 0.03
56925.38485 19.63 0.03
56926.27676 19.60 0.03
56927.28825 19.58 0.04
56927.34367 19.56 0.04
56928.29034 19.48 0.06
56930.36124 19.59 0.04
56930.40778 19.64 0.04
56931.31542 19.58 0.03
56931.36133 19.64 0.03
56932.25845 19.65 0.06
56932.30418 19.57 0.04
56933.25736 19.72 0.06
56933.31045 19.68 0.05
56934.26200 19.73 0.08
56935.27755 19.74 0.08
56935.32810 19.75 0.08
56936.24622 19.41 0.09
56936.28529 19.53 0.09
56941.34080 20.11 0.11
56941.37772 20.21 0.15
56942.33574 20.23 0.12
56942.38102 20.01 0.10
56943.30712 20.34 0.12
56943.35244 20.38 0.14
56944.23395 20.20 0.06
56944.26154 20.31 0.07
56946.23573 20.63 0.09
56948.28219 20.37 0.21
56949.23279 20.50 0.07
56949.26083 20.61 0.08
56950.23208 20.69 0.09
56950.26002 20.68 0.08
56951.23794 20.68 0.08
56951.26597 20.62 0.08
56952.23616 20.74 0.11
56952.26359 20.85 0.10
56953.22852 21.02 0.12
56953.25610 21.19 0.14
56954.24764 20.88 0.10
56954.27514 21.21 0.13
56955.23166 21.06 0.13
56955.25919 21.21 0.17
56956.25818 21.39 0.21
56958.22671 21.12 0.12
56958.25449 21.25 0.13
filter HAWKIJ
#filter J
56931.15 20.193 0.090
56932.10 20.237 0.137
56938.16 20.980 0.092
filter HAWKIH
56931.15 19.848 0.090
56932.10 19.970 0.137
56938.16 20.647 0.092
filter gnot
56931.60 19.479 0.041
56944.38 20.272 0.030
56948.58 20.749 0.056
56972.37 22.277 0.062
filter rnot
56931.60 19.407 0.041
56944.38 19.880 0.030
56948.58 20.092 0.056
56972.37 21.088 0.062
filter inot
56931.13 19.715 0.082
56944.38 20.205 0.023
56948.58 20.301 0.041
56972.37 21.092 0.043
#filter g60
#56931.13 19.226 0.207
#filter r60
#56922.42 20.240 0.066
#56931.13 19.284 0.082
#filter i60
#56931.13 19.715 0.082
