14gnl 0.053727 5.951363 -3.857740
filter G48
56941.83963 20.23 0.22
56941.87656 20.35 0.27
56942.83456 19.73 0.12
56942.87984 19.69 0.10
56943.80594 19.39 0.06
56943.85127 19.38 0.07
56944.73279 19.03 0.03
56944.73279 19.03 0.03
56944.73279 19.03 0.03
56944.73279 19.03 0.03
56944.73279 19.03 0.03
56944.73279 19.03 0.03
56944.73279 19.03 0.03
56944.73279 19.03 0.03
56944.76036 19.12 0.04
56944.76036 19.12 0.04
56944.76036 19.12 0.04
56944.76036 19.12 0.04
56944.76036 19.12 0.04
56944.76036 19.12 0.04
56944.76036 19.12 0.04
56944.76036 19.12 0.04
56946.73455 18.48 0.02
56948.78102 18.15 0.03
56949.73162 17.96 0.01
56949.75965 17.98 0.01
56950.73093 17.84 0.01
56950.75884 17.82 0.01
56951.73676 17.75 0.01
56952.73500 17.69 0.01
56952.76243 17.71 0.01
56953.72735 17.63 0.01
56953.75493 17.62 0.01
56954.74648 17.62 0.01
56954.74648 17.62 0.01
56954.74648 17.62 0.01
56954.77399 17.60 0.01
56954.77399 17.60 0.01
56954.77399 17.60 0.01
56955.73051 17.36 0.01
56955.73051 17.36 0.01
56955.73051 17.36 0.01
56955.75806 17.38 0.01
56955.75806 17.38 0.01
56955.75806 17.38 0.01
56956.72947 17.53 0.01
56956.75704 17.56 0.01
56958.72556 17.58 0.01
56958.75332 17.54 0.01
filter Blcogt
56943.342 19.348 0.197
56943.345 19.743 0.254
56945.221 18.989 0.123
56945.224 18.845 0.099
56948.503 18.128 0.056
56948.506 18.040 0.054
56950.923 17.995 0.048
56952.507 17.772 0.059
56952.510 17.760 0.054
56954.527 17.686 0.064
56954.530 17.602 0.057
56956.874 17.521 0.048
56956.877 17.563 0.047
56958.475 17.701 0.049
56958.478 17.729 0.050
56962.617 17.821 0.064
56962.620 17.732 0.062
56966.851 18.069 0.116
56966.854 18.225 0.113
56969.508 18.423 0.144
56969.511 18.484 0.164
56972.132 18.723 0.082
56972.135 18.732 0.076
56976.588 19.307 0.269
filter Vlcogt
56943.348 19.468 0.217
56943.350 19.256 0.194
56945.227 18.848 0.126
56945.229 18.860 0.124
56948.509 18.175 0.063
56948.511 18.198 0.067
56950.929 17.988 0.057
56950.931 17.985 0.057
56954.533 17.682 0.065
56954.536 17.702 0.062
56956.880 17.720 0.051
56956.882 17.709 0.051
56958.481 17.689 0.050
56958.484 17.708 0.048
56962.625 17.765 0.061
56966.857 17.900 0.113
56966.859 17.979 0.122
56969.515 18.067 0.127
56969.517 18.051 0.117
56972.138 18.251 0.060
56972.140 18.267 0.066
56981.425 18.777 0.173
56981.427 18.793 0.188
56985.031 19.012 0.105
56985.033 19.109 0.115
56986.774 19.021 0.120
56986.776 19.133 0.137
56989.823 19.252 0.167
56989.825 19.174 0.147
56996.834 19.686 0.233
56996.870 19.558 0.210
56997.110 19.312 0.170
56997.112 19.556 0.165
filter glcogt
56943.108 19.532 0.085
56943.111 19.751 0.103
56945.101 18.830 0.034
56945.104 18.884 0.044
56947.524 18.359 0.021
56947.527 18.364 0.019
56948.459 18.137 0.017
56948.462 18.100 0.021
56950.405 17.918 0.022
56950.408 17.900 0.016
56952.572 17.743 0.079
56954.441 17.681 0.048
56954.549 17.712 0.029
56954.552 17.718 0.023
56956.594 17.669 0.023
56956.597 17.664 0.024
56958.486 17.703 0.021
56958.489 17.694 0.019
56962.627 17.926 0.029
56962.630 17.882 0.029
56966.862 17.960 0.056
56966.865 17.891 0.062
56969.519 18.232 0.059
56969.522 18.206 0.069
56972.142 18.557 0.021
56972.145 18.529 0.020
56977.580 19.183 0.085
56977.583 19.182 0.099
56981.429 19.337 0.083
56981.432 19.361 0.087
56985.036 19.570 0.064
56985.038 19.509 0.066
56986.778 19.735 0.055
56986.781 19.856 0.069
56989.827 19.944 0.121
56989.830 19.801 0.092
56989.894 19.911 0.160
56989.897 19.851 0.105
56996.874 19.852 0.235
56996.877 19.769 0.247
56997.114 19.738 0.184
57014.789 20.633 0.128
57014.793 20.563 0.117
57021.056 20.415 0.258
filter ilcogt
56943.245 19.772 0.111
56943.247 19.824 0.123
56945.111 18.742 0.147
56945.113 18.765 0.119
56947.534 18.177 0.078
56947.536 18.325 0.077
56948.469 18.058 0.083
56948.471 18.024 0.064
56950.415 18.153 0.178
56950.417 17.948 0.115
56952.816 18.020 0.076
56952.818 17.957 0.056
56952.837 17.947 0.056
56952.839 18.018 0.057
56958.496 17.852 0.054
56958.498 17.894 0.061
56962.637 18.241 0.093
56962.640 18.094 0.116
56966.872 18.234 0.149
56966.874 18.170 0.170
56969.529 18.073 0.180
56969.531 18.413 0.248
56972.153 18.771 0.103
56972.155 18.803 0.122
56977.592 18.679 0.154
56981.440 18.576 0.286
56981.442 18.458 0.233
56985.046 18.485 0.111
56985.048 18.449 0.122
56986.788 18.581 0.102
56986.790 18.600 0.091
56989.905 18.614 0.142
56989.907 18.758 0.145
56997.125 19.204 0.286
56997.127 19.273 0.240
57000.147 19.510 0.081
57000.149 19.514 0.116
57004.108 19.553 0.073
57005.083 19.661 0.087
57007.117 19.841 0.125
57007.120 19.761 0.128
57011.097 19.975 0.120
57011.100 19.967 0.129
57014.810 19.677 0.176
57015.073 20.084 0.161
57015.075 19.883 0.111
57021.069 19.995 0.403
57021.073 19.898 0.354
## WIRC data subtracted using VISTA+VIRCAM templates, calibrated against 2MASS
#filter J2m
#original maggie...
#56949.37 17.994 0.080
filter J2m
#corrected wrt to Jrc2
56949.37 18.244 0.080
filter H2m
56949.37 18.339 0.080
#filter Ks2m
#skip
#56949.37 17.956 0.161
filter rlcogt
56943.114 19.070 0.141
56943.116 19.044 0.133
56945.107 18.499 0.076
56945.109 18.457 0.069
56947.530 17.910 0.033
56947.532 17.919 0.038
56948.465 17.706 0.035
56948.467 17.683 0.028
56950.411 17.532 0.037
56950.413 17.568 0.063
56954.555 17.230 0.034
56954.558 17.191 0.033
56956.600 17.299 0.057
56956.602 17.223 0.131
56958.492 17.144 0.025
56958.494 17.190 0.024
56966.870 17.408 0.100
56969.525 17.507 0.098
56969.527 17.494 0.094
56981.435 17.675 0.089
56981.438 17.795 0.082
56985.042 18.089 0.057
56985.044 18.054 0.081
56986.784 18.279 0.053
56986.786 18.257 0.049
56989.900 18.527 0.081
56989.902 18.463 0.067
56996.843 18.726 0.113
56996.845 18.804 0.128
56996.882 18.732 0.174
56997.121 18.902 0.123
56997.123 18.800 0.159
57014.798 19.183 0.068
57014.802 19.110 0.063
57021.061 19.480 0.205
57021.065 19.183 0.164
filter r
# LCOGT Valenti Pipeline, unsub?
#56943.114 17.200 0.050
#56943.116 17.270 0.050
56943.240 19.860 0.080
56943.242 19.840 0.060
56945.109 19.680 0.130
56947.530 18.580 0.050
56947.532 18.500 0.040
56948.191 18.270 0.020
56948.193 18.240 0.020
56948.465 18.290 0.030
56948.467 18.320 0.030
56950.205 18.080 0.020
56950.207 18.100 0.020
56950.411 18.220 0.050
56950.413 18.250 0.070
56952.229 17.950 0.010
56952.231 17.900 0.010
#56952.575 19.310 0.190
56952.812 17.740 0.020
56952.814 17.770 0.030
56952.833 17.590 0.020
56952.835 17.670 0.020
56954.220 17.480 0.180
56954.222 17.840 0.170
56954.555 17.670 0.030
56954.557 17.680 0.020
56956.222 17.790 0.020
56956.225 17.840 0.020
56956.600 17.830 0.060
56956.602 17.740 0.110
56958.492 17.490 0.030
56958.494 17.810 0.060
56962.633 17.790 0.050
56962.635 17.760 0.040
56966.868 17.890 0.040
56966.870 17.880 0.040
56969.525 18.080 0.060
56969.527 18.230 0.050
56972.148 18.570 0.050
56972.150 18.370 0.050
#56976.602 16.420 0.180
#56977.586 16.490 0.040
#56977.586 16.490 0.040
#56977.588 16.440 0.030
#56977.588 16.440 0.030
56981.435 18.370 0.040
56981.437 18.330 0.040
56985.042 18.530 0.030
56985.044 18.850 0.020
56986.784 18.920 0.060
56986.786 18.890 0.060
56989.833 18.970 0.060
#56989.900 19.890 0.190
#56989.902 19.730 0.180
#56996.843 20.050 0.290
#56996.845 20.100 0.260
#56996.880 20.040 0.500
56997.121 19.160 0.100
56997.123 19.360 0.120
#57000.144 20.780 0.350
57004.099 19.910 0.060
57004.102 19.890 0.080
#57005.075 18.340 0.410
#57005.077 18.140 0.360
57007.111 19.810 0.050
57007.114 19.850 0.040
57011.091 19.550 0.110
57011.094 19.250 0.070
57014.798 20.070 0.160
57014.802 20.200 0.130
57015.067 19.250 0.050
57015.070 19.190 0.050
57021.061 20.220 0.130
57021.065 20.080 0.160
#57249.727 17.310 0.050
#57262.248 17.200 0.070
#CSPII
filter Y
56944.14  19.131  0.020
56960.19  18.467  0.017
56966.10  18.749  0.042
56972.17  18.795  0.021
filter Jrc2
56943.17  19.355  0.030
56944.22  19.008  0.037
56960.24  18.369  0.024
56972.13  19.639  0.049
filter H
56943.13  19.282  0.058
56944.18  19.084  0.064
56960.21  18.551  0.052
