14yw 0.016882 176.264696 +19.973620
filter rspm
56727.289	15.87 0.01
56728.161	15.83 0.01
56731.276	15.78 0.01
56739.172	16.35 0.01
56744.212	16.58 0.01
filter ispm
56727.289	16.46 0.01
56728.161	16.48 0.01
56731.276	16.51 0.01
56739.172	17.14 0.01
56744.212	17.20 0.01
filter zspm
56727.289	16.42 0.01
56728.161	16.41 0.01
56731.276	16.42 0.01
filter Yspm
56727.289	16.26 0.01
56728.161	16.33 0.02
56731.276	16.62 0.01
#Old version of phot:
#filter rspm
#56727.289 15.848 0.006
#56728.161 15.849 0.002
#56731.276 15.828 0.004
#56739.172 16.323 0.006
#56744.212 16.567 0.004
#filter ispm
#56727.289 16.457 0.008
#56728.161 16.551 0.004
#56731.276 16.534 0.006
#56739.172 17.160 0.010
#56744.212 17.234 0.006
#filter zspm
#56727.289 16.379 0.010
#56728.161 16.381 0.006
#56731.276 16.381 0.007
#filter Yspm
#56727.289 16.252 0.013
#56728.161 16.263 0.019
#56731.276 16.555 0.017
filter Jspm
#By joel?
56739.172 17.882 0.055
filter g60
#P60, Fremling pipeline
56724.526 16.421 0.003
filter r60
#P60, Fremling pipeline
56724.528 16.243 0.003
filter i60
#P60, Fremling pipeline
56724.526 16.902 0.009
filter R48
#PTFIDE, marshal
56721.17676 16.68 0.07
56721.28602 16.68 0.08
56722.33501 16.41 0.14
56724.16840 16.18 0.12
56724.20133 16.18 0.11
56725.16586 16.02 0.08
56725.21534 16.07 0.08
56726.16419 16.05 0.10
56726.29022 16.11 0.14
56727.19177 16.01 0.12
56727.31537 15.98 0.10
56728.21669 16.00 0.11
56728.34742 15.97 0.13
56729.26242 15.96 0.12
56729.37903 15.93 0.10
56730.28036 16.02 0.15
56730.36924 15.97 0.15
56735.34909 16.17 0.12
56735.39152 16.23 0.12
56736.29338 16.29 0.12
56736.38472 16.37 0.16
56737.28647 16.41 0.13
56737.43419 16.34 0.12
56738.39954 16.50 0.11
56739.17721 16.60 0.12
56739.30419 16.58 0.11
56740.20566 16.67 0.12
56741.15242 16.63 0.11
56741.21985 16.73 0.13
56742.16072 16.72 0.11
56742.24683 16.71 0.08
56745.15784 16.65 0.12
56745.27270 16.65 0.11
56746.28454 16.80 0.14
56748.19622 16.70 0.08
56751.22413 16.77 0.13
56752.20365 16.80 0.10
56752.27691 16.77 0.10
56754.15389 16.97 0.11
56754.21551 17.01 0.12
