14yy 0.04311 186.538205 +9.978942
filter R48
56721.222 19.994 0.177
56721.255 19.674 0.173
56722.312 19.605 0.090
56724.213 19.023 0.089
56724.246 18.984 0.057
56725.208 18.886 0.084
56725.242 18.839 0.108
56727.204 18.468 0.084
56727.249 18.492 0.071
56728.201 18.399 0.092
56728.234 18.352 0.076
56729.198 18.211 0.099
56729.345 18.234 0.072
56730.240 18.207 0.073
56730.275 18.284 0.115
56737.196 18.221 0.046
56737.325 18.212 0.069
56738.413 18.305 0.073
56738.475 18.301 0.080
56739.379 18.331 0.085
56739.447 18.341 0.092
56741.286 18.506 0.086
56741.329 18.499 0.081
56742.231 18.524 0.049
56745.205 18.746 0.093
56745.238 18.748 0.084
56746.193 18.788 0.077
56746.236 18.774 0.141
56748.213 18.974 0.070
56748.246 18.872 0.069
56751.209 18.903 0.071
56751.242 18.932 0.095
56752.189 18.935 0.075
56752.238 18.937 0.070
56754.173 18.978 0.084
56754.206 18.988 0.076
56755.173 18.950 0.107
56755.206 19.094 0.076
56756.209 19.105 0.142
56763.215 19.883 0.159
56763.247 19.956 0.258
56764.180 19.743 0.166
56764.237 19.654 0.126
56767.220 19.940 0.110
56768.328 19.942 0.110
56769.202 19.830 0.143
56769.235 20.007 0.121
56770.191 19.960 0.140
56770.235 20.045 0.148
56771.188 20.126 0.149
56771.221 20.307 0.166
56772.181 19.988 0.118
56772.239 20.168 0.121
56775.330 20.107 0.153
56775.373 20.073 0.157
56776.274 20.237 0.184
56776.328 20.121 0.213
56777.230 20.230 0.135
56778.167 19.868 0.203
56778.216 20.379 0.168
56779.168 20.478 0.155
56779.219 20.465 0.111
56780.224 20.492 0.196
56780.253 20.298 0.133
56781.223 20.515 0.166
56781.252 20.322 0.149
56782.256 20.599 0.198
56782.291 20.350 0.151
56783.223 20.322 0.251
56792.218 20.376 0.343
56795.226 20.413 0.273
56797.191 20.823 0.218
56797.234 20.613 0.199
56802.198 20.843 0.146
56802.229 21.063 0.196
56803.226 20.970 0.276
56804.195 21.018 0.171
56804.227 21.277 0.296
56805.195 21.281 0.348
56805.226 21.214 0.251
#56831.194 21.794 0.282
#56835.211 20.773 0.347
#filter Rs
#56721.222 20.010 0.160
#56721.255 19.690 0.160
#56722.312 19.610 0.100
#56724.213 19.030 0.100
#56724.246 18.990 0.070
#56725.208 18.890 0.100
#56725.242 18.840 0.120
#56727.204 18.470 0.100
#56727.249 18.500 0.080
#56728.201 18.400 0.120
#56728.234 18.360 0.100
#56729.198 18.210 0.120
#56729.345 18.240 0.090
#56730.240 18.210 0.120
#56730.275 18.290 0.140
#56737.196 18.220 0.060
#56737.325 18.210 0.080
#56738.413 18.310 0.090
#56738.475 18.300 0.100
#56739.379 18.330 0.090
#56739.447 18.340 0.140
#56741.286 18.510 0.080
#56741.329 18.500 0.080
#56742.231 18.530 0.060
#56745.205 18.750 0.110
#56745.238 18.750 0.090
#56746.193 18.790 0.120
#56746.236 18.780 0.160
#56748.213 18.980 0.080
#56748.246 18.880 0.070
#56751.209 18.910 0.080
#56751.242 18.940 0.100
#56752.189 18.940 0.080
#56752.237 18.940 0.080
#56754.173 18.980 0.090
#56754.206 18.990 0.090
#56755.173 18.960 0.120
#56755.206 19.100 0.090
#56756.209 19.110 0.160
#56763.215 19.890 0.190
#56764.180 19.760 0.160
#56764.237 19.670 0.140
#56767.220 19.960 0.100
#56768.328 19.950 0.110
#56769.202 19.840 0.150
#56769.235 20.020 0.140
#56770.191 19.970 0.130
#56770.235 20.060 0.140
#56771.188 20.140 0.140
#56771.221 20.330 0.150
#56772.181 20.000 0.120
#56772.239 20.180 0.110
#56775.330 20.120 0.140
#56775.373 20.090 0.150
#56776.274 20.260 0.170
#56776.328 20.140 0.190
#56777.230 20.250 0.130
#56778.167 19.880 0.180
#56778.216 20.400 0.150
#56779.168 20.500 0.140
#56779.219 20.490 0.100
#56780.224 20.510 0.180
#56780.253 20.320 0.120
#56781.223 20.540 0.150
#56781.252 20.340 0.140
#56782.256 20.630 0.180
#56782.291 20.370 0.140
#56797.191 20.850 0.200
#56797.234 20.640 0.180
#56802.198 20.870 0.140
#56802.229 21.100 0.180
#56804.195 21.060 0.160
filter rspm
56726.215 18.609 0.008
56727.253 18.472 0.010
56728.201 18.366 0.011
56731.241 18.145 0.010
filter ispm
56726.215 18.663 0.010
56727.253 18.551 0.014
56728.201 18.467 0.011
56731.241 18.472 0.019
filter zspm
56727.253 18.571 0.023
56728.201 18.427 0.020
56731.241 18.371 0.025
filter Yspm
56727.253 17.875 0.067
56728.201 17.906 0.048
56731.241 18.011 0.060
#filter B
#56726.18434 18.97 0.03
#56727.20279 18.80 0.03
#filter V
#56726.18832 18.68 0.05
#56727.19875 18.54 0.04
#filter r
#56726.19301 18.38 0.07
#56727.19028 18.28 0.05
#filter i
#56726.69699 18.43 0.09
#56727.69436 18.31 0.07
#filter Y
#56726.19  18.286  0.014
#56729.22  18.087  0.017
#56732.19  18.227  0.020
#filter Jrc2
#56726.23  18.151  0.014
#56729.24  17.921  0.017
#56732.21  18.148  0.019
#filter H
#56726.21  17.971  0.040
