16abc 0.023196 203.689542 +13.853974
filter G48
57481.359 21.350 0.120
57481.388 21.260 0.130
57482.346 19.260 0.070
57482.375 19.330 0.050
57482.404 19.280 0.040
57483.346 18.780 0.040
57483.375 18.730 0.040
57483.404 18.640 0.040
57484.346 18.250 0.050
57484.375 18.210 0.050
57484.403 18.290 0.050
57492.371 16.130 0.040
57492.399 16.120 0.040
57492.428 16.150 0.040
57510.348 16.240 0.040
57510.378 16.240 0.040
57510.408 16.250 0.040
57511.346 16.300 0.040
57511.375 16.350 0.040
57511.405 16.330 0.040
57512.340 16.390 0.040
57512.370 16.380 0.040
57512.400 16.380 0.050
57513.335 16.460 0.030
57513.364 16.490 0.040
57513.394 16.520 0.040
57518.369 16.880 0.040
57518.399 16.900 0.050
57519.340 16.990 0.090
57519.370 17.030 0.070
57519.400 17.040 0.060
57520.338 17.020 0.040
57520.367 17.010 0.040
57520.396 17.070 0.050
57521.342 17.150 0.050
57521.371 17.180 0.050
57521.401 17.170 0.050
57522.401 17.160 0.040
filter R48
57493.371 16.320 0.060
57494.379 16.240 0.070
57495.329 16.230 0.070
57495.368 16.230 0.070
57496.306 16.180 0.080
57496.342 16.190 0.080
57505.396 16.210 0.070
57505.436 16.200 0.080
filter g60
57483.177 18.880 0.040
57484.363 18.320 0.050
57484.376 18.360 0.040
57494.344 16.080 0.050
57495.377 16.010 0.030
57496.422 16.000 0.050
57500.335 15.930 0.050
57502.337 15.950 0.060
57505.388 16.100 0.040
57526.178 17.820 0.050
57548.335 18.720 0.060
57549.266 18.750 0.050
57559.279 18.920 0.090
57574.261 18.920 0.400
57580.244 19.260 0.060
57581.249 19.280 0.060
filter r60
57483.172 18.870 0.020
57484.358 18.300 0.020
57484.370 18.290 0.020
57494.338 16.140 0.020
57495.383 16.070 0.010
57496.416 16.000 0.020
57500.330 15.910 0.020
57502.332 15.960 0.020
57505.390 16.030 0.010
57526.173 16.780 0.030
57526.231 16.770 0.020
57548.328 17.750 0.020
57549.262 17.830 0.010
57559.284 18.140 0.030
57580.240 18.830 0.030
57581.245 18.730 0.030
57587.277 18.860 0.060
filter i60
57483.175 19.040 0.040
57484.361 18.420 0.030
57484.373 18.390 0.030
57494.354 16.440 0.020
57495.386 16.420 0.020
57496.419 16.430 0.030
57500.332 16.490 0.030
57502.334 16.530 0.030
57505.386 16.610 0.020
57526.176 17.030 0.030
57526.233 17.050 0.030
57548.333 17.970 0.030
57549.264 17.980 0.030
57580.242 19.270 0.070
57581.247 19.110 0.060
57587.279 19.460 0.090
filter Blcogt
57482.891 19.070 0.090
57482.895 19.010 0.090
57483.429 18.810 0.050
57483.432 18.810 0.050
57483.544 18.790 0.080
57483.548 18.740 0.080
57483.659 18.730 0.090
57484.223 18.480 0.070
57484.226 18.510 0.070
57485.188 17.900 0.100
57485.191 18.020 0.340
57485.211 18.050 0.070
57485.215 18.060 0.070
57485.254 18.060 0.040
57485.257 18.040 0.040
57485.267 17.920 0.090
57485.271 17.970 0.070
57485.284 18.040 0.070
57485.288 17.990 0.070
57485.299 18.020 0.090
57485.303 18.010 0.070
57485.380 17.970 0.040
57485.383 17.940 0.040
57486.107 17.760 0.040
57486.110 17.750 0.030
57486.161 17.610 0.070
57486.165 17.660 0.070
57486.855 17.360 0.100
57487.109 17.300 0.090
57487.113 17.290 0.070
57487.264 17.350 0.040
57487.267 17.350 0.040
57487.850 17.040 0.100
57487.903 16.970 0.100
57487.907 17.050 0.100
57488.843 16.860 0.070
57488.847 16.890 0.090
57489.126 16.810 0.030
57489.128 16.810 0.040
57489.840 16.090 0.130
57489.917 16.600 0.100
57489.919 16.510 0.100
57490.115 16.660 0.050
57490.118 16.640 0.040
57490.197 16.550 0.040
57490.200 16.510 0.040
57490.838 16.390 0.070
57490.840 16.440 0.070
57490.843 16.390 0.100
57490.845 16.540 0.100
57490.901 16.450 0.100
