16auf 0.01499 217.788598 +27.236051
filter G48
57519.351 20.290 0.150
57519.380 20.230 0.160
57519.410 20.140 0.150
57520.348 18.720 0.060
57520.378 18.710 0.060
57520.407 18.680 0.060
57521.352 18.030 0.060
57521.382 18.080 0.050
57521.411 18.060 0.060
57522.412 17.510 0.050
57525.304 16.750 0.100
57526.250 16.520 0.110
57526.299 16.490 0.110
57527.272 16.310 0.120
57527.317 16.240 0.120
57544.198 15.420 0.060
57544.233 15.380 0.060
57548.219 15.670 0.100
57548.251 15.670 0.060
57552.179 16.040 0.090
57552.214 16.060 0.090
filter R48
57525.353 16.990 0.110
57526.354 16.730 0.100
57527.365 16.510 0.110
57544.268 15.560 0.070
57548.286 15.790 0.100
filter g60
57526.360 16.580 0.020
57527.404 16.320 0.020
57540.328 15.320 0.020
57547.219 15.700 0.020
57551.368 16.120 0.020
57554.305 16.400 0.040
57558.251 16.890 0.030
57580.238 18.040 0.020
57586.200 18.120 0.020
57613.241 18.640 0.040
57619.182 18.600 0.040
57625.186 18.630 0.030
57632.155 18.770 0.030
57638.188 18.920 0.160
filter r60
57526.353 16.560 0.020
57527.400 16.360 0.010
57540.324 15.320 0.020
57547.215 15.560 0.010
57551.363 15.770 0.010
57554.301 15.880 0.010
57558.247 16.000 0.020
57574.234 16.450 0.190
57576.329 16.820 0.010
57576.341 16.830 0.010
57580.234 16.920 0.010
57586.196 17.140 0.030
57613.237 18.060 0.020
57619.178 18.230 0.040
57625.183 18.480 0.020
57632.151 18.670 0.020
57638.184 19.040 0.210
filter i60
57526.356 16.690 0.020
57527.402 16.490 0.010
57540.326 15.790 0.040
57547.217 16.050 0.010
57551.365 16.280 0.010
57554.303 16.300 0.020
57558.249 16.270 0.010
57576.330 16.800 0.010
57576.342 16.830 0.010
57580.236 16.990 0.010
57586.198 17.260 0.020
57613.239 18.220 0.050
57619.180 18.440 0.040
57625.184 18.570 0.030
57632.153 18.910 0.020
57638.186 19.120 0.390
#filter UVW2
#57536.8806  18.244   0.322
#57540.5350  17.660   0.269
#57543.6162  18.022   0.278
#filter UVW1
#57528.5540  17.591   0.228
#57531.7252  17.352   0.180
#57540.5326  16.867   0.169
#57543.6116  17.315   0.170
#57553.1924  18.126   0.310
filter U_UVOT
57521.8135  17.812   0.204
57523.3695  17.639   0.207
57528.5556  16.301   0.101
57531.7264  15.746   0.078
57536.4645  15.353   0.063
57540.5334  15.499   0.092
57543.6133  15.772   0.076
57553.1938  16.949   0.120
57559.7027  17.729   0.168
57565.2788  18.154   0.240
filter B_UVOT
57521.8144  17.679   0.114
57523.3705  17.380   0.112
57528.5565  16.210   0.073
57531.7271  15.864   0.064
57540.5338  15.394   0.063
57543.6141  15.697   0.061
57553.1946  16.638   0.074
57559.7056  17.328   0.087
57565.2805  17.806   0.120
filter V_UVOT
57521.8192  17.907   0.293
57523.3753  17.251   0.204
57528.5614  16.130   0.107
57531.7021  15.914   0.105
57540.5362  15.261   0.093
57543.6187  15.336   0.069
57553.1995  15.981   0.086
57559.7074  16.403   0.095
57565.2813  16.742   0.146
filter Blcogt
57522.139 17.481 0.088
57522.142 17.511 0.087
57522.212 17.757 0.031
57522.215 17.751 0.033
57526.128 16.477 0.041
57526.131 16.482 0.042
57528.351 16.199 0.020
57528.354 16.196 0.021
57530.316 15.927 0.015
57530.319 15.901 0.013
57531.236 15.794 0.012
57531.239 15.799 0.012
57531.382 15.695 0.012
57531.385 15.694 0.011
57536.372 15.351 0.009
