17lf 0.01464 48.139952 +39.320608
filter G48
57771.120 19.620 0.049
57784.104 19.510 0.049
57786.099 19.420 0.077
57799.131 20.430 0.096
57801.119 20.690 0.184
#filter I48
#57771.160 16.850 0.077
#57786.124 17.200 0.096
#57799.165 17.180 0.105
#57801.156 17.030 0.105
#filter g_s
#57776.85 19.655 0.389
filter rspm
57776.850 17.668 0.100
57790.222 18.230 0.096
57794.162 18.430 0.096
filter ispm
57776.850 17.398 0.100
57790.222 17.940 0.096
57794.162 18.080 0.096
filter zspm
57776.850 16.918 0.319
57790.222 17.000 0.096
57794.162 17.040 0.096
filter Yspm
57790.22 17.408 0.057
57794.16 17.155 0.050
#filter Yspm_AB
#57790.222 17.460 0.096
#57794.162 17.650 0.184
filter r60
57805.232 18.690 0.020
57805.237 18.750 0.030
57806.112 18.700 0.039
57822.158 19.700 0.096
57822.160 19.580 0.068
57824.158 19.640 0.086
57824.160 19.820 0.123
57824.161 19.740 0.096
57824.177 19.840 0.123
57824.178 19.790 0.141
57824.180 19.570 0.105
57825.164 19.780 0.096
57825.166 19.730 0.068
57825.167 19.840 0.049
57826.142 19.650 0.058
57828.139 19.800 0.058
57828.140 19.730 0.039
57828.176 19.960 0.068
57828.204 19.730 0.068
57828.207 19.460 0.105
57829.131 19.930 0.077
57829.132 19.870 0.058
57829.162 20.040 0.096
57829.163 19.810 0.077
57830.144 20.020 0.086
57830.146 20.130 0.096
57829.178 19.810 0.068
57830.148 19.950 0.077
57830.178 19.810 0.132
filter i60
57805.233 17.940 0.020
57805.239 17.890 0.020
57806.113 17.970 0.020
57822.162 18.810 0.049
57822.163 18.930 0.049
57822.165 18.760 0.039
57824.163 19.090 0.058
57824.165 19.000 0.049
57824.166 18.960 0.049
57824.181 19.010 0.058
57824.183 19.220 0.077
57824.185 19.000 0.049
57825.170 19.150 0.039
57825.172 19.110 0.049
57826.145 19.100 0.030
57826.147 19.120 0.039
57828.142 19.220 0.030
57828.144 19.180 0.020
57828.145 19.230 0.020
57828.178 19.190 0.039
57828.181 19.160 0.039
57828.209 19.020 0.049
57829.137 19.270 0.039
57829.166 19.090 0.049
57829.179 19.310 0.039
57829.182 19.240 0.058
57830.151 19.540 0.058
57830.152 19.230 0.049
57830.182 19.350 0.096
57830.196 19.170 0.096
57830.198 19.110 0.123
filter rlcogt
57778.22 17.587 0.138
57780.23 17.619 0.064
57782.19 17.766 0.036
57784.18 17.833 0.039
57786.16 17.792 0.064
57793.14 18.313 0.069
57795.16 18.318 0.104
57806.11 18.709 0.038
filter ilcogt
57778.22 17.293 0.138
57780.23 17.729 0.064
57782.19 17.534 0.036
57784.18 17.818 0.039
57786.16 17.892 0.064
57793.14 18.180 0.069
57795.16 17.979 0.104
57806.11 18.016 0.038
