SN	source	B	Berr	V	Verr	r	rerr	i	ierr	J	Jerr	H	Herr
2004eo	CSP	15.12	0.005	15.132	0.008	15.129	0.016	15.683	0.006	15.588	0.018	15.85	0.021
2004ey	CSP	14.772	0.005	14.824	0.005	14.932	0.006	15.589	0.008	15.558	0.024	15.906	0.042
2005el	CSP	14.891	0.057	14.808	0.106	14.966	0.12	15.501	0.069	15.655	0.031	15.856	0.04
2005iq	CSP	16.796	0.011	16.826	0.01	16.92	0.011	17.529	0.013	17.46	0.027	17.642	0.058
2005kc	CSP	15.577	0.01	15.394	0.009	15.352	0.009	15.805	0.009	15.555	0.031	15.743	0.034
2005ki	CSP	15.597	0.019	15.611	0.018	15.692	0.018	16.274	0.019	16.239	0.033	16.392	0.074
2006X	CSP	15.231	0.006	14.081	0.006	13.64	0.006	13.818	0.006	12.977	0.014	13.139	0.016
2006ax	CSP	15.008	0.037	15.061	0.038	15.187	0.044	15.811	0.039	15.798	0.014	16.047	0.019
2006bh	CSP	14.35	0.005	14.381	0.005	14.431	0.005	15.049	0.006	15.068	0.064	15.12	0.067
2006et	CSP	15.967	0.012	15.824	0.012	15.858	0.013	16.399	0.012	16.283	0.013	16.488	0.023
2006kf	CSP	15.961	0.015	15.955	0.015	15.995	0.015	16.549	0.015	16.429	0.017	16.629	0.036
2007A	CSP	15.709	0.013	15.517	0.014	15.551	0.012	16.06	0.013	15.82	0.048	16.033	0.065
2007af	CSP	13.171	0.013	13.142	0.009	13.155	0.009	13.71	0.01	13.625	0.016	13.791	0.02
2007bc	CSP	15.842	0.011	15.834	0.011	15.892	0.011	16.487	0.014	16.455	0.036	16.689	0.068
2007bd	CSP	16.565	0.026	16.587	0.018	16.665	0.022	17.266	0.041	17.207	0.037	17.124	0.247
2007ca	CSP	15.882	0.008	15.621	0.007	15.584	0.006	16.008	0.007	15.726	0.02	15.853	0.027
2007le	CSP	13.901	0.011	13.628	0.009	13.571	0.009	14.143	0.009	13.878	0.01	14.068	0.01
2007on	CSP	13.038	0.018	12.918	0.029	12.916	0.059	13.396	0.058	13.223	0.043	13.297	0.051
2008bc	CSP	14.752	0.004	14.787	0.005	14.899	0.005	15.602	0.005	15.665	0.024	15.769	0.037
2008bf	CSP	15.715	0.025	15.733	0.025	15.876	0.026	16.548	0.029	16.611	0.013	16.696	0.141
2008fp	CSP	13.947	0.021	13.452	0.009	13.414	0.009	13.72	0.009	13.458	0.005	13.691	0.007
2008gl	CSP	16.824	0.007	16.796	0.007	16.837	0.006	17.473	0.008	17.363	0.023	17.546	0.05
2008gp	CSP	16.444	0.012	16.477	0.013	16.601	0.014	17.28	0.015	17.157	0.03	17.489	0.067
2008hj	CSP	16.799	0.008	16.79	0.007	16.882	0.008	17.554	0.009	17.741	0.059	17.556	0.122
2008hv	CSP	14.761	0.014	14.783	0.013	14.844	0.014	15.522	0.015	15.466	0.039	15.603	0.102
2008ia	CSP	15.909	0.013	15.922	0.016	15.963	0.012	16.599	0.015	16.303	0.025	16.481	0.033
2009D	CSP	15.748	0.006	15.758	0.005	15.877	0.006	16.544	0.007	16.552	0.009	16.749	0.018
2009Y	CSP	13.986	0.015	13.862	0.018	13.925	0.025	14.598	0.016	14.544	0.008	14.784	0.008
2009aa	CSP	16.319	0.009	16.333	0.008	16.397	0.009	16.978	0.01	16.804	0.046	17.072	0.058
2009ab	CSP	14.705	0.006	14.689	0.005	14.744	0.006	15.289	0.007	15.23	0.08	15.446	0.087
