B,V,r,i,J,H
4366.940313734931,5370.675487682301,6105.1275655615145,7507.645016504276,12479.416802604715,16158.679232787368
4374.690313734959,5372.775487682308,6111.677565561538,7515.395016504304,12475.0168026047,16159.42923278737
4369.990313734942,5358.775487682257,6184.777565561804,7557.7950165044585,12432.466802604544,16123.47923278724
4365.1903137349245,5368.675487682293,6113.577565561545,7515.295016504304,12468.616802604676,16158.72923278737
4368.840313734938,5358.925487682258,6185.977565561809,7557.495016504457,12432.866802604545,16122.879232787238
4371.640313734948,5359.175487682259,6173.727565561764,7553.245016504442,12435.516802604554,16134.879232787282
4372.3403137349505,5359.025487682258,6179.027565561783,7556.895016504455,12431.21680260454,16142.029232787307
4377.59031373497,5362.975487682273,6158.127565561707,7547.995016504423,12433.316802604546,16148.829232787331
4372.840313734952,5375.425487682318,6100.327565561497,7492.595016504221,12489.866802604753,16174.979232787427
4371.640313734948,5362.625487682271,6160.127565561715,7550.145016504431,12436.316802604557,16140.379232787302
4367.440313734933,5368.975487682294,6109.37756556153,7521.795016504328,12464.616802604662,16158.329232787368
4369.840313734941,5356.225487682248,6193.827565561837,7557.345016504457,12429.216802604533,16128.679232787259
4368.640313734937,5367.375487682289,6126.177565561591,7531.095016504361,12454.566802604624,16147.92923278733
4368.240313734936,5370.275487682299,6109.977565561532,7518.1950165043145,12469.016802604678,16159.42923278737
4372.24031373495,5357.225487682252,6187.127565561813,7556.295016504453,12428.316802604528,16135.479232787284
4370.1403137349425,5363.475487682274,6153.527565561691,7551.295016504435,12435.866802604556,16135.729232787286
4373.690313734955,5366.325487682285,6144.677565561658,7543.195016504405,12446.916802604595,16152.879232787347
4369.49031373494,5368.825487682294,6120.077565561569,7531.845016504364,12456.666802604632,16158.579232787368
4364.490313734922,5364.775487682279,6141.027565561645,7547.495016504421,12435.516802604554,16136.179232787286
4368.640313734937,5368.125487682291,6118.377565561563,7529.1950165043545,12460.166802604645,16150.279232787338
4374.290313734958,5361.825487682268,6174.577565561767,7552.59501650444,12434.466802604551,16139.329232787299
4366.890313734931,5363.525487682275,6159.527565561712,7552.395016504439,12440.216802604573,16127.529232787256
4372.3403137349505,5363.625487682275,6156.777565561702,7550.245016504431,12432.666802604545,16145.079232787319
4370.090313734942,5365.175487682281,6133.627565561618,7544.34501650441,12445.966802604593,16141.529232787307
4372.19031373495,5364.625487682279,6155.927565561699,7551.395016504435,12441.416802604577,16136.229232787286
4374.690313734959,5358.575487682257,6180.87756556179,7555.34501650445,12428.76680260453,16136.379232787287
4370.040313734942,5368.625487682293,6137.077565561631,7537.545016504385,12452.666802604617,16152.529232787347
4375.240313734961,5361.725487682268,6173.227565561762,7553.595016504443,12432.766802604545,16145.62923278732
4361.690313734912,5366.925487682287,6127.027565561594,7533.945016504372,12454.666802604625,16136.129232787287
4371.440313734947,5359.025487682258,6188.777565561819,7559.445016504465,12430.716802604536,16120.179232787228
4368.690313734937,5357.1754876822515,6178.327565561781,7553.345016504442,12432.516802604543,16130.429232787264
4370.340313734943,5364.3254876822775,6146.227565561664,7546.045016504416,12444.166802604586,16144.479232787317
4365.090313734924,5368.825487682294,6120.927565561572,7532.595016504367,12454.566802604624,16148.529232787332
4372.740313734952,5359.42548768226,6177.527565561778,7557.995016504459,12427.266802604525,16136.879232787289
4370.640313734944,5364.275487682277,6150.52756556168,7547.445016504421,12442.56680260458,16150.52923278734
4372.740313734952,5368.075487682291,6131.077565561609,7537.795016504386,12444.216802604587,16146.879232787325
4371.690313734948,5357.875487682254,6180.677565561789,7559.1450165044635,12432.166802604543,16122.179232787235
4367.440313734933,5374.375487682314,6102.3775655615045,7498.595016504243,12490.316802604753,16154.829232787353
4370.340313734943,5360.625487682264,6175.527565561771,7555.34501650445,12429.866802604534,16133.229232787275
4370.6903137349445,5362.6754876822715,6165.277565561733,7552.895016504441,12431.21680260454,16138.379232787294
4364.340313734921,5368.675487682293,6134.877565561623,7540.345016504395,12450.41680260461,16135.379232787283
4370.790313734945,5360.625487682264,6174.877565561768,7556.095016504452,12431.41680260454,16133.229232787275
4371.340313734947,5358.475487682256,6182.427565561796,7556.995016504456,12432.016802604543,16126.329232787251
4371.2403137349465,5372.675487682308,6100.377565561497,7491.145016504216,12490.216802604755,16167.6292327874
4369.0403137349385,5365.02548768228,6136.377565561628,7540.995016504397,12444.916802604588,16154.329232787353
4368.240313734936,5366.025487682284,6140.877565561645,7541.395016504399,12444.466802604587,16149.529232787336
4373.390313734954,5359.42548768226,6176.677565561775,7556.6950165044545,12428.46680260453,16141.979232787307
4369.840313734941,5360.525487682264,6156.0275655617,7546.745016504418,12438.366802604565,16146.079232787322
4372.440313734951,5364.97548768228,6151.0275655616815,7549.245016504427,12439.71680260457,16141.179232787304
4376.090313734964,5357.675487682253,6183.6275655618,7559.545016504465,12431.166802604539,16135.529232787285
4371.040313734946,5360.825487682265,6183.777565561801,7559.595016504465,12429.866802604534,16132.679232787274
4367.790313734934,5370.325487682299,6112.8275655615425,7518.395016504315,12466.216802604667,16153.229232787347
4367.690313734934,5372.725487682308,6115.377565561552,7524.695016504338,12461.966802604651,16148.22923278733
4375.990313734964,5362.775487682272,6164.827565561732,7551.645016504436,12433.766802604549,16148.27923278733
4374.490313734958,5368.775487682294,6128.6775655616,7531.345016504362,12457.516802604634,16156.429232787359
4374.140313734957,5366.125487682284,6145.377565561661,7541.895016504401,12446.516802604594,16150.72923278734
4364.04031373492,5369.775487682297,6124.0775655615835,7535.345016504377,12457.966802604637,16150.679232787339
4373.740313734956,5358.2754876822555,6186.877565561812,7558.845016504462,12428.61680260453,16129.929232787264
4371.190313734946,5366.975487682287,6118.727565561564,7524.845016504339,12459.866802604643,16157.529232787365
4365.140313734924,5367.77548768229,6130.6775655616075,7539.795016504393,12449.266802604605,16139.179232787297
4373.090313734953,5358.325487682256,6177.627565561778,7556.6950165044545,12428.21680260453,16129.02923278726
4372.3403137349505,5361.5754876822675,6170.027565561751,7555.245016504449,12430.866802604538,16134.82923278728
4371.290313734947,5372.075487682306,6116.777565561557,7508.8450165042805,12478.666802604712,16163.429232787385
4372.590313734951,5358.575487682257,6173.377565561763,7555.795016504451,12432.616802604545,16132.679232787274
4365.640313734926,5365.02548768228,6143.577565561654,7547.395016504421,12437.516802604561,16128.179232787257
4366.890313734931,5360.275487682263,6173.8275655617645,7555.745016504451,12437.06680260456,16124.179232787243
4367.890313734934,5367.6254876822895,6130.927565561608,7541.545016504399,12445.416802604592,16138.479232787295
4370.740313734945,5361.375487682267,6150.62756556168,7545.745016504415,12437.516802604561,16142.729232787311
4368.940313734938,5361.0254876822655,6165.727565561735,7555.095016504449,12433.166802604546,16132.829232787273
