B,V,r,i,J,H
4361.990313734913,5362.525487682271,6134.727565561622,7543.045016504405,12443.766802604585,16137.929232787294
4365.690313734926,5358.125487682255,6175.4775655617705,7554.995016504448,12429.216802604533,16127.329232787255
4365.040313734924,5356.175487682248,6176.677565561775,7552.79501650444,12427.766802604527,16125.029232787245
4360.990313734909,5359.9254876822615,6146.227565561664,7545.845016504415,12436.666802604559,16131.979232787271
4364.240313734921,5369.775487682297,6111.777565561539,7519.59501650432,12464.866802604662,16151.679232787343
4362.940313734916,5364.475487682278,6137.177565561631,7543.095016504405,12443.016802604583,16135.979232787286
4354.640313734886,5362.425487682271,6101.977565561503,7521.145016504325,12457.766802604636,16148.029232787329
4366.440313734929,5356.975487682251,6178.427565561781,7554.195016504445,12431.91680260454,16126.62923278725
4369.34031373494,5358.425487682256,6183.027565561798,7557.895016504459,12433.716802604547,16127.779232787256
4356.590313734893,5361.825487682268,6127.277565561595,7537.145016504383,12443.666802604585,16136.97923278729
4368.690313734937,5358.425487682256,6179.427565561785,7556.245016504453,12429.766802604534,16128.92923278726
4365.690313734926,5365.825487682283,6140.727565561644,7542.695016504404,12448.0668026046,16141.779232787307
4358.090313734899,5361.275487682266,6127.077565561594,7538.645016504389,12443.266802604583,16136.97923278729
4367.140313734932,5363.025487682273,6157.227565561704,7551.995016504437,12439.016802604569,16132.229232787271
4366.490313734929,5358.375487682256,6172.7275655617605,7554.045016504445,12430.616802604538,16128.179232787257
4367.690313734934,5362.025487682269,6165.027565561732,7553.545016504443,12433.96680260455,16132.779232787274
4359.490313734904,5362.475487682271,6134.02756556162,7540.845016504397,12440.516802604572,16139.279232787298
4358.640313734901,5362.025487682269,6131.527565561611,7540.545016504396,12443.566802604584,16140.0292327873
4367.590313734933,5359.075487682258,6176.877565561776,7556.295016504453,12429.566802604533,16128.279232787258
4363.5403137349185,5360.375487682263,6157.6275655617055,7550.6450165044325,12434.866802604553,16129.779232787263
4362.090313734913,5356.77548768225,6168.127565561744,7550.695016504433,12430.216802604536,16125.779232787248
4366.74031373493,5360.725487682264,6169.327565561748,7554.945016504448,12436.216802604558,16130.929232787268
4366.2903137349285,5357.775487682254,6181.677565561793,7555.34501650445,12430.566802604537,16127.229232787253
4367.440313734933,5357.425487682252,6180.577565561789,7556.245016504453,12431.816802604542,16126.479232787251
4367.3903137349325,5362.725487682272,6160.677565561717,7550.795016504433,12436.516802604558,16131.87923278727
4366.64031373493,5361.5754876822675,6166.877565561739,7553.845016504444,12435.466802604555,16132.879232787274
4359.890313734905,5360.175487682262,6143.527565561654,7545.095016504412,12436.116802604556,16135.029232787281
4366.940313734931,5357.425487682252,6181.877565561794,7556.095016504452,12432.716802604544,16125.92923278725
4357.090313734895,5359.075487682258,6131.37756556161,7541.395016504399,12441.816802604579,16134.27923278728
4361.390313734911,5360.275487682263,6155.477565561698,7549.245016504427,12430.716802604536,16131.47923278727
4368.390313734936,5358.475487682256,6180.027565561787,7556.945016504455,12430.516802604536,16128.77923278726
4358.890313734902,5360.275487682263,6139.52756556164,7544.195016504409,12438.616802604567,16134.229232787278
4358.890313734902,5358.225487682255,6147.627565561669,7546.345016504417,12435.366802604554,16130.879232787267
4366.990313734931,5358.375487682256,6179.277565561784,7555.0450165044485,12429.466802604533,16131.629232787269
4363.790313734919,5359.57548768226,6158.077565561707,7549.695016504429,12435.116802604553,16128.629232787258
4360.090313734906,5358.425487682256,6150.077565561678,7545.1450165044125,12437.416802604563,16132.329232787273
4353.490313734882,5361.125487682266,6106.277565561519,7525.045016504339,12454.766802604625,16145.529232787321
4364.6403137349225,5367.77548768229,6122.4275655615775,7530.045016504358,12458.96680260464,16147.97923278733
4367.290313734932,5372.0254876823055,6125.427565561588,7531.3950165043625,12459.966802604644,16149.379232787334
4361.840313734912,5367.0754876822875,6124.027565561583,7534.895016504375,12452.716802604617,16144.329232787317
4356.740313734894,5365.275487682281,6108.277565561526,7521.045016504325,12461.366802604649,16149.179232787334
