B,V,r,i,J,H
4357.990313734898,5366.275487682285,6106.67756556152,7517.445016504312,12462.216802604653,16151.42923278734
4362.9903137349165,5355.375487682245,6176.627565561775,7552.64501650444,12426.466802604522,16123.979232787242
4355.490313734889,5364.3254876822775,6102.827565561506,7516.89501650431,12462.066802604651,16150.379232787338
4363.040313734917,5361.275487682266,6149.9275655616775,7548.645016504425,12434.466802604551,16132.279232787272
4359.840313734905,5361.425487682267,6133.027565561616,7541.6950165044,12441.116802604574,16138.129232787294
4357.540313734897,5360.525487682264,6130.827565561608,7540.395016504395,12440.366802604573,16137.479232787291
4356.840313734894,5367.575487682289,6105.727565561517,7516.145016504307,12467.416802604672,16155.229232787355
4367.540313734933,5362.775487682272,6146.677565561666,7548.545016504425,12440.766802604574,16138.029232787292
4356.890313734894,5359.175487682259,6134.877565561623,7541.895016504401,12436.266802604558,16133.779232787278
4365.7403137349265,5356.575487682249,6182.827565561797,7554.695016504447,12428.116802604527,16125.429232787246
4362.390313734914,5361.075487682266,6141.077565561645,7544.695016504411,12438.516802604565,16135.879232787285
4361.440313734911,5359.875487682261,6139.227565561639,7543.845016504408,12436.716802604558,16134.12923278728
4368.590313734937,5359.52548768226,6183.927565561801,7557.345016504457,12430.716802604536,16127.829232787255
4362.790313734916,5368.025487682291,6117.52756556156,7531.9450165043645,12451.716802604613,16145.879232787322
4364.290313734921,5355.875487682247,6177.427565561778,7553.795016504444,12427.066802604524,16124.379232787243
4366.490313734929,5361.425487682267,6171.377565561756,7554.845016504448,12432.466802604544,16129.879232787263
4364.440313734922,5365.12548768228,6136.127565561627,7543.395016504406,12441.516802604576,16138.929232787297
4366.240313734928,5359.42548768226,6164.927565561732,7552.445016504439,12433.016802604547,16130.279232787265
4363.440313734918,5355.5254876822455,6176.227565561773,7553.045016504441,12426.516802604521,16124.079232787242
4363.240313734917,5364.97548768228,6132.427565561614,7541.2950165043985,12443.466802604584,16140.329232787302
4364.140313734921,5367.6254876822895,6129.327565561603,7539.395016504392,12446.616802604596,16142.729232787311
4366.490313734929,5368.425487682292,6122.627565561578,7529.695016504356,12455.866802604629,16148.779232787332
4361.990313734913,5360.575487682264,6134.12756556162,7542.3950165044025,12437.966802604564,16135.379232787283
4358.3403137349,5361.325487682267,6124.677565561586,7537.245016504384,12443.066802604582,16139.579232787299
4355.540313734889,5361.175487682266,6123.427565561581,7536.795016504382,12442.56680260458,16138.779232787296
4358.890313734902,5359.47548768226,6142.627565561651,7544.695016504411,12434.566802604551,16132.329232787273
4360.490313734907,5365.575487682282,6113.677565561546,7524.645016504338,12458.466802604638,16150.579232787339
4361.640313734912,5358.325487682256,6157.777565561706,7549.195016504427,12430.816802604539,16128.579232787259
4356.840313734894,5360.875487682265,6121.427565561574,7535.495016504377,12443.716802604584,16139.579232787299
4359.440313734904,5360.775487682265,6130.6775655616075,7540.345016504395,12439.21680260457,16136.479232787287
4364.04031373492,5361.875487682269,6151.077565561682,7549.345016504428,12435.266802604554,16133.029232787274
4365.7403137349265,5368.825487682294,6126.077565561591,7535.545016504378,12452.366802604616,16147.329232787328
4366.140313734928,5356.82548768225,6179.777565561786,7555.195016504449,12428.56680260453,16125.879232787249
4364.390313734922,5360.125487682262,6164.027565561729,7551.7450165044365,12433.566802604548,16130.779232787267
4362.890313734916,5359.9254876822615,6155.477565561698,7549.84501650443,12433.616802604549,16131.129232787269
4361.740313734912,5356.72548768225,6167.277565561741,7550.6450165044325,12428.066802604528,16125.679232787248
4363.190313734917,5354.925487682243,6179.477565561785,7552.8450165044405,12425.86680260452,16123.37923278724
4370.740313734945,5361.275487682266,6184.2775655618025,7559.445016504465,12432.116802604542,16128.92923278726
4368.790313734938,5362.22548768227,6167.777565561742,7554.745016504447,12435.116802604553,16132.079232787271
4358.990313734902,5361.775487682268,6130.627565561607,7540.495016504396,12442.066802604579,16138.829232787295
4357.640313734897,5362.775487682272,6123.777565561582,7536.845016504382,12444.566802604588,16140.679232787303
4362.140313734913,5371.575487682304,6100.577565561498,7502.645016504258,12479.616802604716,16158.579232787368
4352.290313734878,5361.275487682266,6106.52756556152,7525.24501650434,12452.316802604615,16145.57923278732
4349.340313734867,5362.425487682271,6090.8275655614625,7501.195016504253,12477.416802604708,16156.079232787359
4364.240313734921,5360.825487682265,6158.1775655617075,7550.945016504434,12433.066802604546,16130.929232787268
4367.040313734931,5365.175487682281,6153.37756556169,7550.345016504431,12438.666802604566,16136.179232787286
4362.940313734916,5364.025487682276,6136.477565561629,7542.745016504404,12441.566802604577,16138.179232787294
4365.590313734926,5358.975487682258,6172.077565561758,7553.445016504443,12430.916802604537,16128.179232787257
4362.090313734913,5356.77548768225,6168.327565561744,7551.345016504435,12428.316802604528,16125.97923278725
4363.590313734919,5355.575487682246,6175.27756556177,7552.945016504441,12426.816802604524,16124.179232787243
4367.190313734932,5359.875487682261,6168.027565561743,7553.795016504444,12431.91680260454,16129.529232787263
4359.890313734905,5361.5754876822675,6139.62756556164,7544.645016504411,12438.066802604564,16135.479232787284
4356.990313734895,5369.225487682295,6094.1275655614745,7494.445016504228,12487.766802604745,16160.779232787376
4359.540313734904,5362.975487682273,6118.977565561565,7533.695016504371,12447.316802604597,16141.929232787308
4368.990313734938,5360.375487682263,6172.52756556176,7555.295016504449,12432.916802604545,16130.229232787264
4355.990313734891,5368.425487682292,6095.327565561479,7484.3950165041915,12496.716802604777,16164.129232787389
4367.840313734934,5364.825487682279,6155.177565561697,7551.1950165044345,12439.066802604568,16136.579232787288
4368.340313734936,5360.325487682263,6163.627565561727,7554.545016504447,12432.866802604545,16130.129232787265
4366.890313734931,5363.925487682276,6152.427565561687,7549.095016504427,12438.716802604566,16136.079232787286
4368.190313734935,5357.375487682252,6187.077565561813,7556.095016504452,12429.166802604532,16126.22923278725
4364.690313734923,5359.175487682259,6167.377565561741,7553.045016504441,12431.91680260454,16129.779232787263
4364.740313734923,5371.4754876823035,6112.477565561541,7520.745016504324,12464.26680260466,16154.129232787353
4355.79031373489,5362.025487682269,6106.427565561519,7523.845016504335,12454.816802604626,16147.029232787325
4362.340313734914,5357.7254876822535,6163.327565561726,7551.045016504434,12429.566802604533,16127.429232787254
4363.290313734918,5364.425487682278,6129.827565561604,7538.84501650439,12444.666802604588,16141.629232787305
4355.79031373489,5366.325487682285,6101.0775655615,7511.34501650429,12468.816802604677,16154.429232787352
