B,V,r,i,J,H
4366.440313734929,5360.4754876822635,6149.9275655616775,7546.7950165044185,12435.466802604555,16132.379232787272
4360.840313734909,5359.825487682261,6152.077565561685,7547.3450165044205,12439.516802604569,16132.979232787275
4367.890313734934,5359.675487682261,6167.777565561742,7551.845016504437,12432.266802604543,16133.229232787275
4365.090313734924,5358.875487682258,6172.377565561759,7554.645016504447,12431.66680260454,16118.679232787223
4369.34031373494,5354.475487682242,6179.8775655617865,7555.095016504449,12426.716802604522,16140.379232787302
4372.940313734953,5358.2754876822555,6177.577565561778,7556.895016504455,12432.416802604545,16133.429232787275
4365.590313734926,5363.475487682274,6149.877565561677,7548.045016504423,12439.56680260457,16134.37923278728
4363.090313734917,5355.975487682247,6180.527565561789,7554.295016504446,12423.966802604513,16127.629232787254
4370.840313734945,5358.075487682255,6170.077565561751,7551.645016504436,12429.466802604533,16138.429232787294
4370.340313734943,5363.675487682275,6147.92756556167,7547.745016504422,12440.266802604572,16153.279232787349
4362.9903137349165,5356.0754876822475,6168.777565561746,7550.795016504433,12427.966802604527,16128.479232787258
4369.5903137349405,5359.875487682261,6173.127565561762,7554.395016504446,12432.866802604545,16135.429232787283
4355.990313734891,5360.875487682265,6118.877565561565,7533.945016504372,12443.516802604583,16138.029232787292
4360.2403137349065,5359.47548768226,6148.327565561672,7546.645016504418,12438.316802604564,16130.679232787266
4354.940313734887,5362.475487682271,6105.277565561515,7517.0950165043105,12458.216802604638,16147.479232787327
4372.3403137349505,5357.575487682253,6186.577565561811,7554.945016504448,12427.266802604525,16135.629232787283
4364.290313734921,5357.7254876822535,6162.427565561723,7552.245016504438,12429.666802604534,16134.62923278728
4368.740313734937,5355.175487682244,6184.2775655618025,7552.395016504439,12425.316802604517,16135.879232787285
4366.59031373493,5364.225487682277,6142.37756556165,7545.445016504414,12443.916802604585,16138.829232787295
4364.890313734923,5357.825487682254,6171.227565561755,7553.645016504443,12430.216802604536,16134.67923278728
4366.490313734929,5359.42548768226,6161.327565561719,7550.845016504433,12437.366802604562,16134.029232787278
4369.740313734941,5360.275487682263,6181.877565561794,7558.995016504463,12431.966802604542,16122.629232787236
4362.190313734914,5357.225487682252,6143.727565561655,7542.695016504404,12433.216802604547,16151.529232787343
4363.740313734919,5357.675487682253,6150.377565561679,7546.945016504419,12432.666802604545,16137.729232787293
4370.890313734945,5372.0254876823055,6119.427565561567,7528.0950165043505,12459.566802604642,16157.629232787363
4368.390313734936,5370.6254876823,6111.427565561537,7507.795016504277,12472.41680260469,16154.679232787354
4361.09031373491,5358.025487682255,6165.227565561733,7549.84501650443,12428.71680260453,16127.029232787252
4365.440313734925,5358.725487682257,6169.527565561749,7553.745016504444,12425.916802604519,16130.729232787267
4364.890313734923,5363.075487682273,6147.027565561667,7545.995016504416,12437.11680260456,16148.12923278733
4374.5403137349585,5364.125487682277,6153.577565561691,7547.8950165044225,12438.966802604567,16147.829232787328
4374.5403137349585,5366.775487682286,6148.8275655616735,7545.795016504415,12444.616802604589,16147.379232787327
4373.890313734956,5374.975487682316,6106.127565561518,7504.9950165042665,12484.316802604731,16163.579232787386
4370.590313734944,5362.17548768227,6156.977565561703,7548.195016504424,12438.216802604566,16146.229232787322
4369.940313734942,5356.975487682251,6184.877565561805,7558.345016504461,12427.516802604525,16120.379232787229
4356.540313734893,5361.0254876822655,6129.527565561603,7539.04501650439,12443.266802604583,16137.679232787292
4368.290313734936,5368.1754876822915,6135.477565561625,7540.845016504397,12452.316802604615,16142.279232787309
4367.090313734931,5358.475487682256,6165.277565561733,7552.245016504438,12430.466802604536,16136.279232787287
4363.99031373492,5364.92548768228,6132.127565561613,7538.745016504389,12444.016802604587,16139.5292327873
4376.9903137349675,5358.475487682256,6186.577565561811,7560.045016504467,12431.51680260454,16137.979232787293
4358.790313734901,5363.425487682274,6125.377565561588,7539.695016504393,12442.166802604579,16143.729232787315
4365.440313734925,5363.7754876822755,6135.927565561627,7544.34501650441,12442.316802604579,16142.629232787309
4369.39031373494,5359.57548768226,6177.627565561778,7555.5950165044505,12432.316802604542,16127.929232787257
4366.040313734928,5364.775487682279,6132.827565561615,7540.345016504395,12445.866802604593,16142.87923278731
4353.590313734882,5360.825487682265,6121.077565561573,7537.145016504383,12445.31680260459,16135.879232787285
4357.390313734896,5360.075487682262,6119.077565561565,7534.195016504373,12446.066802604593,16153.57923278735
4368.240313734936,5361.975487682269,6137.777565561633,7542.245016504402,12445.16680260459,16149.679232787335
4369.54031373494,5354.675487682242,6190.777565561826,7555.49501650445,12426.616802604523,16130.979232787267
4363.340313734918,5363.075487682273,6148.077565561671,7547.595016504421,12445.116802604589,16127.529232787256
4367.890313734934,5357.575487682253,6172.7275655617605,7553.145016504442,12428.91680260453,16135.429232787283
4367.290313734932,5370.175487682299,6116.177565561555,7526.295016504344,12464.066802604659,16147.479232787327
4357.290313734896,5362.27548768227,6108.027565561525,7524.645016504338,12456.16680260463,16153.52923278735
4376.790313734967,5358.775487682257,6185.977565561809,7556.045016504452,12432.066802604542,16134.779232787281
4368.740313734937,5368.7254876822935,6122.277565561577,7528.545016504352,12462.516802604652,16150.279232787338
4364.6403137349225,5361.725487682268,6159.927565561714,7550.745016504433,12434.916802604552,16136.679232787288
4376.590313734966,5364.125487682277,6164.47756556173,7551.7450165044365,12437.666802604563,16147.72923278733
4366.890313734931,5357.125487682251,6161.127565561718,7548.895016504426,12427.616802604527,16139.229232787296
4356.290313734892,5365.12548768228,6109.47756556153,7526.945016504346,12457.766802604636,16147.779232787329
4365.390313734925,5361.475487682267,6167.477565561741,7550.245016504431,12440.516802604572,16132.479232787273
4367.540313734933,5355.975487682247,6179.077565561784,7553.095016504441,12431.01680260454,16129.02923278726
4362.790313734916,5361.425487682267,6128.6775655616,7540.645016504396,12443.366802604583,16144.179232787315
4354.590313734886,5359.975487682262,6132.227565561613,7541.2950165043985,12438.766802604567,16136.079232787286
4365.040313734924,5361.425487682267,6149.877565561677,7545.6950165044145,12433.416802604548,16131.079232787268
4368.690313734937,5359.975487682262,6155.927565561699,7547.845016504422,12434.216802604551,16143.929232787315
4356.690313734894,5365.375487682281,6103.327565561508,7513.845016504299,12461.966802604651,16157.479232787364
4366.240313734928,5357.575487682253,6170.977565561754,7550.745016504433,12431.816802604542,16131.77923278727
4362.390313734914,5364.475487682278,6126.577565561593,7537.945016504386,12450.61680260461,16143.529232787314
4362.240313734914,5356.0754876822475,6177.427565561778,7553.745016504444,12428.41680260453,16120.729232787231
4366.74031373493,5354.525487682242,6183.327565561799,7553.145016504442,12424.116802604512,16125.429232787246
4370.1403137349425,5360.125487682262,6173.077565561762,7553.245016504442,12430.166802604535,16139.7792327873
4367.790313734934,5359.125487682259,6175.127565561769,7555.895016504452,12434.766802604552,16139.029232787296
4356.740313734894,5360.4754876822635,6127.077565561594,7538.99501650439,12445.416802604592,16137.979232787293
4375.240313734961,5359.62548768226,6192.377565561832,7561.745016504473,12428.91680260453,16137.329232787291
4365.640313734926,5367.225487682288,6129.877565561605,7538.045016504387,12451.866802604614,16142.629232787309
4371.140313734946,5357.925487682254,6176.627565561775,7554.345016504446,12428.366802604529,16133.329232787277
4369.990313734942,5358.425487682256,6167.02756556174,7554.595016504447,12431.36680260454,16130.429232787264
4363.640313734919,5354.07548768224,6179.577565561785,7552.445016504439,12428.016802604528,16118.829232787222
4370.940313734945,5358.325487682256,6182.277565561795,7554.4950165044465,12429.916802604534,16140.129232787302
4359.1403137349025,5360.725487682264,6130.877565561608,7540.245016504395,12439.816802604571,16138.229232787293
4366.040313734928,5361.075487682266,6168.227565561744,7552.69501650444,12437.566802604562,16129.679232787263
4369.290313734939,5356.475487682249,6170.477565561752,7550.395016504432,12431.71680260454,16136.779232787288
4366.64031373493,5359.175487682259,6154.8775655616955,7546.295016504417,12431.41680260454,16142.629232787309
4353.04031373488,5362.17548768227,6112.727565561542,7529.7450165043565,12457.616802604636,16144.679232787317
4362.940313734916,5361.475487682267,6143.377565561654,7546.645016504418,12440.216802604573,16139.279232787298
4371.640313734948,5371.825487682305,6124.577565561585,7532.695016504367,12451.616802604614,16148.62923278733
4369.840313734941,5358.8254876822575,6172.427565561759,7552.945016504441,12428.016802604528,16137.17923278729
4362.490313734915,5362.525487682271,6139.4775655616395,7541.195016504398,12438.916802604566,16147.97923278733
4369.44031373494,5357.375487682252,6178.02756556178,7552.445016504439,12428.91680260453,16142.429232787308
4372.14031373495,5364.125487682277,6163.627565561727,7552.195016504438,12434.966802604553,16137.37923278729
4373.840313734956,5372.075487682306,6105.427565561516,7497.495016504239,12479.666802604715,16173.729232787424
4371.940313734949,5367.6254876822895,6144.577565561658,7543.845016504408,12448.216802604602,16139.329232787299
4365.390313734925,5364.97548768228,6125.327565561588,7533.34501650437,12451.566802604613,16150.029232787336
4367.590313734933,5366.275487682285,6114.97756556155,7525.395016504341,12460.966802604647,16160.929232787377
4361.940313734913,5366.375487682285,6109.177565561529,7515.945016504306,12461.266802604649,16152.829232787346
4359.540313734904,5362.825487682272,6130.727565561608,7540.895016504397,12444.066802604586,16143.279232787312
4364.04031373492,5360.4754876822635,6158.92756556171,7550.895016504433,12430.616802604538,16139.9292327873
4358.0403137348985,5357.1754876822515,6151.827565561684,7545.345016504413,12429.966802604535,16135.179232787283
4368.140313734935,5356.67548768225,6186.727565561811,7556.945016504455,12429.966802604535,16128.92923278726
4369.34031373494,5364.775487682279,6148.877565561674,7545.495016504414,12440.866802604574,16140.4292327873
4374.84031373496,5359.775487682261,6185.327565561806,7557.595016504458,12431.066802604539,16137.979232787293
4369.39031373494,5365.675487682282,6138.827565561637,7542.9450165044045,12442.66680260458,16141.129232787305
4362.790313734916,5358.125487682255,6160.677565561717,7549.99501650443,12431.066802604539,16138.229232787293
4362.940313734916,5355.925487682247,6179.077565561784,7553.745016504444,12428.166802604528,16126.979232787253
4360.940313734909,5362.32548768227,6110.727565561535,7528.695016504353,12452.166802604615,16147.829232787328
4360.490313734907,5361.675487682268,6138.827565561637,7543.295016504406,12440.416802604574,16134.57923278728
4360.140313734906,5361.325487682267,6128.777565561601,7538.645016504389,12439.166802604568,16143.329232787313
4372.740313734952,5359.42548768226,6188.327565561817,7557.595016504458,12433.166802604546,16128.629232787258
4367.590313734933,5365.12548768228,6142.927565561652,7543.595016504407,12444.716802604587,16143.229232787311
4366.79031373493,5360.775487682265,6149.477565561676,7543.895016504408,12437.616802604563,16154.579232787353
4369.140313734939,5362.6754876822715,6163.027565561725,7552.995016504441,12439.316802604568,16132.879232787274
4369.640313734941,5361.775487682268,6169.477565561749,7554.995016504448,12440.716802604573,16137.37923278729
4355.340313734889,5362.425487682271,6105.6775655615165,7524.7950165043385,12453.41680260462,16145.429232787319
4365.290313734925,5357.625487682253,6176.127565561773,7554.445016504446,12432.516802604543,16126.17923278725
4370.790313734945,5361.975487682269,6156.477565561701,7552.495016504439,12439.56680260457,16137.679232787292
4358.240313734899,5365.175487682281,6125.7275655615895,7535.545016504378,12453.116802604618,16131.929232787272
4367.040313734931,5364.025487682276,6155.127565561696,7549.145016504427,12441.166802604575,16137.479232787291
4364.140313734921,5358.875487682258,6168.877565561746,7555.195016504449,12431.766802604541,16122.479232787236
4370.540313734944,5358.425487682256,6192.477565561832,7559.845016504466,12429.166802604532,16133.179232787275
4367.840313734934,5358.775487682257,6183.827565561801,7559.395016504464,12426.366802604522,16126.22923278725
4361.24031373491,5363.375487682274,6114.82756556155,7529.245016504355,12457.916802604635,16154.329232787353
4358.940313734902,5358.425487682256,6147.577565561669,7546.7950165044185,12435.666802604555,16123.929232787243
4366.340313734929,5361.0254876822655,6160.577565561716,7552.245016504438,12433.416802604548,16137.27923278729
4369.34031373494,5355.675487682246,6179.527565561785,7553.745016504444,12428.86680260453,16130.079232787264
4369.5903137349405,5359.3754876822595,6161.67756556172,7548.945016504426,12436.266802604558,16136.679232787288
4364.0903137349205,5362.525487682271,6136.7275655616295,7542.9450165044045,12441.616802604578,16142.129232787309
4374.090313734957,5362.525487682271,6151.177565561682,7548.645016504425,12438.466802604566,16146.029232787321
4363.190313734917,5362.17548768227,6145.827565561663,7546.545016504418,12437.266802604561,16136.329232787288
4363.94031373492,5366.475487682285,6118.527565561563,7525.595016504341,12459.916802604643,16145.979232787322
4360.140313734906,5358.625487682257,6142.177565561649,7544.0450165044085,12433.716802604547,16133.679232787277
4364.140313734921,5366.125487682284,6110.577565561534,7524.645016504338,12456.816802604633,16155.779232787358
4373.740313734956,5361.425487682267,6173.627565561764,7555.49501650445,12429.11680260453,16144.629232787316
4372.440313734951,5361.625487682268,6165.077565561733,7552.445016504439,12437.516802604561,16129.779232787263
4372.990313734953,5359.57548768226,6171.477565561756,7552.945016504441,12430.716802604536,16140.579232787302
4354.340313734885,5366.625487682286,6097.027565561485,7505.745016504269,12477.616802604709,16143.479232787313
4359.440313734904,5361.925487682269,6130.577565561607,7539.6450165043925,12443.066802604582,16137.679232787292
4370.1403137349425,5358.225487682255,6190.827565561826,7560.94501650447,12427.816802604528,16125.97923278725
4355.2903137348885,5357.325487682252,6137.977565561634,7542.195016504402,12435.616802604556,16138.229232787293
4366.890313734931,5367.6254876822895,6125.7275655615895,7535.445016504377,12451.066802604611,16139.429232787297
4373.390313734954,5365.4254876822815,6147.97756556167,7548.245016504424,12438.466802604566,16147.97923278733
4363.340313734918,5358.025487682255,6155.277565561697,7546.995016504419,12432.866802604545,16135.629232787283
4371.590313734948,5368.775487682294,6137.927565561634,7542.295016504402,12453.066802604619,16141.529232787307
4370.990313734946,5370.175487682299,6125.82756556159,7536.29501650438,12450.266802604609,16148.17923278733
4369.54031373494,5358.025487682255,6184.327565561803,7557.345016504457,12428.86680260453,16127.079232787253
4358.3403137349,5360.625487682264,6123.5275655615815,7534.495016504374,12441.966802604578,16142.629232787309
4366.140313734928,5372.275487682306,6102.227565561504,7498.895016504244,12480.86680260472,16162.929232787385
4367.590313734933,5366.575487682286,6116.977565561558,7530.895016504361,12454.166802604623,16148.979232787333
4365.340313734925,5361.5754876822675,6147.92756556167,7544.54501650441,12437.566802604562,16140.779232787303
4354.890313734887,5359.275487682259,6132.577565561614,7540.645016504396,12438.166802604565,16135.529232787285
4366.64031373493,5358.525487682256,6184.227565561802,7559.295016504464,12432.466802604544,16120.87923278723
4365.440313734925,5364.025487682276,6139.4775655616395,7542.495016504403,12441.566802604577,16133.779232787278
4367.540313734933,5361.775487682268,6176.127565561773,7556.845016504455,12435.016802604554,16121.279232787232
4364.890313734923,5360.425487682263,6162.727565561724,7553.045016504441,12434.01680260455,16128.179232787257
4364.290313734921,5357.775487682254,6150.027565561678,7545.845016504415,12430.216802604536,16139.179232787297
4360.840313734909,5355.875487682247,6177.327565561777,7551.695016504436,12429.266802604532,16120.629232787229
4364.940313734924,5362.575487682271,6149.727565561677,7546.195016504416,12433.466802604547,16143.179232787312
4356.590313734893,5362.1254876822695,6119.427565561567,7531.145016504362,12450.266802604609,16146.729232787326
4373.190313734954,5360.275487682263,6178.677565561782,7556.595016504454,12430.016802604536,16135.829232787284
4367.590313734933,5361.425487682267,6154.077565561693,7546.045016504416,12438.716802604566,16139.229232787296
4367.040313734931,5362.825487682272,6147.027565561667,7544.895016504412,12441.816802604579,16148.929232787334
4370.790313734945,5362.625487682271,6142.47756556165,7543.995016504408,12444.866802604589,16140.529232787303
4369.090313734939,5362.22548768227,6162.377565561723,7551.945016504437,12439.516802604569,16137.479232787291
4372.440313734951,5368.975487682294,6140.0275655616415,7543.095016504405,12445.966802604593,16158.479232787367
4375.690313734963,5370.6254876823,6129.727565561604,7535.695016504378,12452.766802604618,16156.729232787362
4373.590313734955,5361.125487682266,6170.777565561753,7552.59501650444,12434.06680260455,16142.52923278731
4363.5403137349185,5366.175487682284,6125.87756556159,7535.095016504376,12451.566802604613,16139.9792327873
4380.190313734979,5366.325487682285,6150.57756556168,7546.845016504419,12439.86680260457,16153.77923278735
4368.790313734938,5357.1754876822515,6188.477565561818,7556.595016504454,12429.966802604535,16122.379232787236
4358.790313734901,5359.875487682261,6152.1275655616855,7549.045016504427,12431.41680260454,16125.429232787246
4364.790313734923,5354.625487682242,6175.127565561769,7551.595016504436,12427.116802604523,16129.22923278726
4369.990313734942,5365.4254876822815,6142.927565561652,7545.1450165044125,12443.416802604585,16139.7292327873
4373.390313734954,5360.425487682263,6173.127565561762,7556.495016504454,12433.516802604547,16129.829232787262
4364.490313734922,5362.475487682271,6129.927565561605,7540.795016504397,12441.166802604575,16146.929232787326
4372.690313734952,5364.075487682277,6157.177565561704,7552.545016504439,12436.366802604558,16135.829232787284
4363.040313734917,5359.225487682259,6135.877565561626,7541.045016504398,12443.816802604586,16156.079232787359
4360.540313734908,5355.5254876822455,6177.077565561776,7553.495016504443,12428.76680260453,16113.979232787206
4367.090313734931,5355.325487682245,6178.927565561783,7552.395016504439,12429.466802604533,16128.829232787259
4368.890313734938,5365.275487682281,6132.227565561613,7540.7450165043965,12449.466802604606,16132.679232787274
4371.040313734946,5358.625487682257,6164.32756556173,7552.8450165044405,12434.966802604553,16133.679232787277
4355.540313734889,5360.175487682262,6140.877565561645,7545.6950165044145,12436.216802604558,16123.729232787242
4369.740313734941,5368.625487682293,6127.877565561597,7531.995016504365,12459.216802604642,16159.529232787372
4364.890313734923,5363.075487682273,6165.527565561734,7555.5950165044505,12434.416802604552,16124.179232787243
4366.990313734931,5368.575487682293,6111.7275655615385,7517.0950165043105,12462.316802604651,16163.329232787386
4372.19031373495,5359.175487682259,6182.777565561797,7558.045016504459,12432.566802604544,16134.879232787282
4369.49031373494,5367.0754876822875,6132.827565561615,7539.145016504391,12449.766802604607,16140.0292327873
4366.940313734931,5361.625487682268,6164.677565561731,7553.3950165044425,12431.36680260454,16132.879232787274
4360.2403137349065,5356.575487682249,6175.027565561769,7554.895016504448,12425.96680260452,16119.479232787226
4372.8903137349525,5363.525487682275,6153.577565561691,7549.495016504428,12438.766802604567,16143.579232787313
4363.640313734919,5361.425487682267,6150.377565561679,7546.845016504419,12434.716802604551,16139.129232787298
4371.740313734948,5359.275487682259,6182.027565561794,7557.395016504457,12435.216802604555,16124.929232787246
4363.440313734918,5365.725487682283,6109.127565561529,7519.2950165043185,12464.816802604662,16156.62923278736
4367.340313734932,5360.425487682263,6163.627565561727,7549.795016504429,12430.866802604538,16132.829232787273
4364.590313734922,5365.02548768228,6130.627565561607,7539.545016504392,12446.016802604594,16139.129232787298
4364.190313734921,5362.1254876822695,6144.877565561659,7543.445016504406,12439.966802604571,16142.029232787307
4372.990313734953,5359.52548768226,6162.827565561724,7550.745016504433,12426.666802604523,16155.429232787355
4361.8903137349125,5359.675487682261,6153.177565561689,7549.695016504429,12433.166802604546,16128.87923278726
4376.140313734964,5364.175487682277,6167.277565561741,7555.195016504449,12437.916802604563,16142.67923278731
4371.7903137349485,5365.725487682283,6159.777565561713,7551.045016504434,12443.766802604585,16135.229232787282
4371.840313734949,5360.375487682263,6175.627565561771,7556.095016504452,12430.316802604535,16138.579232787295
4371.740313734948,5371.375487682303,6103.427565561508,7499.645016504247,12481.466802604722,16161.079232787377
4354.1903137348845,5363.725487682275,6119.477565561567,7538.745016504389,12450.56680260461,16133.879232787278
4350.640313734872,5365.675487682282,6103.4775655615085,7523.395016504333,12460.566802604646,16139.9792327873
4352.690313734879,5360.275487682263,6118.677565561564,7529.945016504357,12456.16680260463,16146.779232787325
4363.190313734917,5359.775487682261,6148.877565561674,7545.6950165044145,12436.266802604558,16136.079232787286
4364.490313734922,5357.525487682253,6179.027565561783,7556.545016504454,12427.716802604526,16120.379232787229
4369.740313734941,5358.725487682257,6184.8275655618045,7557.395016504457,12430.266802604536,16126.22923278725
4367.640313734933,5362.27548768227,6145.577565561662,7541.445016504399,12442.26680260458,16152.229232787344
4363.5403137349185,5362.875487682272,6128.5275655616,7539.945016504394,12444.566802604588,16144.779232787318
4367.640313734933,5363.425487682274,6145.477565561661,7548.695016504425,12437.766802604563,16134.82923278728
4367.090313734931,5363.075487682273,6140.377565561643,7542.995016504405,12442.966802604582,16143.279232787312
4363.5403137349185,5357.875487682254,6171.527565561756,7550.945016504434,12429.766802604534,16135.179232787283
4369.240313734939,5358.775487682257,6160.627565561716,7551.095016504434,12430.566802604537,16146.479232787324
4369.640313734941,5359.57548768226,6159.127565561711,7551.395016504435,12430.266802604536,16139.7292327873
4372.24031373495,5361.475487682267,6173.327565561763,7556.745016504455,12430.366802604536,16135.479232787284
4364.790313734923,5362.975487682273,6130.327565561606,7537.845016504386,12443.816802604586,16149.879232787336
4372.24031373495,5357.7254876822535,6178.277565561781,7555.895016504452,12430.216802604536,16131.029232787267
4378.290313734972,5362.425487682271,6166.377565561737,7551.1950165044345,12432.116802604542,16151.02923278734
4365.590313734926,5354.725487682243,6175.527565561771,7551.245016504435,12427.366802604525,16131.87923278727
4361.840313734912,5360.175487682262,6138.577565561636,7541.545016504399,12441.966802604578,16144.679232787317
4360.190313734906,5359.125487682259,6165.177565561733,7551.545016504436,12432.666802604545,16127.629232787254
4363.040313734917,5358.8254876822575,6163.477565561727,7552.445016504439,12429.766802604534,16126.679232787252
4364.190313734921,5362.975487682273,6132.177565561613,7538.89501650439,12446.416802604595,16148.479232787331
4364.690313734923,5356.275487682248,6174.677565561768,7550.745016504433,12428.41680260453,16132.079232787271
4372.690313734952,5370.3754876822995,6118.377565561563,7528.745016504353,12458.116802604636,16152.979232787347
4373.190313734954,5361.775487682268,6169.477565561749,7553.995016504445,12434.966802604553,16135.729232787286
4369.44031373494,5360.225487682263,6175.077565561769,7554.195016504445,12434.566802604551,16133.879232787278
4363.240313734917,5358.625487682257,6160.427565561716,7549.745016504429,12431.71680260454,16127.779232787256
4368.040313734935,5364.525487682278,6142.827565561652,7543.845016504408,12443.816802604586,16138.179232787294
4364.890313734923,5354.12548768224,6180.92756556179,7552.195016504438,12425.76680260452,16125.279232787247
4369.740313734941,5360.4754876822635,6156.827565561703,7549.745016504429,12430.366802604536,16143.579232787313
4365.840313734927,5357.925487682254,6164.32756556173,7548.095016504423,12430.066802604535,16138.329232787295
4364.240313734921,5363.275487682274,6138.3775655616355,7541.145016504398,12442.966802604582,16138.379232787294
4354.390313734885,5361.675487682268,6126.027565561591,7537.295016504384,12439.41680260457,16142.079232787308
4362.690313734915,5359.47548768226,6160.077565561714,7549.595016504429,12437.11680260456,16132.429232787272
4361.540313734911,5361.725487682268,6140.977565561645,7542.445016504403,12435.766802604556,16133.229232787275
4365.890313734927,5360.825487682265,6161.427565561719,7552.195016504438,12436.516802604558,16132.779232787274
4369.090313734939,5361.225487682266,6164.32756556173,7550.245016504431,12439.016802604569,16134.879232787282
4370.640313734944,5363.925487682276,6140.077565561642,7543.695016504407,12446.866802604596,16145.179232787319
4372.840313734952,5369.025487682295,6135.027565561623,7535.345016504377,12447.716802604598,16155.429232787355
4357.340313734896,5368.675487682293,6110.877565561535,7518.545016504316,12466.716802604667,16141.429232787304
4376.4403137349655,5358.875487682258,6191.277565561828,7558.995016504463,12436.216802604558,16133.329232787277
4362.840313734916,5357.525487682253,6158.82756556171,7548.845016504426,12427.316802604524,16131.82923278727
4369.690313734941,5366.675487682286,6137.227565561631,7542.345016504402,12445.816802604593,16150.329232787339
4357.240313734896,5358.425487682256,6146.727565561666,7542.895016504404,12438.666802604566,16135.429232787283
4365.640313734926,5361.225487682266,6159.477565561712,7550.895016504433,12435.966802604557,16128.87923278726
4365.890313734927,5362.725487682272,6142.927565561652,7546.495016504417,12436.466802604558,16137.37923278729
4359.040313734902,5359.125487682259,6126.577565561593,7539.445016504392,12442.56680260458,16152.279232787345
4368.790313734938,5364.525487682278,6135.177565561624,7539.895016504393,12446.516802604594,16154.229232787351
4375.940313734964,5357.1754876822515,6193.6275655618365,7556.495016504454,12427.266802604525,16137.37923278729
4361.09031373491,5362.925487682272,6136.577565561629,7542.295016504402,12444.216802604587,16143.329232787313
4353.440313734882,5361.925487682269,6113.177565561544,7529.645016504356,12452.916802604617,16142.029232787307
4356.490313734893,5360.4754876822635,6145.5275655616615,7544.795016504411,12441.416802604577,16126.12923278725
4369.990313734942,5360.925487682265,6176.727565561775,7556.1450165044525,12435.816802604557,16137.929232787294
4358.3403137349,5360.625487682264,6137.427565561632,7542.845016504404,12438.266802604565,16133.479232787276
4361.14031373491,5361.0254876822655,6141.227565561646,7542.995016504405,12435.216802604555,16139.329232787299
